Suite ID	Tool IDs	Tool output formats	Description	Suite first commit date	Homepage	Suite version	Suite conda package	Latest suite conda package version	Suite version status	ToolShed categories	EDAM operations	EDAM reduced operations	EDAM topics	EDAM reduced topics	Suite owner	Suite source	Suite parsed folder	bio.tool ID	bio.tool name	bio.tool description	biii ID	Number of tools on UseGalaxy.org (Main)	Number of tools on UseGalaxy.org.au	Number of tools on UseGalaxy.eu	Number of tools on UseGalaxy.fr	Number of tools on APOSTL	Number of tools on MBAC Metabiome Portal	Number of tools on ChemFlow	Number of tools on Coloc-stats	Number of tools on Galaxy@AuBi	Number of tools on Galaxy@Pasteur	Number of tools on GalaxyTrakr	Number of tools on GASLINI	Number of tools on HyPhy HIV NGS Tools	Number of tools on ImmPort Galaxy	Number of tools on InteractoMIX	Number of tools on IPK Galaxy Blast Suite	Number of tools on Mandoiu Lab	Number of tools on Oqtans	Number of tools on Palfinder	Number of tools on PepSimili	Number of tools on PhagePromotor	Number of tools on UseGalaxy.be	Number of tools on UseGalaxy.cz	Number of tools on UseGalaxy.no	Number of tools on Viral Variant Visualizer (VVV)	Suite users (last 5 years) (usegalaxy.eu)	Suite users (usegalaxy.eu)	Suite runs (last 5 years) (usegalaxy.eu)	Suite runs (usegalaxy.eu)	Suite users (last 5 years) (usegalaxy.org)	Suite users (usegalaxy.org)	Suite runs (last 5 years) (usegalaxy.org)	Suite runs (usegalaxy.org)	Suite users (last 5 years) (usegalaxy.org.au)	Suite users (usegalaxy.org.au)	Suite runs (last 5 years) (usegalaxy.org.au)	Suite runs (usegalaxy.org.au)	Suite users (last 5 years) (usegalaxy.fr)	Suite users (usegalaxy.fr)	Suite runs (last 5 years) (usegalaxy.fr)	Suite runs (usegalaxy.fr)	Suite runs on main servers	Suite runs (last 5 years) on main servers	Suite users on main servers	Suite users (last 5 years) on main servers	Related Workflows	Related Tutorials	To keep	Deprecated
canu	canu	txt, fasta, fasta.gz	Canu is a hierarchical assembly pipeline designed for high-noise single-molecule sequencing (such as the PacBio RS II/Sequel or Oxford Nanopore MinION).	2018-06-07	https://github.com/marbl/canu	2.3	canu	2.3	Up-to-date	Assembly	De-novo assembly	De-novo assembly	Genomics	Genomics	bgruening	https://github.com/bgruening/galaxytools/tree/master/tools/canu	https://github.com/bgruening/galaxytools/tree/master/tools/canu	canu	CANU	De-novo assembly tool for long read chemistry like Nanopore data and PacBio data.		0	1	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1644	1843	13768	17494	0	0	0	0	454	485	3744	4325	37	37	480	480	22299	17992	2365	2135	https://usegalaxy.eu/published/workflow?id=93d7a5704ec1d82d		True	False
ccds_download_era5_af	ccds_download_era5_af	zip	Copernicus CDS Downloader for AquaINFRA marine model	2025-11-21	https://github.com/AquaINFRA/galaxy_vre	2.0.0	python		To update	Ecology					ecology	https://github.com/AquaINFRA/galaxy_vre	https://github.com/galaxyecology/tools-ecology/tree/master/tools/ccds_download_era5_af					0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			True	False
cd_hit_dup	cd_hit_dup	fastqsanger, tabular	simple tool for removing duplicates from sequencing reads	2015-04-28		0.0.1	cd-hit-auxtools	4.8.1	To update	Metagenomics, Sequence Analysis					devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/cd_hit_dup	https://github.com/galaxyproject/tools-devteam/tree/main/tools/cd_hit_dup					1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	501	770	7542	9437	0	0	0	0	0	0	0	0	9437	7542	770	501	https://usegalaxy.org/published/workflow?id=35c2626849348f2c		True	False
champ_blocs	cb_dissim, cb_ivr, cb_div	rdata, tabular	Compute indicators for turnover boulders fields	2022-10-28		0.0.0	r-base		To update	Ecology					ecology	https://github.com/Marie59/champ_blocs	https://github.com/galaxyecology/tools-ecology/tree/master/tools/champ_blocs					0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	9	9	216	216	0	0	0	0	0	0	0	0	2	2	11	11	227	227	11	11	https://usegalaxy.eu/published/workflow?id=a3ad27817f77061b, https://workflowhub.eu/workflows/1690?version=1, https://workflowhub.eu/workflows/661?version=1	ecology/champs-blocs	True	False
cmems_download_ic_bc	cmems_download_ic_bc	zip	Copernicus CMEMS Downloader for AquaINFRA marine model	2025-11-21	https://github.com/AquaINFRA/galaxy_vre	2.0.0	python		To update	Ecology					ecology	https://github.com/AquaINFRA/galaxy_vre	https://github.com/galaxyecology/tools-ecology/tree/master/tools/cmems_download_ic_bc					0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			True	False
data_exploration	tool_anonymization, ecology_homogeneity_normality, ecology_beta_diversity, ecology_link_between_var, ecology_presence_abs_abund, ecology_stat_presence_abs	tabular, txt, Rdata, png	Explore data through multiple statistical tools	2021-06-23		0.0.0	r-tangles		To update	Ecology					ecology	https://github.com/Marie59/Data_explo_tools	https://github.com/galaxyecology/tools-ecology/tree/master/tools/data_exploration					0	0	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	0	0	122	122	1286	1286	0	0	0	0	0	0	0	0	6	6	44	44	1330	1330	128	128	https://usegalaxy.eu/published/workflow?id=7b576a562031ff7e, https://usegalaxy.eu/published/workflow?id=a0404f6291874c01, https://workflowhub.eu/workflows/1693?version=1, https://workflowhub.eu/workflows/656?version=1	ecology/biodiversity-data-exploration	True	False
earth	landcover_subindicator	shp	Access, process, visualise oceanographic data for the Earth System	2024-10-21	https://github.com/Marie59/FE-ft-ESG/tree/main/earth	0.1.0	numpy		To update	Ecology					ecology	https://github.com/galaxyecology/tools-ecology/tree/master/tools/earth	https://github.com/galaxyecology/tools-ecology/tree/master/tools/earth					0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	1			True	False
ecoregionalization	ecoregion_brt_analysis, ecoregion_GeoNearestNeighbor, ecoregion_cluster_estimate, ClaraGuess, ecoregion_clara_cluster, ecoregion_eco_map, indicspecies, ecoregion_taxa_seeker	tabular, png, txt	Tools to compute ecoregionalization with BRT model predictions and clustering.	2023-07-26	https://github.com/PaulineSGN/Workflow_Galaxy	0.1.2+galaxy0	r-base		To update	Ecology					ecology	https://github.com/galaxyecology/tools-ecology/tree/master/tools/Ecoregionalization_workflow	https://github.com/galaxyecology/tools-ecology/tree/master/tools/Ecoregionalization_workflow					0	0	8	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	5	0	0	13	13	987	987	0	0	0	0	0	0	0	0	0	0	0	0	987	987	13	13	https://usegalaxy.eu/published/workflow?id=749bb05ec8674bec, https://usegalaxy.eu/published/workflow?id=89ff2a1143954d83, https://usegalaxy.eu/published/workflow?id=b727b64f37238fff, https://usegalaxy.eu/published/workflow?id=c5de0b794849e1b1, https://workflowhub.eu/workflows/1208?version=1, https://workflowhub.eu/workflows/1209?version=1, https://workflowhub.eu/workflows/1680?version=1, https://workflowhub.eu/workflows/658?version=1	ecology/Ecoregionalization_tutorial, ecology/ecoregiolifetraits	True	False
emlassemblyline	annotations_template, eal_table_template, eal_templates, eml2eal, eml_validate, entities_template, geo_cov_template, makeeml, raster_template, taxo_cov_template, vector_template	txt, xml	Tools using EML Assembly Line R package to generate EML metadata from template metadata files and vice versa	2023-07-21	https://github.com/EDIorg/EMLassemblyline	0.1.2+galaxy0	r-base		To update	Ecology					ecology	https://github.com/galaxyecology/tools-ecology/tree/master/tools/EMLassemblyline	https://github.com/galaxyecology/tools-ecology/tree/master/tools/EMLassemblyline					0	0	11	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	40	40	646	646	0	0	0	0	0	0	0	0	1	1	2	2	648	648	41	41	https://usegalaxy.eu/published/workflow?id=a30d511e3dda0895, https://usegalaxy.eu/published/workflow?id=ab89c61db3d7abbb		True	False
erga_ear	make_ear	pdf, txt	A tool to compile assembly reports and stastics from assembly pipeline	2024-06-07	https://github.com/ERGA-consortium/EARs/tree/main	24.10.15	reportlab		To update	Sequence Analysis, Assembly					bgruening	https://github.com/ERGA-consortium/EARs/tree/main	https://github.com/bgruening/galaxytools/tree/master/tools/ear					0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	99	99	0	0	0	0	0	0	0	0	0	0	0	0	99	99	4	4			True	False
eukcc	eukcc_single	tabular	Galaxy wrapper for EukCC	2025-07-25	https://github.com/EBI-Metagenomics/EukCC	2.1.3	eukcc	2.1.3	Up-to-date	Metagenomics	Sequence assembly validation	Sequence assembly validation	Metagenomics	Metagenomics	ufz	https://github.com/Helmholtz-UFZ/galaxy-tools/tree/main/tools/eukcc	https://github.com/Helmholtz-UFZ/galaxy-tools/tree/main/tools/eukcc	eukcc	EukCC	EukCC is a completeness and contamination estimator for metagenomic assembled microbial eukaryotic genomes.		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			True	False
flye	flye	fasta, graph_dot, gfa1, tabular, txt	Assembly of long and error-prone reads.	2018-09-22	https://github.com/fenderglass/Flye/	2.9.6	flye	2.9.6	Up-to-date	Assembly	Genome assembly, De-novo assembly, Mapping assembly, Cross-assembly	Genome assembly, De-novo assembly, Mapping assembly, Cross-assembly	Sequence assembly, Metagenomics, Whole genome sequencing, Genomics	Sequence assembly, Metagenomics, Whole genome sequencing	bgruening	https://github.com/bgruening/galaxytools/tree/master/tools/flye	https://github.com/bgruening/galaxytools/tree/master/tools/flye	Flye	Flye	Flye is a de novo assembler for single molecule sequencing reads, such as those produced by PacBio and Oxford Nanopore Technologies. It is designed for a wide range of datasets, from small bacterial projects to large mammalian-scale assemblies. The package represents a complete pipeline: it takes raw PB / ONT reads as input and outputs polished contigs.		1	1	1	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	4818	4961	49679	51133	4110	4110	36053	36053	2250	2274	13882	14419	185	185	1088	1088	102693	100702	11530	11363	https://usegalaxy.eu/published/workflow?id=0ebfab0e957b7267, https://usegalaxy.eu/published/workflow?id=152223c8aed27357, https://usegalaxy.eu/published/workflow?id=1c4c2eaaf177ba2c, https://usegalaxy.eu/published/workflow?id=2b888e200dfd91bc, https://usegalaxy.eu/published/workflow?id=2c992e509aa5dd9d, https://usegalaxy.eu/published/workflow?id=30b514cfb9cce524, https://usegalaxy.eu/published/workflow?id=34a07bf6407510ef, https://usegalaxy.eu/published/workflow?id=368d1ac0150ea0b6, https://usegalaxy.eu/published/workflow?id=36cba3f275da3f70, https://usegalaxy.eu/published/workflow?id=4ddbffe4b3fef275, https://usegalaxy.eu/published/workflow?id=5500de2961f7470c, https://usegalaxy.eu/published/workflow?id=585c21b7b1d864fc, https://usegalaxy.eu/published/workflow?id=6b79f4974f73593a, https://usegalaxy.eu/published/workflow?id=77e5bbd317750915, https://usegalaxy.eu/published/workflow?id=83a1b8949d87e3da, https://usegalaxy.eu/published/workflow?id=86cf02cc0868d238, https://usegalaxy.eu/published/workflow?id=8b2f53745e720d0f, https://usegalaxy.eu/published/workflow?id=968f0ac2617aa524, https://usegalaxy.eu/published/workflow?id=9ddb703e1db13504, https://usegalaxy.eu/published/workflow?id=a337bfb2eb1e583f, https://usegalaxy.eu/published/workflow?id=a84bac86ec183d46, https://usegalaxy.eu/published/workflow?id=b1d9e56aef03672b, https://usegalaxy.eu/published/workflow?id=b2dfa74f55a73409, https://usegalaxy.eu/published/workflow?id=bf48b0eb15e8ff75, https://usegalaxy.eu/published/workflow?id=c9ef2d2ce92e2dfb, https://usegalaxy.eu/published/workflow?id=cf8591391a17a914, https://usegalaxy.eu/published/workflow?id=d0339e4a794f4922, https://usegalaxy.eu/published/workflow?id=d2f75f70c33394ee, https://usegalaxy.eu/published/workflow?id=eb5ab8bc82569eee, https://usegalaxy.org.au/published/workflow?id=02c74095a7128c9d, https://usegalaxy.org.au/published/workflow?id=084bb76cf47d7060, https://usegalaxy.org.au/published/workflow?id=1ad4c47cee851dda, https://usegalaxy.org.au/published/workflow?id=22bd45f60c60a338, https://usegalaxy.org.au/published/workflow?id=2cb16d321a804b1a, https://usegalaxy.org.au/published/workflow?id=2e29b21cdec7d0cc, https://usegalaxy.org.au/published/workflow?id=35f39173f0ac9179, https://usegalaxy.org.au/published/workflow?id=479c6b0a96ea1610, https://usegalaxy.org.au/published/workflow?id=59618ed15510f531, https://usegalaxy.org.au/published/workflow?id=5b32e2f0d390a4ba, https://usegalaxy.org.au/published/workflow?id=6899f7948673d277, https://usegalaxy.org.au/published/workflow?id=68f5c371adbe5490, https://usegalaxy.org.au/published/workflow?id=7c343e5b55474d19, https://usegalaxy.org.au/published/workflow?id=803ef29108e36e58, https://usegalaxy.org.au/published/workflow?id=8a40059343cf4b87, https://usegalaxy.org.au/published/workflow?id=b5403e4fff2961f9, https://usegalaxy.org.au/published/workflow?id=b6bad1f167257248, https://usegalaxy.org.au/published/workflow?id=c4d23297f6fbf5f3, https://usegalaxy.org.au/published/workflow?id=c997a34b55425155, https://usegalaxy.org.au/published/workflow?id=d832905fbaf2ca31, https://usegalaxy.org.au/published/workflow?id=ef8c22c2525063a2, https://usegalaxy.org.au/published/workflow?id=fc664a96d8099652, https://usegalaxy.org/published/workflow?id=00596e862edb23f2, https://usegalaxy.org/published/workflow?id=03671490a9fc0453, https://usegalaxy.org/published/workflow?id=0602c14704dbe1ff, https://usegalaxy.org/published/workflow?id=2ded909e7e3a9962, https://usegalaxy.org/published/workflow?id=3f252e077e0bcce5, https://usegalaxy.org/published/workflow?id=48dafc35989f13b1, https://usegalaxy.org/published/workflow?id=547f86db467bf620, https://usegalaxy.org/published/workflow?id=5626a440a5798458, https://usegalaxy.org/published/workflow?id=562bcaa9b4d2e8a4, https://usegalaxy.org/published/workflow?id=69d8863d40524120, https://usegalaxy.org/published/workflow?id=7dd6e4150bb81ad1, https://usegalaxy.org/published/workflow?id=7fc8b2398b6f093f, https://usegalaxy.org/published/workflow?id=80a989d0bf4723ac, https://usegalaxy.org/published/workflow?id=80ac6adead9f97d8, https://usegalaxy.org/published/workflow?id=9b589bc76208fb1e, https://usegalaxy.org/published/workflow?id=bff206b4625375bc, https://usegalaxy.org/published/workflow?id=c451e4dca9981ed0, https://usegalaxy.org/published/workflow?id=c8d74054c1820087, https://usegalaxy.org/published/workflow?id=cce88bc57b180d09, https://usegalaxy.org/published/workflow?id=cdcf91a8ddb5dcd1, https://usegalaxy.org/published/workflow?id=e12324f5e3b930fd, https://workflowhub.eu/workflows/1062?version=1, https://workflowhub.eu/workflows/1114?version=1, https://workflowhub.eu/workflows/1495?version=1, https://workflowhub.eu/workflows/1595?version=1, https://workflowhub.eu/workflows/1613?version=2, https://workflowhub.eu/workflows/1617?version=1, https://workflowhub.eu/workflows/1621?version=1, https://workflowhub.eu/workflows/2011?version=1, https://workflowhub.eu/workflows/225?version=1, https://workflowhub.eu/workflows/51?version=1, https://workflowhub.eu/workflows/750?version=4, https://workflowhub.eu/workflows/788?version=1	assembly/chloroplast-assembly, assembly/hifi-assembly, assembly/hybrid_denovo_assembly, assembly/largegenome, assembly/mrsa-nanopore, microbiome/pathogen-detection-from-nanopore-foodborne-data	True	False
format_metaphlan2_output	format_metaphlan2_output	tabular	Format MetaPhlAn2 output to extract abundance at different taxonomic levels	2022-10-19		0.2.0			To update	Metagenomics	Formatting	Formatting	Taxonomy, Metagenomics	Taxonomy, Metagenomics	bebatut	https://github.com/bgruening/galaxytools/tree/master/tools/format_metaphlan2_output/	https://github.com/bgruening/galaxytools/tree/master/tools/format_metaphlan2_output	format_metaphlan2_output	Format metaphlan2 output	This tool format output file of MetaPhlan2 containing community content (abundance) at all taxonomic levels (from kingdom to strains).		0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	555	731	6485	7678	0	0	0	0	0	0	0	0	0	0	0	0	7678	6485	731	555	https://usegalaxy.eu/published/workflow?id=096b75501c8e0888, https://usegalaxy.eu/published/workflow?id=2cf09adb1ed6c3ec, https://usegalaxy.eu/published/workflow?id=7ab70660e6235cf0, https://usegalaxy.eu/published/workflow?id=994e5ff1df7d6c9e, https://usegalaxy.eu/published/workflow?id=9cbba5de2cbeeb0f, https://usegalaxy.eu/published/workflow?id=a8f829deb69b30ab, https://usegalaxy.eu/published/workflow?id=c01ef8354b585a1f, https://usegalaxy.eu/published/workflow?id=c3aa516e78ca4191, https://usegalaxy.eu/published/workflow?id=d05c6f0f3205fbd2, https://usegalaxy.eu/published/workflow?id=dfc2c53ac3103eff, https://usegalaxy.eu/published/workflow?id=ed0ad728cf21702b, https://usegalaxy.eu/published/workflow?id=f9175e670d8dfaa1		True	False
gdal	gdal_gdal_merge, gdal_gdal_translate, gdal_gdaladdo, gdal_gdalbuildvrt, gdal_gdalinfo, gdal_gdalwarp, gdal_ogr2ogr, gdal_ogrinfo	tiff, xml, txt, json, tabular, csv, shp	Geospatial Data Abstraction Library tools are all dedicated to manipulate raster and vector geospatial data formats.	2019-02-25	https://www.gdal.org	3.0.0			To update	Ecology					ecology	https://github.com/galaxyecology/tools-ecology/tree/master/tools/gdal	https://github.com/galaxyecology/tools-ecology/tree/master/tools/gdal					0	0	8	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8	8	0	11	15	724	1525	0	0	0	0	0	0	0	0	2	2	3	3	1528	727	17	13	https://usegalaxy.eu/published/workflow?id=3b0803542deff026, https://usegalaxy.eu/published/workflow?id=b0b6c8756070650b, https://workflowhub.eu/workflows/1670?version=1, https://workflowhub.eu/workflows/404?version=1	ecology/gbif_cleaning	True	False
