Name	Source	ID	Link	Creators	Tags	Creation time	Update time	Latest version	Versions	Number of steps	Tools	EDAM operations	EDAM topics	License	DOI	Projects	To keep	Deprecated
Metagenomics assembly tutorial workflow	WorkflowHub	1634	https://workflowhub.eu/workflows/1634?version=1		gtn, galaxy	2025-06-02	2025-06-02	1	1	8.0	megahit_contig2fastg, collection_column_join, megahit, metaspades, quast, bandage_image, bowtie2, bandage_info	Genome assembly, Visualisation, Read mapping, Sequence assembly validation, Sequence assembly visualisation		CC-BY-4.0		Galaxy Training Network	True	False
Genome Annotation with Prokka	WorkflowHub	1497	https://workflowhub.eu/workflows/1497?version=1		gtn, galaxy, genome-annotation	2025-06-02	2025-06-02	1	1	2.0	jbrowse, prokka	Gene prediction, Genome visualisation, Genome annotation, Coding region prediction		GPL-3.0-or-later		Galaxy Training Network	True	False
ONT -- Metagenomics-Kraken2-Krona	WorkflowHub	53	https://workflowhub.eu/workflows/53?version=1	Milad Miladi	ont	2020-08-05	2023-02-13	1	1	4.0	taxonomy_krona_chart, kraken2, datamash_reverse, tp_replace_in_line	Taxonomic classification, Visualisation		MIT		NanoGalaxy	True	False
Biodiversity data exploration tutorial	WorkflowHub	656	https://workflowhub.eu/workflows/656?version=1	Yvan Le Bras, Coline Royaux, Marie Jossé	biodiversity, ecology	2023-11-09	2024-12-09	1	1	6.0	ecology_homogeneity_normality, ecology_stat_presence_abs, ecology_beta_diversity, ecology_link_between_var, ecology_presence_abs_abund, tool_anonymization		Biodiversity, Ecology	CC-BY-4.0	10.48546/workflowhub.workflow.656.1	PNDB	True	False
Population and community metrics calculation from Biodiversity data	WorkflowHub	49	https://workflowhub.eu/workflows/49?version=2	Yvan Le Bras, Coline Royaux	biodiversity, community_metrics, ecology, glm, modeling, presence_absence, species abundance, statistics	2020-07-24	2024-12-09	2	1	4.0				MIT	10.48546/workflowhub.workflow.49.2	PNDB	True	False
Obitools eDNA metabarcoding	https://usegalaxy.eu	afad9a17a80bb26d	https://usegalaxy.eu/published/workflow?id=afad9a17a80bb26d		ecology, biodiversity, edna	2023-11-09	2025-09-12	1	1		join1, seq_filter_by_id, Cut1, obi_illumina_pairend, obi_annotate, fastqc, Filter1, ncbi_blastn_wrapper, obi_tab, obi_uniq, wc_gnu, obi_ngsfilter, unzip, fastq_groomer, obi_grep, obi_stat, obi_clean	Sequencing quality control, Sequence analysis, Sequence composition calculation, Statistical calculation		MIT			True	False
Satellite data for biodiversity	https://usegalaxy.eu	1d2cd0af01a30a46	https://usegalaxy.eu/published/workflow?id=1d2cd0af01a30a46	Marie Josse	ecology, earth-system, satellite	2023-03-01	2024-05-27	5	5		srs_diversity_maps, srs_spectral_indices, srs_global_indices, srs_preprocess_s2			MIT			True	False
Obis biodiversity indicator on Asian pacific	https://usegalaxy.eu	9e05bd65faf58ab3	https://usegalaxy.eu/published/workflow?id=9e05bd65faf58ab3			2023-03-13	2023-11-10	2	2		obisindicators, csv_to_tabular, Filter1, tp_cut_tool						True	False
Remote sensing Sentinel 2 data analysis to produce biodiversity metrics	https://usegalaxy.eu	da88448ab15d167d	https://usegalaxy.eu/published/workflow?id=da88448ab15d167d			2023-11-09	2023-11-09	1	1		srs_diversity_maps, srs_spectral_indices, srs_global_indices, srs_preprocess_s2						True	False
Compute and analyze biodiversity metrics with PAMPA toolsuite	https://usegalaxy.eu	d33ab07e4cf44f8c	https://usegalaxy.eu/published/workflow?id=d33ab07e4cf44f8c		ecology	2021-02-24	2021-02-24	0	0		pampa_glmsp, pampa_plotglm, Count1, Filter1, tp_cut_tool, tp_sort_header_tool, tp_cat, regexColumn1, pampa_communitymetrics, regex1, pampa_glmcomm, datamash_transpose, mergeCols1, pampa_presabs						True	False
16S_biodiversity_BIOM	https://usegalaxy.org.au	ca6f29110df8dadc	https://usegalaxy.org.au/published/workflow?id=ca6f29110df8dadc		metadegalaxy	2019-03-21	2021-04-01	9	9		phyloseq_DESeq2, symmetricPlot, phyloseq_net, phyloseq_abundance, biom_convert, phyloseq_taxonomy, phyloseq_richness, biom_add_metadata	Formatting					True	False
16S_biodiversity_for_nonoverlap_paired_end	https://usegalaxy.org.au	869440d35a618836	https://usegalaxy.org.au/published/workflow?id=869440d35a618836		metadegalaxy	2019-03-21	2021-04-01	18	18		symmetricPlot, phyloseq_abundance, bwa_mem, vsearch_dereplication, samtools_fastx, phyloseq_richness, vsearch_chimera_detection, phyloseq_net, biom_convert, addValue, biom_add_metadata, phyloseq_DESeq2, vsearch_search, fastqc, vsearch_clustering, trimmomatic, Cut1, cat_multi_datasets, uclust2otutable, phyloseq_taxonomy, picard_FilterSamReads, cat1	Formatting, Sequencing quality control, Sequence alignment, Genome indexing, DNA mapping, Statistical calculation, Generation, Read mapping, Chimera detection, Sequence composition calculation					True	False
16S_biodiversity_for_overlap_paired_end	https://usegalaxy.org.au	14e80b7f9f68ec2a	https://usegalaxy.org.au/published/workflow?id=14e80b7f9f68ec2a		metadegalaxy	2019-03-21	2021-04-01	16	16		symmetricPlot, phyloseq_abundance, bwa_mem, vsearch_dereplication, samtools_fastx, phyloseq_richness, vsearch_chimera_detection, phyloseq_net, biom_convert, addValue, biom_add_metadata, phyloseq_DESeq2, vsearch_search, picard_MergeSamFiles, fastqc, vsearch_clustering, iuc_pear, trimmomatic, Cut1, uclust2otutable, phyloseq_taxonomy, picard_FilterSamReads, cat1	Formatting, Sequencing quality control, Sequence alignment, Genome indexing, DNA mapping, Statistical calculation, Generation, Read mapping, Chimera detection, Sequence composition calculation, Sequence merging					True	False
