,Galaxy wrapper id,count,Description,bio.tool id,bio.tool name,bio.tool description,EDAM operation,EDAM topic,Status,Source,ToolShed categories,ToolShed id,Galaxy wrapper owner,Galaxy wrapper source,Galaxy wrapper version,Conda id,Conda version
10,codeml,29,Detects positive selection,,,,,,Up-to-date,http://abacus.gene.ucl.ac.uk/software/paml.html,Phylogenetics,codeml,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/codeml,,paml,
11,combine_metaphlan2_humann2,156,Combine MetaPhlAn2 and HUMAnN2 outputs to relate genus/species abundances and gene families/pathways abundances,,,,,,To update,,Metagenomics,combine_metaphlan2_humann2,bebatut,https://github.com/bgruening/galaxytools/tree/master/tools/combine_metaphlan2_humann2,,,
12,compare_humann2_output,10,Compare outputs of HUMAnN2 for several samples and extract similar and specific information,,,,,,To update,,Metagenomics,compare_humann2_output,bebatut,https://github.com/bgruening/galaxytools/tree/master/tools/compare_humann2_output,,,
13,concoct,29,CONCOCT (Clustering cONtigs with COverage and ComposiTion) does unsupervised binning of metagenomic contigs byusing nucleotide composition - kmer frequencies - and coverage data for multiple samples. CONCOCT can accurately(up to species level) bin metagenomic contigs.,,,,,,Up-to-date,https://github.com/BinPro/CONCOCT,Metagenomics,concoct,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/concoct,,concoct,
14,das_tool,17,DAS Tool for genome resolved metagenomics,,,,,,Up-to-date,https://github.com/cmks/DAS_Tool,Metagenomics,das_tool,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/das_tool,,das_tool,
15,disco,42,DISCO is a overlap-layout-consensus (OLC) metagenome assembler,disco,DISCO,"DISCO is software to perform structure determination of protein homo-oligomers with cyclic symmetry.DISCO computes oligomeric protein structures using geometric constraints derived from RDCs and intermolecular distance restraints such as NOEs or disulfide bonds. When a reliable subunit structure can be calculated from intramolecular restraints, DISCO guarantees that all satisfying oligomer structures will be discovered, yet can run in minutes to hours on only a single desktop-class computer.",,Structure determination,To update,http://disco.omicsbio.org/,"Metagenomics, Assembly",disco,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/disco/,,disco,
16,ectyper,53,EC-Typer - in silico serotyping of Escherichia coli species,,,,,,Up-to-date,https://github.com/phac-nml/ecoli_serotyping,Sequence Analysis,ectyper,nml,https://github.com/phac-nml/ecoli_serotyping,,ectyper,
17,export2graphlan,200,export2graphlan is a conversion software tool for producing both annotation and tree file for GraPhlAn,,,,,,To update,https://bitbucket.org/CibioCM/export2graphlan/overview,Metagenomics,export2graphlan,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/export2graphlan/,,export2graphlan,
18,fargene,52,fARGene (Fragmented Antibiotic Resistance Gene iENntifiEr ),,,,,,Up-to-date,https://github.com/fannyhb/fargene,Sequence Analysis,fargene,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/fargene,,fargene,
19,fastqe,1266,FASTQE,,,,,,To update,https://github.com/galaxyproject/tools-iuc/tree/master/tools/fastqe,Sequence Analysis,fastqe,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/fastqe,,fastqe,
20,fasttree,379,FastTree infers approximately-maximum-likelihood phylogenetic trees from alignments of nucleotide or protein sequences - GVL,fasttree,FastTree,Infers approximately-maximum-likelihood phylogenetic trees from alignments of nucleotide or protein sequences.,,"Phylogenetics, Sequence analysis",To update,http://www.microbesonline.org/fasttree/,Phylogenetics,fasttree,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/fasttree,,fasttree,
21,filtlong,617,Filtlong - Filtering long reads by quality,,,,,,Up-to-date,https://github.com/rrwick/Filtlong,"Fastq Manipulation, Sequence Analysis",filtlong,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/filtlong,,filtlong,
22,format_metaphlan2_output,166,Format MetaPhlAn2 output to extract abundance at different taxonomic levels,,,,,,To update,,Metagenomics,format_metaphlan2_output,bebatut,https://github.com/bgruening/galaxytools/tree/master/tools/format_metaphlan2_output/,,,
23,fraggenescan,68,Tool for finding (fragmented) genes in short read,fraggenescan,FragGeneScan,Application for finding (fragmented) genes in short reads,,"Genetics, Sequence analysis",To update,https://sourceforge.net/projects/fraggenescan/,Sequence Analysis,fraggenescan,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/fraggenescan/,,fraggenescan,
24,goenrichment,321,Performs GO Enrichment analysis.,goenrichment,GOEnrichment,"GOEnrichment is a tool for performing GO enrichment analysis of gene sets, such as those obtained from RNA-seq or Microarray experiments, to help characterize them at the functional level. It is available in Galaxy Europe and as a stand-alone tool.GOEnrichment is flexible in that it allows the user to use any version of the Gene Ontology and any GO annotation file they desire. To enable the use of GO slims, it is accompanied by a sister tool GOSlimmer, which can convert annotation files from full GO to any specified GO slim.The tool features an optional graph clustering algorithm to reduce the redundancy in the set of enriched GO terms and simplify its output.It was developed by the BioData.pt / ELIXIR-PT team at the Instituto Gulbenkian de Ciência.",,Transcriptomics,Up-to-date,https://github.com/DanFaria/GOEnrichment,Genome annotation,,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/goenrichment,,goenrichment,
25,goseq,1210,goseq does selection-unbiased testing for category enrichment amongst differentially expressed (DE) genes for RNA-seq data,goseq,GOseq,Detect Gene Ontology and/or other user defined categories which are over/under represented in RNA-seq data.,,RNA-seq,To update,https://bioconductor.org/packages/release/bioc/html/goseq.html,"Statistics, RNA, Micro-array Analysis",goseq,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/goseq,,bioconductor-goseq,
26,graphlan,247,GraPhlAn is a software tool for producing high-quality circular representations of taxonomic and phylogenetic trees,,,,,,To update,https://bitbucket.org/nsegata/graphlan/overview,"Metagenomics, Graphics, Phylogenetics",graphlan,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/humann2/,,graphlan,
27,gubbins,145,Gubbins - bacterial recombination detection,gubbins,Gubbins,Gubbins is a tool for rapid phylogenetic analysis of large samples of recombinant bacterial whole genome sequences.,,"Phylogeny, Genotype and phenotype, Whole genome sequencing",Up-to-date,,Sequence Analysis,gubbins,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/gubbins,,gubbins,
28,humann,247,HUMAnN for functionally profiling metagenomes and metatranscriptomes at species-level resolution,,,,,,To update,http://huttenhower.sph.harvard.edu/humann,Metagenomics,humann,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/humann,,humann,
29,interproscan,677,Interproscan queries the interpro database and provides annotations.,interproscan_4,InterProScan (EBI),Scan sequences against the InterPro protein signature databases.,,"Gene and protein families, Sequence analysis",To update,http://www.ebi.ac.uk/Tools/pfa/iprscan5/,Sequence Analysis,interproscan,bgruening,https://github.com/galaxyproject/tools-iuc/tree/master/tools/interproscan,,interproscan,
30,iqtree,681,Efficient phylogenomic software by maximum likelihood,,,,,,To update,http://www.iqtree.org/,Phylogenetics,iqtree,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/iqtree/,,iqtree,
31,itsx,38,ITSx is an open source software utility to extract the highly variable ITS1 and ITS2 subregions from ITS sequences.,ITSx,ITSx,"TSx is an open source software utility to extract the highly variable ITS1 and ITS2 subregions from ITS sequences, which is commonly used as a molecular barcode for e.g. fungi. As the inclusion of parts of the neighbouring, very conserved, ribosomal genes (SSU, 5S and LSU rRNA sequences) in the sequence identification process can lead to severely misleading results, ITSx identifies and extracts only the ITS regions themselves.",,"Functional, regulatory and non-coding RNA, Microbiology",Up-to-date,https://microbiology.se/software/itsx/,Metagenomics,itsx,bgruening,https://github.com/bgruening/galaxytools/tree/master/tools/itsx,,itsx,
32,jbrowse,2269,JBrowse Genome Browser integrated as a Galaxy Tool,jbrowse,JBrowse,"Slick, speedy genome browser with a responsive and dynamic AJAX interface for visualization of genome data. Being developed by the GMOD project as a successor to GBrowse.",,Genomics,Up-to-date,https://jbrowse.org,Sequence Analysis,jbrowse,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/jbrowse,,jbrowse,
33,kc-align,19,Kc-Align custom tool,kc-align,kc-align,A fast and accurate tool for performing codon-aware multiple sequence alignments,,Mapping,Up-to-date,https://github.com/davebx/kc-align,Sequence Analysis,kc_align,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/kc-align,,kcalign,
34,kleborate,38,Screen genome assemblies of Klebsiella pneumoniae and the Klebsiella pneumoniae species complex (KpSC),,,,,,Up-to-date,https://github.com/katholt/Kleborate/wiki,Metagenomics,kleborate,iuc,https://github.com/katholt/Kleborate,,kleborate,
35,kofamscan,33,Gene function annotation tool based on KEGG Orthology and hidden Markov model,,,,,,Up-to-date,https://github.com/takaram/kofam_scan,Sequence Analysis,kofamscan,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/kofamscan,,kofamscan,
36,kraken2,2367,Kraken is a taxonomic classification system using exact k-mer matches to achieve high accuracy and fast classification speeds. This classifier matches each k-mer within a query sequence to the lowest common ancestor (LCA) of all genomes containing the given k-mer. The k-mer assignments inform the classification algorithm.,,,,,,,,,,,,,,
37,kraken_biom,182,Create BIOM-format tables (http://biom-format.org) from Kraken output (http://ccb.jhu.edu/software/kraken/),,,,,,Up-to-date,https://github.com/smdabdoub/kraken-biom,Metagenomics,kraken_biom,iuc,https://github.com/smdabdoub/kraken-biom,,kraken-biom,
38,kraken_taxonomy_report,354,Kraken taxonomy report,,,,,,To update,https://github.com/blankenberg/Kraken-Taxonomy-Report,Metagenomics,kraken_taxonomy_report,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/kraken_taxonomy_report,,biopython,
39,legsta,7,Performs in silico Legionella pneumophila sequence based typing.,,,,,,Up-to-date,https://github.com/tseemann/legsta,Sequence Analysis,legsta,iuc,https://github.com/tseemann/legsta,,legsta,
40,lighter,9,Lighter is a kmer-based error correction method for whole genome sequencing data,,,,,,To update,,"Sequence Analysis, Fasta Manipulation",lighter,bgruening,https://github.com/mourisl/Lighter,,lighter,
41,lotus2,114,LotuS2 OTU processing pipeline,,,,,,Up-to-date,http://lotus2.earlham.ac.uk/,Metagenomics,lotus2,earlhaminst,https://github.com/TGAC/earlham-galaxytools/tree/master/tools/lotus2,,lotus2,
42,maaslin2,29,MaAsLin2 is comprehensive R package for efficiently determining multivariable association between microbial meta'omic features and clinical metadata.,,,,,,Up-to-date,http://huttenhower.sph.harvard.edu/maaslin,Metagenomics,maaslin2,iuc,https://github.com/biobakery/Maaslin2,,maaslin2,
43,maker,419,MAKER is a portable and easily configurable genome annotation pipeline.Its purpose is to allow smaller eukaryotic and prokaryotic genome projects to independently annotate their genomes and to create genome databases.,maker,MAKER,Portable and easily configurable genome annotation pipeline. It’s purpose is to allow smaller eukaryotic and prokaryotic genome projects to independently annotate their genomes and to create genome databases.,,"Genomics, DNA, Sequence analysis",To update,http://www.yandell-lab.org/software/maker.html,Sequence Analysis,,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/maker,,maker,
44,maxbin2,118,clusters metagenomic contigs into bins,masigpro,maSigPro,Regression based approach to find genes for which there are significant gene expression profile differences between experimental groups in time course microarray and RNA-Seq experiments.,,"Gene expression, Molecular genetics, Microarray experiment, RNA-Seq",To update,https://downloads.jbei.org/data/microbial_communities/MaxBin/MaxBin.html,Metagenomics,maxbin2,mbernt,https://github.com/galaxyproject/tools-iuc/tree/master/tools/maxbin2/,,maxbin2,
45,mcl,10,Markov Cluster Algorithm,,,,,,Up-to-date,http://micans.org/mcl/,"Sequence Analysis, Metagenomics",mcl,bgruening,https://github.com/bgruening/galaxytools/tree/master/tools/mcl,,mcl,
46,mea,3,Maximum expected accuracy prediction,,,,,,To update,http://www.bioinf.uni-leipzig.de/Software/mea,RNA,mea,rnateam,https://github.com/bgruening/galaxytools/tree/master/tools/rna_tools/mea,,mea,
47,megahit,548,An ultra-fast single-node solution for large and complex metagenomics assembly via succinct de Bruijn graph.,megahit,MEGAHIT,"Single node assembler for large and complex metagenomics NGS reads, such as soil. It makes use of succinct de Bruijn graph to achieve low memory usage, whereas its goal is not to make memory usage as low as possible.",,"Metagenomics, Sequencing, Ecology, Sequence assembly",Up-to-date,https://github.com/voutcn/megahit,"Sequence Analysis, Assembly, Metagenomics",megahit,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/megahit,,megahit,
48,megahit_contig2fastg,54,A subprogram within the Megahit toolkit for converting contigs to assembly graphs (fastg),megahit,MEGAHIT,"Single node assembler for large and complex metagenomics NGS reads, such as soil. It makes use of succinct de Bruijn graph to achieve low memory usage, whereas its goal is not to make memory usage as low as possible.",,"Metagenomics, Sequencing, Ecology, Sequence assembly",To update,https://github.com/voutcn/megahit/blob/master/tools/toolkit.cpp,"Sequence Analysis, Assembly, Metagenomics",megahit_contig2fastg,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/megahit_contig2fastg,,megahit,
49,metabat2,154,MetaBAT2 (Metagenome Binning based on Abundance and Tetranucleotide frequency) is an automated metagenome binningsoftware that integrates empirical probabilistic distances of genome abundance and tetranucleotide frequency.,,,,,,Up-to-date,https://bitbucket.org/berkeleylab/metabat/src/master/,Metagenomics,metabat2,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/metabat2/,,metabat2,
50,metagene_annotator,115,MetaGeneAnnotator gene-finding program for prokaryote and phage,,,,,,To update,,Sequence Analysis,metagene_annotator,galaxyp,https://github.com/galaxyproteomics/tools-galaxyp/tree/master/metagene_annotator,,metagene_annotator,
51,metaphlan,427,MetaPhlAn for Metagenomic Phylogenetic Analysis,,,,,,To update,https://github.com/biobakery/MetaPhlAn,Metagenomics,metaphlan,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/metaphlan/,,metaphlan,
52,minipolish,21,Polishing miniasm assemblies,,,,,,Up-to-date,https://github.com/rrwick/Minipolish,Sequence Analysis,minipolish,bgruening,https://github.com/bgruening/galaxytools/tree/master/tools/minipolish,,minipolish,
53,miniprot,15,"Align a protein sequence against a genome with affine gap penalty, splicing and frameshift.",,,,,,To update,https://github.com/lh3/miniprot,Sequence Analysis,,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/miniprot,,miniprot,
54,mitos,58,de-novo annotation of metazoan mitochondrial genomes,mitos,MITOS,De novo metazoan mitochondrial genome annotation.,,"Zoology, Whole genome sequencing",To update,http://mitos.bioinf.uni-leipzig.de/,Sequence Analysis,mitos,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/mitos,,mitos,
55,mlst,570,Scan contig files against PubMLST typing schemes,mlst,MLST,Multi Locus Sequence Typing from an assembled genome or from a set of reads.,,"Immunoproteins, genes and antigens",To update,https://github.com/tseemann/mlst,Sequence Analysis,mlst,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/mlst,,mlst,
56,nanoplot,2195,Plotting tool for long read sequencing data and alignments,,,,,,To update,https://github.com/wdecoster/NanoPlot,Visualization,nanoplot,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/nanoplot/,,nanoplot,
57,nextclade,169,Identify differences between your sequences and a reference sequence used by Nextstrain,,,,,,Up-to-date,https://github.com/nextstrain/nextclade,Sequence Analysis,,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/nextclade,,nextalign,
58,nonpareil,5,Estimate average coverage in metagenomic datasets,,,,,,To update,http://nonpareil.readthedocs.io,Metagenomics,nonpareil,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/nonpareil,,nonpareil,
59,orfipy,53,Galaxy wrapper for ORFIPY,,,,,,Up-to-date,https://github.com/urmi-21/orfipy,Sequence Analysis,orfipy,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/orfipy,,orfipy,
60,pangolin,259,Phylogenetic Assignment of Named Global Outbreak LINeages,,,,,,To update,https://github.com/hCoV-2019/pangolin,Sequence Analysis,pangolin,nml,https://github.com/hCoV-2019/pangolin,,pangolin,
61,phyml,104,PhyML is a phylogeny software based on the maximum-likelihood principle.,phyml,PhyML,Phylogenetic estimation software using Maximum Likelihood,,"Phylogenetics, Bioinformatics, Phylogenetics",To update,http://www.atgc-montpellier.fr/phyml/,Phylogenetics,phyml,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/phyml,,phyml,
62,plasmidfinder,8,"""PlasmidFinder provides the detection of replicons in the WGSand assigns the plasmids under study to lineages that trace backthe information to the existing knowledge on Inc groups and suggestspossible reference plasmids for each lineage""",,,,,,Up-to-date,https://bitbucket.org/genomicepidemiology/plasmidfinder/src/master/,Sequence Analysis,plasmidfinder,iuc,https://github.com/mesocentre-clermont-auvergne/galaxy-tools/tree/master/tools/plasmidfinder,,plasmidfinder,
63,prokka,3233,Rapid annotation of prokaryotic genomes,prokka,Prokka,"Software tool to annotate bacterial, archaeal and viral genomes quickly and produce standards-compliant output files.",,"Genomics, Model organisms, Virology",Up-to-date,http://github.com/tseemann/prokka,Sequence Analysis,prokka,crs4,https://github.com/galaxyproject/tools-iuc/tree/master/tools/prokka/,,prokka,
64,pycoqc,350,QC metrics for ONT Basecalling,,,,,,Up-to-date,https://github.com/tleonardi/pycoQC,Nanopore,pycoqc,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/pycoqc,,pycoqc,
65,racon,309,Consensus module for raw de novo DNA assembly of long uncorrected reads.,,,,,,Up-to-date,https://github.com/isovic/racon,Sequence Analysis,racon,bgruening,https://github.com/bgruening/galaxytools/tree/master/tools/racon,,racon,
66,raxml,383,RAxML - A Maximum Likelihood based phylogenetic inference,raxml,RAxML,A tool for Phylogenetic Analysis and Post-Analysis of Large Phylogenies.,,"Phylogenetics, Sequence analysis",To update,http://www.exelixis-lab.org/web/software/raxml/,Phylogenetics,raxml,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/raxml,,raxml,
67,read_it_and_keep,71,Rapid decontamination of SARS-CoV-2 sequencing reads,,,,,,To update,https://github.com/GenomePathogenAnalysisService/read-it-and-keep,Sequence Analysis,read_it_and_keep,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/read-it-and-keep,,read-it-and-keep,
68,recentrifuge,48,"""With Recentrifuge, researchers can analyze results from taxonomic classifiers using interactive charts with emphasis on the confidence level of the classifications.In addition to contamination-subtracted samples.Recentrifuge provides shared and exclusive taxa per sample,thus enabling robust contamination removal and comparative analysis in environmental and clinical metagenomics.""",,,,,,To update,https://github.com/khyox/recentrifuge,Metagenomics,recentrifuge,iuc,https://github.com/mesocentre-clermont-auvergne/galaxy-tools/tree/master/tools/recentrifuge,,recentrifuge,
69,roary,656,Roary the pangenome pipeline,roary,Roary,"A high speed stand alone pan genome pipeline, which takes annotated assemblies in GFF3 format (produced by Prokka (Seemann, 2014)) and calculates the pan genome.",,"DNA, Genomics, Mapping",Up-to-date,https://sanger-pathogens.github.io/Roary/,Sequence Analysis,roary,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/roary,,roary,
70,salmon,746,"Salmon is a wicked-fast program to produce a highly-accurate, transcript-level quantification estimates from RNA-seq and single-cell data.",,,,,,To update,https://github.com/COMBINE-lab/salmon,"Sequence Analysis, RNA, Transcriptomics",,bgruening,https://github.com/bgruening/galaxytools/tree/master/tools/salmon,,salmon,
71,sarscov2formatter,7,sarscov2formatter custom script,,,,,,Up-to-date,https://github.com/nickeener/sarscov2formatter,Sequence Analysis,sarscov2formatter,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/sarscov2formatter,,sarscov2formatter,
72,sarscov2summary,1,sarscov2summary custom script,,,,,,To update,https://github.com/nickeener/sarscov2summary,Sequence Analysis,sarscov2summary,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/sarscov2summary,,sarscov2summary,
73,scoary,61,Scoary calculates the assocations between all genes in the accessory genome and the traits.,,,,,,Up-to-date,https://github.com/AdmiralenOla/Scoary,Metagenomics,scoary,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/scoary,,scoary,
74,semibin,10,SemiBin: Semi-supervised Metagenomic Binning Using Siamese Neural Networks,,,,,,To update,https://semibin.readthedocs.io/en/latest/,Metagenomics,semibin,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/semibin,,semibin,
75,sistr_cmd,133,SISTR in silico serotyping tool,,,,,,Up-to-date,https://github.com/phac-nml/sistr_cmd,Sequence Analysis,sistr_cmd,nml,,,sistr_cmd,
76,snippy,1035,Contains the snippy tool for characterising microbial snps,snippy,snippy,Rapid haploid variant calling and core SNP phylogeny generation.,,"Genomics, Model organisms, DNA polymorphism, Phylogenetics",To update,https://github.com/tseemann/snippy,Sequence Analysis,snippy,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/snippy,,snippy,
77,sonneityping,1,Scripts for parsing Mykrobe predict results for Shigella sonnei.,,,,,,Up-to-date,https://github.com/katholt/sonneityping,Sequence Analysis,sonneityping,iuc,https://github.com/katholt/sonneityping,,sonneityping,
78,spades,2309,"SPAdes is an assembly toolkit containing various assembly pipelines. It implements the following 4 stages: assembly graph construction, k-bimer adjustment, construction of paired assembly graph and contig construction.",,,,,,To update,https://github.com/ablab/spades,"Assembly, RNA, Metagenomics",spades,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/spades,,spades,
79,spotyping,12,SpoTyping allows fast and accurate in silico Mycobacterium spoligotyping from sequence reads,spotyping,SpoTyping,Fast and accurate in silico Mycobacterium spoligotyping from sequence reads.,,"Microbiology, Sequencing, Sequence composition, complexity and repeats, Genetic variation",Up-to-date,https://github.com/xiaeryu/SpoTyping-v2.0,Sequence Analysis,spotyping,iuc,https://github.com/xiaeryu/SpoTyping-v2.0/tree/master/SpoTyping-v2.0-commandLine,,spotyping,
80,srst2,22,Short Read Sequence Typing for Bacterial Pathogens,,,,,,To update,,Sequence Analysis,srst2,nml,,,srst2,
81,srst2,22,SRST2 Short Read Sequence Typing for Bacterial Pathogens,,,,,,To update,http://katholt.github.io/srst2/,Metagenomics,srst2,iuc,https://github.com/katholt/srst2,,samtools,
82,structure,59,for using multi-locus genotype data to investigate population structure.,structure,Structure,"The program structureis a free software package for using multi-locus genotype data to investigate population structure. Its uses include inferring the presence of distinct populations, assigning individuals to populations, studying hybrid zones, identifying migrants and admixed individuals, and estimating population allele frequencies in situations where many individuals are migrants or admixed.",,Population genetics,Up-to-date,,"Phylogenetics, Variant Analysis",structure,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/structure,,structure,
83,transtermhp,5,Finds rho-independent transcription terminators in bacterial genomes,,,,,,To update,,Sequence Analysis,transtermhp,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/transtermhp,,transtermhp,
84,usher,5,UShER toolkit wrappers,,,,,,To update,https://github.com/yatisht/usher,Phylogenetics,usher,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/usher,,usher,
85,valet,20,A pipeline for detecting mis-assemblies in metagenomic assemblies.,,,,,,To update,https://github.com/marbl/VALET,Metagenomics,valet,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/valet,,valet,
86,vapor,94,Classify Influenza samples from raw short read sequence data,vapor,VAPOR,"VAPOR is a tool for classification of Influenza samples from raw short read sequence data for downstream bioinformatics analysis. VAPOR is provided with a fasta file of full-length sequences (> 20,000) for a given segment, a set of reads, and attempts to retrieve a reference that is closest to the sample strain.",,"Whole genome sequencing, Mapping, Sequence assembly",Up-to-date,https://github.com/connor-lab/vapor,Sequence Analysis,vapor,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/vapor,,vapor,
