,Galaxy wrapper id,count,Description
31,export2graphlan,200,export2graphlan is a conversion software tool for producing both annotation and tree file for GraPhlAn
32,kraken_biom,182,Create BIOM-format tables (http://biom-format.org) from Kraken output (http://ccb.jhu.edu/software/kraken/)
33,nextclade,169,Identify differences between your sequences and a reference sequence used by Nextstrain
34,format_metaphlan2_output,166,Format MetaPhlAn2 output to extract abundance at different taxonomic levels
35,combine_metaphlan2_humann2,156,Combine MetaPhlAn2 and HUMAnN2 outputs to relate genus/species abundances and gene families/pathways abundances
36,metabat2,154,MetaBAT2 (Metagenome Binning based on Abundance and Tetranucleotide frequency) is an automated metagenome binningsoftware that integrates empirical probabilistic distances of genome abundance and tetranucleotide frequency.
37,bakta,151,"""Bakta is a tool for the rapid & standardized annotation of bacterial genomes and plasmids from both isolates and MAGs.It provides dbxref-rich and sORF-including annotations in machine-readable JSON & bioinformatics standard file formats for automatic downstream analysis."""
38,gubbins,145,Gubbins - bacterial recombination detection
39,sistr_cmd,133,SISTR in silico serotyping tool
40,maxbin2,118,clusters metagenomic contigs into bins
41,metagene_annotator,115,MetaGeneAnnotator gene-finding program for prokaryote and phage
42,lotus2,114,LotuS2 OTU processing pipeline
43,phyml,104,PhyML is a phylogeny software based on the maximum-likelihood principle.
44,vapor,94,Classify Influenza samples from raw short read sequence data
45,read_it_and_keep,71,Rapid decontamination of SARS-CoV-2 sequencing reads
46,fraggenescan,68,Tool for finding (fragmented) genes in short read
47,scoary,61,Scoary calculates the assocations between all genes in the accessory genome and the traits.
48,structure,59,for using multi-locus genotype data to investigate population structure.
49,mitos,58,de-novo annotation of metazoan mitochondrial genomes
50,megahit_contig2fastg,54,A subprogram within the Megahit toolkit for converting contigs to assembly graphs (fastg)
51,orfipy,53,Galaxy wrapper for ORFIPY
52,ectyper,53,EC-Typer - in silico serotyping of Escherichia coli species
53,fargene,52,fARGene (Fragmented Antibiotic Resistance Gene iENntifiEr )
54,recentrifuge,48,"""With Recentrifuge, researchers can analyze results from taxonomic classifiers using interactive charts with emphasis on the confidence level of the classifications.In addition to contamination-subtracted samples.Recentrifuge provides shared and exclusive taxa per sample,thus enabling robust contamination removal and comparative analysis in environmental and clinical metagenomics."""
55,disco,42,DISCO is a overlap-layout-consensus (OLC) metagenome assembler
56,itsx,38,ITSx is an open source software utility to extract the highly variable ITS1 and ITS2 subregions from ITS sequences.
57,kleborate,38,Screen genome assemblies of Klebsiella pneumoniae and the Klebsiella pneumoniae species complex (KpSC)
58,kofamscan,33,Gene function annotation tool based on KEGG Orthology and hidden Markov model
59,concoct,29,CONCOCT (Clustering cONtigs with COverage and ComposiTion) does unsupervised binning of metagenomic contigs byusing nucleotide composition - kmer frequencies - and coverage data for multiple samples. CONCOCT can accurately(up to species level) bin metagenomic contigs.
60,maaslin2,29,MaAsLin2 is comprehensive R package for efficiently determining multivariable association between microbial meta'omic features and clinical metadata.
61,codeml,29,Detects positive selection
62,srst2,22,Short Read Sequence Typing for Bacterial Pathogens
63,srst2,22,SRST2 Short Read Sequence Typing for Bacterial Pathogens
64,minipolish,21,Polishing miniasm assemblies
65,valet,20,A pipeline for detecting mis-assemblies in metagenomic assemblies.
66,kc-align,19,Kc-Align custom tool
67,das_tool,17,DAS Tool for genome resolved metagenomics
68,miniprot,15,"Align a protein sequence against a genome with affine gap penalty, splicing and frameshift."
69,aldex2,13,Performs analysis Of differential abundance taking sample variation into account
70,spotyping,12,SpoTyping allows fast and accurate in silico Mycobacterium spoligotyping from sequence reads
71,amplican,12,AmpliCan is an analysis tool for genome editing.
72,semibin,10,SemiBin: Semi-supervised Metagenomic Binning Using Siamese Neural Networks
73,compare_humann2_output,10,Compare outputs of HUMAnN2 for several samples and extract similar and specific information
74,mcl,10,Markov Cluster Algorithm
75,lighter,9,Lighter is a kmer-based error correction method for whole genome sequencing data
76,cemitool,9,Gene co-expression network analysis tool
77,plasmidfinder,8,"""PlasmidFinder provides the detection of replicons in the WGSand assigns the plasmids under study to lineages that trace backthe information to the existing knowledge on Inc groups and suggestspossible reference plasmids for each lineage"""
78,sarscov2formatter,7,sarscov2formatter custom script
79,legsta,7,Performs in silico Legionella pneumophila sequence based typing.
80,transtermhp,5,Finds rho-independent transcription terminators in bacterial genomes
81,nonpareil,5,Estimate average coverage in metagenomic datasets
82,usher,5,UShER toolkit wrappers
83,ancombc,4,Performs analysis of compositions of microbiomes with bias correction.
84,mea,3,Maximum expected accuracy prediction
85,sarscov2summary,1,sarscov2summary custom script
86,sonneityping,1,Scripts for parsing Mykrobe predict results for Shigella sonnei.
