Title	Year	Journal	Targeted organisms	Technical target	Methods	Topics
Capsicum annuum L. plants treated with seaweed extracts (Sargassum spp. and Ascophyllum nodosum) show changes in the root and rhizosphere bacterial microbiome and improved performance under drought conditions	2025	Journal of Applied Phycology	Bacteria, Microbiome			Ecosystem Dynamics & Biodiversity
Mumia spirodelae sp. nov., a novel actinobacterium isolated from greater duckweed (Spirodela polyrhiza).	2025	International journal of systematic and evolutionary microbiology	Bacteria	Isolate, Community (taxonomy) profiling	Metabarcoding	
High prevalence of multidrug-resistant Salmonella enterica in Thailand food markets: insights from complete genome and phenotypic characterization of ESBL-producing strains	2025	Microbiology Spectrum	Bacteria, Pathogen	Isolate, AMR	(Meta)genomics	Ecosystem Dynamics & Biodiversity, Health & Disease
Plant-pathogen interactions: making the case for multi-omics analysis of complex pathosystems	2025	Stress Biology	Pathogen	Interactome	(Meta)genomics, (Meta)transcriptomics, (Meta)proteomics, Metabolomics	Ecosystem Dynamics & Biodiversity, Health & Disease
Evaluation of the Oral Microbiome in Patients with Alström and Bardet-Biedl Syndromes and Their Heterozygous Family Members	2025	Microorganisms	Bacteria, Microbiome	Isolate, Variant	Metabarcoding	Health & Disease
Chaetomium, Chlonostachys, and Pseudogymnoascus isolates from tomato tissues significantly suppress Phytophthora infestans in tomato	2025	PLOS One	Microbiome, Pathogen	Isolate, Community (taxonomy) profiling, Functional analysis, AMR		Ecosystem Dynamics & Biodiversity, Health & Disease
Detection of Heteroresistant Vancomycin-Intermediate Staphylococcus haemolyticus Among Blood Isolates.	2025	Microbial drug resistance		Isolate, AMR	(Meta)genomics	Health & Disease
Genomic Surveillance and Resistance Profiling of Multidrug-Resistant Acinetobacter baumannii Clinical Isolates: Clonal Diversity and Virulence Insights	2025	Microorganisms	Pathogen	Isolate, Community (taxonomy) profiling, AMR, MAGs, SNP, (M)LST	(Meta)genomics	Ecosystem Dynamics & Biodiversity, Health & Disease
Exposure to the organochlorine pesticide cis-chlordane induces ALS-like mitochondrial perturbations in stem cell-derived motor neurons	2025	PLOS One	Pathogen		Imaging	Ecosystem Dynamics & Biodiversity, Health & Disease
Virally encoded interleukin-6 (vIL-6) coordinates with human IL-6 to modulate cytokine expression during KSHV infection	2025	bioRxiv	Virus, Pathogen	Functional analysis, Interactome	(Meta)transcriptomics	Ecosystem Dynamics & Biodiversity, Health & Disease
The lncRNA landscape of cardiac resident macrophages and identification of Schlafenlnc as a regulator of macrophage migratory function	2025	bioRxiv	Virus	Functional analysis		Ecosystem Dynamics & Biodiversity
Unlocking the Potential of vB_EfaS_LOK1: A Newly Isolated Bacteriophage Against Enterococcus faecalis	2025	Microorganisms	Bacteria, Virus, Pathogen	Isolate, Functional analysis, Interactome, AMR, Annotation	(Meta)genomics	Ecosystem Dynamics & Biodiversity, Health & Disease
Effector molecules and pathogenicity-associated gene expression in Ascochyta rabiei.	2025	Fungal biology	Pathogen			Health & Disease
MAPL regulates gasdermin-mediated release of mtDNA from lysosomes to drive pyroptotic cell death	2025	Nature Cell Biology	Virus	Functional analysis	(Meta)genomics	Ecosystem Dynamics & Biodiversity, Health & Disease
Metagenomic identification of disease-causing Salmonella enterica serovars and antimicrobial resistance genes from paediatric faecal samples	2025	Microbial Genomics	Bacteria, Microbiome	Isolate, AMR, MAGs	(Meta)genomics, Metagenomics	Health & Disease
Multi-marker eDNA metabarcoding reveals more abundant coral biodiversity in a subtropical coastal reef ecosystem.	2025	Marine environmental research		Community (taxonomy) profiling	Metabarcoding	Ecosystem Dynamics & Biodiversity
A multi-isolate genomic approach identifies diverse Escherichia coli contamination and antimicrobial resistance carriage on retail foods	2025	Microbial Genomics	Bacteria, Pathogen	Isolate, Community (taxonomy) profiling, AMR, SNP, (M)LST	(Meta)genomics	Ecosystem Dynamics & Biodiversity, Health & Disease
REG3A and IL22 have opposite effects on fat accumulation in the liver in a high-fat diet	2025	Scientific Reports	Microbiome	AMR		Health & Disease
Gender- and Grade-Dependent Activation of Androgen Receptor Signaling in Adult-Type Diffuse Gliomas: Epigenetic Insights from a Retrospective Cohort Study	2025	Biomedicines	Pathogen	Functional analysis		Health & Disease
Protocol for genomic surveillance of Plasmodium falciparum antigens using amplicon-based PacBio long-read sequencing	2025	STAR Protocols			Metabarcoding, (Meta)genomics	
Comparative metagenomic profiling of gut microbiota in wild and reared Rhynchophorus phoenicis (Coleoptera: Dryophthoridae) across developmental stages in central-west côte d'Ivoire	2025	Ecological Genetics and Genomics	Microbiome	Comparative analysis	(Meta)genomics, Metagenomics	Health & Disease
Genome Sequence and Characterization of Bacillus cereus Endophytes Isolated from the Alectra sessiliflora and Their Biotechnological Potential	2025	Microbiology Research	Bacteria, Microbiome	Isolate, Annotation	Metabarcoding, (Meta)genomics, Metabolomics	Ecosystem Dynamics & Biodiversity
Allele Level Sequencing of Killer Cell Immunoglobulin‐Like Receptor Genes Using Oxford Nanopore Long Read Sequencing	2025	Hla		Interactome	Metabarcoding	Ecosystem Dynamics & Biodiversity, Health & Disease
MetaKSSD: boosting the scalability of the reference taxonomic marker database and the performance of metagenomic profiling using sketch operations	2025	Nature Computational Science		Community (taxonomy) profiling	(Meta)genomics, Metagenomics	
DNA aptamer AptERA 2 targets ERA from Staphylococcus aureus and limits GTP hydrolysis	2025	Scientific Reports	Bacteria	Isolate, Functional analysis, Interactome, MAGs	Metabarcoding	
In a model of parasite-mediated exhaustion, stem-like CD8 T cells differentiate into an unconventional intermediate effector memory subset.	2025	Journal of immunology	Pathogen	Functional analysis	(Meta)transcriptomics	Health & Disease
Metagenomic analysis and genomic characterization of enterovirus A76 and Norovirus GI.6[P11] co-infection in a patient with acute gastroenteritis in Thailand	2025	Scientific Reports	Virus, Pathogen	Community (taxonomy) profiling	(Meta)genomics, Metagenomics	Ecosystem Dynamics & Biodiversity, Health & Disease
An interaction between the transmembrane domains of Streptococcus pyogenes sortase A and its endogenous substrate M protein revealed by molecular dynamics simulations	2025	bioRxiv	Bacteria	Isolate, Interactome, Variant		
Mutations in TAC1B drive increased CDR1 and MDR1 expression and azole resistance in Candida auris	2025	Antimicrobial Agents and Chemotherapy	Pathogen	Isolate, AMR		Ecosystem Dynamics & Biodiversity, Health & Disease
Understanding off-target growth defects introduced to influenza A virus by synonymous recoding	2025	RNA	Virus, Pathogen		(Meta)genomics	Health & Disease
A synonymous single nucleotide variant on the FAM20C gene causes non-lethal Raine syndrome.	2025	Human molecular genetics	Pathogen	Functional analysis, Variant		Health & Disease
A Virome Scanning of Saffron (Crocus sativus L.) at the National Scale in Iran Using High-Throughput Sequencing Technologies	2025	Viruses	Virus	Community (taxonomy) profiling, SNP		Ecosystem Dynamics & Biodiversity, Health & Disease
Escherichia coli Strains Originating from Raw Sheep Milk, with Special Reference to Their Genomic Characterization, Such as Virulence Factors (VFs) and Antimicrobial Resistance (AMR) Genes, Using Whole-Genome Sequencing (WGS)	2025	Veterinary Sciences	Bacteria, Pathogen	Isolate, AMR	(Meta)genomics	Ecosystem Dynamics & Biodiversity, Health & Disease
Application of Multi-Omics Techniques in Aquatic Ecotoxicology: A Review	2025	Toxics	Microbiome	Gene identification / Biomarker	(Meta)genomics, (Meta)transcriptomics, (Meta)proteomics, Metabolomics	Ecosystem Dynamics & Biodiversity, Health & Disease
Comparative Genomic Analysis and Antimicrobial Resistance Profile of Enterococcus Strains Isolated from Raw Sheep Milk	2025	Veterinary Sciences	Bacteria	Isolate, AMR, Comparative analysis	(Meta)genomics	Health & Disease
﻿Characterization of the mitochondrial genomes for Ophiostomaips and related taxa from various geographic origins and related species: large intron-rich genomes and complex intron arrangements	2025	IMA Fungus	Pathogen	Community (taxonomy) profiling, Annotation	(Meta)genomics	Ecosystem Dynamics & Biodiversity, Health & Disease
Lactobacilli-based postbiotic differentially affects chicken macrophage-like HD11 cells depending on stimulatory lipopolysaccharide dosage	2025	BMC Veterinary Research	Virus	Interactome	(Meta)transcriptomics	Ecosystem Dynamics & Biodiversity, Health & Disease
Metabolic pathways profiling of aerobiomes in the Earth’s lower atmosphere	2025	International Journal of Astrobiology	Bacteria, Microbiome	Community (taxonomy) profiling, Functional analysis	Metabarcoding, Metabolomics	Ecosystem Dynamics & Biodiversity, Health & Disease
Antibiotic-resistant bacteria in marine productive zones of the eastern Arabian Sea: Implications for human and environmental health.	2025	Environmental pollution	Bacteria	AMR		Ecosystem Dynamics & Biodiversity, Health & Disease
Functional interplay between (p)ppGpp and RNAP in Acinetobacter baumannii	2025	PLOS Pathogens	Bacteria, Pathogen	Isolate, Functional analysis, AMR	(Meta)transcriptomics	Ecosystem Dynamics & Biodiversity, Health & Disease
Transcriptomic and histological characteristics of innate immune activation in brain parenchyma in a rat model of neonatal intraventricular hemorrhage	2025	Fluids and Barriers of the CNS	Virus	Isolate	(Meta)transcriptomics	Ecosystem Dynamics & Biodiversity, Health & Disease
From pollution to reforestation: the hidden microbiome of Alnus glutinosa nodules over 30 years	2025	Scientific Reports	Bacteria, Microbiome	Community (taxonomy) profiling, Functional analysis		Ecosystem Dynamics & Biodiversity
Genome-wide analysis of the ammonium transporters gene family in Phaseolus vulgaris and its roles in response to drought and salinity stress	2025	Scientific Reports	Bacteria	Functional analysis, Interactome	(Meta)genomics	Ecosystem Dynamics & Biodiversity
A genome-skimming phylogeny of ctenostome bryozoans	2025	Zoological Journal of the Linnean Society		Community (taxonomy) profiling	Metabarcoding, (Meta)genomics	Ecosystem Dynamics & Biodiversity
Poncirus trifoliata peel extract supplementation elevates gut CD4+ T cells and microbial diversity in both laying hens and broilers	2025	Poultry Science		Community (taxonomy) profiling		Ecosystem Dynamics & Biodiversity
In Silico Evaluation of Quinolone–Triazole and Conazole–Triazole Hybrids as Promising Antimicrobial and Anticancer Agents	2025	International Journal of Molecular Sciences	Bacteria, Pathogen	Functional analysis, Interactome, AMR		Ecosystem Dynamics & Biodiversity, Health & Disease
Vertical distribution of harmful algae in the sediment of Uranouchi Inlet by metabarcoding	2025	Frontiers in Protistology			Metabarcoding	Ecosystem Dynamics & Biodiversity
Unveiling Airborne Microbiomes through Metagenomic Sequencing	2025	International Journal of Advanced Research in Science, Communication and Technology	Bacteria, Microbiome	Community (taxonomy) profiling, Functional analysis	Metabarcoding, (Meta)genomics, Metagenomics	Ecosystem Dynamics & Biodiversity, Health & Disease
Mitogenomics of Psorodonotus ebneri Brunner von Wattenwyl, 1861 (Orthoptera: Tettigoniidae): Selection profile and patterns of intraspecific and interspecific divergence	2025	Hacettepe Journal of Biology and Chemistry		Community (taxonomy) profiling, Comparative analysis	(Meta)genomics	
Exploring the genetic diversity of the 3′ untranslated region (UTR) of Dengue virus	2025	Virology Journal	Virus	Community (taxonomy) profiling	(Meta)genomics	Ecosystem Dynamics & Biodiversity, Health & Disease
Development of a Selective Agar for the Detection of Probiotic Strain Ligilactobacillus animalis NP51 and Other Lactic Acid Bacteria in Cattle Feed	2025	Agriculture	Bacteria, Microbiome		(Meta)genomics, Metagenomics	Health & Disease
Transcriptomic analysis reveals shared deregulated neutrophil responses in COVID-19 and idiopathic pulmonary fibrosis	2025	Respiratory Research	Virus, Pathogen	Isolate, Comparative analysis	(Meta)transcriptomics	Health & Disease
Convergent evolution of antibiotic resistance mechanisms between pyrrolobenzodiazepines and albicidin in multidrug resistant Klebsiella pneumoniae	2025	npj Antimicrobials and Resistance	Bacteria, Pathogen	Isolate, AMR	(Meta)genomics, (Meta)proteomics	Health & Disease
Differences in composition and potential function of the bacterial communities of cave- and surface-dwelling Mexican salamanders	2025	Animal Microbiome	Bacteria, Microbiome	Community (taxonomy) profiling, Functional analysis, Interactome	Metabarcoding	Ecosystem Dynamics & Biodiversity, Health & Disease
Shotgun sequencing of airborne eDNA achieves rapid assessment of whole biomes, population genetics and genomic variation	2025	Nature Ecology & Evolution	Microbiome, Pathogen	Community (taxonomy) profiling, AMR, Variant	(Meta)genomics	Ecosystem Dynamics & Biodiversity, Health & Disease
Complete genome and comparative analysis of Xanthomonas oryzae pv. oryzae isolated from northern Thailand	2025	Access Microbiology	Bacteria, Pathogen	Isolate, Community (taxonomy) profiling, Comparative analysis	(Meta)genomics	Ecosystem Dynamics & Biodiversity, Health & Disease
A novel silver-ruthenium-based antimicrobial kills Gram-negative bacteria through oxidative stress-induced macromolecular damage	2025	mSphere	Bacteria, Pathogen	AMR	(Meta)transcriptomics	Ecosystem Dynamics & Biodiversity, Health & Disease
Potential effect of Wolbachia on virus restriction in the spider mite T. truncatus	2025	Frontiers in Microbiology	Virus, Pathogen	Community (taxonomy) profiling	(Meta)transcriptomics, Metatranscriptomics	Ecosystem Dynamics & Biodiversity, Health & Disease
Inoculation of apple plantlets with Rhodococcus pseudokoreensis R79T enhances diversity and modulates the structure of bacterial rhizosphere communities in soil affected by apple replant disease	2025	BMC Plant Biology	Bacteria, Microbiome	Community (taxonomy) profiling, Interactome	Metabarcoding	Ecosystem Dynamics & Biodiversity, Health & Disease
Stage-specific transcriptomic analysis reveals insights into the development, reproduction and biological function of allergens in the European house dust mite Dermatophagoides pteronyssinus	2025	BMC Genomics		Functional analysis, AMR, Annotation	(Meta)genomics, (Meta)transcriptomics	Health & Disease
The effects of silver nitrate on Mycobacterium abscessus biofilms in a simulated antimicrobial showerhead environment	2025	Frontiers in Public Health	Bacteria, Microbiome, Pathogen	Isolate, AMR	(Meta)transcriptomics	Ecosystem Dynamics & Biodiversity, Health & Disease
A Tutorial Toolbox to Simplify Bioinformatics and Biostatistics Analyses of Microbial Omics Data in an Island Context	2025	BioMedInformatics	Microbiome	Community (taxonomy) profiling		
Gene-trait matching among Bifidobacterium dentium strains reveals various glycan metabolism loci including a strain-specific fucosyllactose utilization cluster	2025	Frontiers in Microbiology	Bacteria, Microbiome, Pathogen	Isolate, Community (taxonomy) profiling, Interactome, Comparative analysis	(Meta)genomics	Ecosystem Dynamics & Biodiversity, Health & Disease
Presence of microplastic particles increased abundance of pathogens and antimicrobial resistance genes in microbial communities from the Oder river water and sediment	2025	Scientific Reports	Bacteria, Microbiome, Pathogen	Community (taxonomy) profiling, AMR, Gene identification / Biomarker		Ecosystem Dynamics & Biodiversity, Health & Disease
Changes in the soil and rhizosphere microbiomes associated with bacterial wilt decline in the tomato monoculture field	2025	Geoderma	Bacteria, Microbiome			Ecosystem Dynamics & Biodiversity
Structural Characterisation of TetR/AcrR Regulators in Streptomyces fildesensis So13.3: An In Silico CRISPR-Based Strategy to Influence the Suppression of Actinomycin D Production	2025	International Journal of Molecular Sciences	Bacteria	Isolate, AMR	Metabolomics	Ecosystem Dynamics & Biodiversity, Health & Disease
Genomic insights into Brucella melitensis in India: stability of ST8 and the role of virulence genes in regional adaptations	2025	Microbiology Spectrum	Bacteria, Pathogen	Isolate, Community (taxonomy) profiling, (M)LST	(Meta)genomics	Ecosystem Dynamics & Biodiversity, Health & Disease
Escherichia Phage Ge15, NRG-P0073: Genomic Characterization and Host Range Analysis Against the ECOR Reference Library	2025	PHAGE: Therapy, Applications, and Research	Bacteria, Virus	Isolate, Community (taxonomy) profiling, Interactome, MAGs, Annotation	(Meta)genomics	Ecosystem Dynamics & Biodiversity
Crossing Wallace’s line: an evolutionarily young gibbon ape leukemia virus like endogenous retrovirus identified from the Philippine flying lemur (Cynocephalus volans)	2025	Scientific Reports	Virus			Ecosystem Dynamics & Biodiversity, Health & Disease
Analysis of tracrRNAs reveals subgroup V2 of type V-K CAST systems	2025	microLife	Bacteria			Ecosystem Dynamics & Biodiversity
Noncanonical circRNA biogenesis driven by alpha and gamma herpesviruses	2025	The EMBO Journal	Virus	Functional analysis, AMR, Variant		Health & Disease
Reconstructing the dynamics of past coral endosymbiotic algae communities using coral ancient DNA (coraDNA)	2025	Coral Reefs	Microbiome	Community (taxonomy) profiling, AMR, Variant	Metabarcoding, (Meta)genomics	
Integrated transcriptomic profiling reveals a STING-mediated Type II Interferon signature in SOD1-mutant amyotrophic lateral sclerosis models	2025	Communications Biology	Pathogen	Gene identification / Biomarker	(Meta)transcriptomics	Ecosystem Dynamics & Biodiversity, Health & Disease
Phylogenetic Analysis of Chikungunya Virus Eastern/Central/South African-Indian Ocean Epidemic Strains, 2004–2019	2025	Viruses	Virus		(Meta)genomics	Ecosystem Dynamics & Biodiversity, Health & Disease
Menadione reduces the expression of virulence- and colonization-associated genes in Helicobacter pylori.	2025	Microbiology	Bacteria, Pathogen	Isolate, AMR, MAGs	(Meta)transcriptomics	Health & Disease
Exploring the genomic diversity and breeding applications of the Solanum sessiliflorum transcriptome via phylogenetic analysis	2025	Crop Science	Pathogen	Community (taxonomy) profiling, MAGs	(Meta)genomics, (Meta)transcriptomics	Ecosystem Dynamics & Biodiversity, Health & Disease
Histone H3 K4 trimethylation occurs mainly at the origins of polycistronic transcription in the genome of Leishmania infantum promastigotes and intracellular amastigotes	2025	BMC Genomics	Pathogen	Functional analysis	(Meta)genomics	Health & Disease
Phage reprogramming of Pseudomonas aeruginosa amino acid metabolism drives efficient phage replication	2025	mBio	Bacteria, Virus		Metabolomics	Ecosystem Dynamics & Biodiversity, Health & Disease
Phytochrome-mediated shade avoidance responses impact the structure and composition of the bacterial phyllosphere microbiome of Arabidopsis	2025	Environmental Microbiome	Bacteria, Microbiome	Community (taxonomy) profiling, AMR		Ecosystem Dynamics & Biodiversity, Health & Disease
A biallelically active embryonic enhancer dictates GNAS imprinting through allele-specific conformations	2025	Nature Communications	Pathogen	AMR	(Meta)genomics	Health & Disease
Use of Macrogol to Accelerate Feeding Advancement in Extremely Preterm Infants	2025	Neonatology	Bacteria, Microbiome			Health & Disease
Rev-erb-α antagonism in alveolar macrophages protects against pneumococcal infection in elderly mice.	2025	Cell reports	Virus			Ecosystem Dynamics & Biodiversity, Health & Disease
Strain-specific variation in the complement resistome of Pseudomonas aeruginosa	2025	Infection and Immunity	Bacteria	Functional analysis, Interactome, AMR	(Meta)genomics	Health & Disease
Destabilization of mutualistic interactions shapes the early heat stress response of the coral holobiont	2025	Microbiome	Bacteria, Microbiome	Community (taxonomy) profiling, Interactome	Metabarcoding, (Meta)transcriptomics	Ecosystem Dynamics & Biodiversity
Resistance-breaking strains of tomato spotted wilt virus hamper photosynthesis and protein synthesis pathways in a virus accumulation-dependent manner in Sw5-carrying tomatoes	2025	Scientific Reports	Virus	Interactome, AMR	(Meta)transcriptomics	Ecosystem Dynamics & Biodiversity, Health & Disease
Clinical assessment and transcriptome analysis of host immune responses in a vaccination-challenge study using a glycoprotein G deletion mutant vaccine strain of infectious laryngotracheitis virus	2025	Frontiers in Immunology	Virus, Pathogen	Functional analysis	(Meta)transcriptomics	Ecosystem Dynamics & Biodiversity, Health & Disease
Fecal microbiota changes associated with pathogenic and non-pathogenic diarrheas in foals	2025	BMC Research Notes	Bacteria, Microbiome, Pathogen	Community (taxonomy) profiling	Metabarcoding	Ecosystem Dynamics & Biodiversity, Health & Disease
Data on insect biodiversity in a Chinese potato agroecosystem from DNA metabarcoding	2025	Scientific Data	Microbiome	Community (taxonomy) profiling	Metabarcoding	Ecosystem Dynamics & Biodiversity, Health & Disease
Host–virus interactions during infection with a wild-type ILTV strain or a glycoprotein G deletion mutant ILTV vaccine strain in an ex vivo system	2025	Microbiology Spectrum	Virus	Functional analysis, Interactome	(Meta)genomics, (Meta)transcriptomics	Health & Disease
Galaxy @Sciensano: a comprehensive bioinformatics portal for genomics-based microbial typing, characterization, and outbreak detection	2025	BMC Genomics	Bacteria, Microbiome, Pathogen	Isolate, Community (taxonomy) profiling, AMR, MAGs, (M)LST	(Meta)genomics	Health & Disease
A Novel Silver-Ruthenium-Based Antimicrobial Kills Gram-Negative Bacteria Through Oxidative Stress-Induced Macromolecular Damage	2025	bioRxiv	Bacteria, Pathogen	AMR	(Meta)transcriptomics	Ecosystem Dynamics & Biodiversity, Health & Disease
Ecology of prophage-like elements in Bacillus subtilis at global and local geographical scales.	2025	Cell reports	Virus, Microbiome	Community (taxonomy) profiling		Ecosystem Dynamics & Biodiversity
Genome assembly, analysis, and mining of Kocuria flava NIO_001. A thiopeptide antibiotic synthesizing bacterium isolated from marine sponge.	2025	Genome	Bacteria	Isolate, MAGs	(Meta)genomics, Metabolomics	Ecosystem Dynamics & Biodiversity, Health & Disease
Sero-Molecular Markers and Genetic Diversity of Hepatitis B Virus Isolated From Hemodialysis Patients From Jenin District, West Bank, Palestine	2025	The Canadian Journal of Infectious Diseases & Medical Microbiology = Journal Canadien des Maladies Infectieuses et de la Microbiologie Médicale	Virus	Isolate, Community (taxonomy) profiling	(Meta)genomics	Ecosystem Dynamics & Biodiversity, Health & Disease
Characterization of a novel covS SNP identified in Australian group A Streptococcus isolates derived from the M1UK lineage	2024	mBio	Virus, Pathogen	Isolate, Functional analysis, SNP		Ecosystem Dynamics & Biodiversity, Health & Disease
Iron oxides promote physicochemical stabilization of carbon despite enhancing microbial activity in the rice rhizosphere.	2024	The Science of the total environment				Ecosystem Dynamics & Biodiversity
Phylosymbiosis and Elevated Cancer Risk in Genetically Depauperate Channel Island Foxes	2024	Molecular Ecology	Bacteria, Microbiome, Pathogen	Isolate, Community (taxonomy) profiling, Comparative analysis	(Meta)genomics	Ecosystem Dynamics & Biodiversity, Health & Disease
The first mitochondrial genome of Haemagogus equinus from Jamaica	2024	F1000Research	Virus	Community (taxonomy) profiling	(Meta)genomics	Ecosystem Dynamics & Biodiversity, Health & Disease
Products of abortive transcription can prime synthesis of chimeric oligonucleotides	2024	Mathematical Biology and Bioinformatics	Bacteria	Interactome	(Meta)genomics	
The measles virus matrix F50S mutation from a lethal case of subacute sclerosing panencephalitis promotes receptor-independent neuronal spread	2024	Journal of Virology	Virus, Pathogen	Interactome	(Meta)genomics	Health & Disease
Translatome analysis reveals cellular network in DLK-dependent hippocampal glutamatergic neuron degeneration	2024	eLife		Community (taxonomy) profiling		Health & Disease
Land use intensity differently affects soil microbial functional communities in arable fields	2024	Applied Soil Ecology	Microbiome	Community (taxonomy) profiling, Functional analysis		Ecosystem Dynamics & Biodiversity
Comparison of direct RNA sequencing of Orthoavulavirus javaense using two different chemistries on the MinION platform.	2024	Journal of virological methods	Virus			
Isolation and Characterization of Lytic Bacteriophages Capable of Infecting Diverse Multidrug-Resistant Strains of Pseudomonas aeruginosa: PaCCP1 and PaCCP2	2024	Pharmaceuticals	Bacteria, Virus, Pathogen	Isolate, AMR	(Meta)genomics	Ecosystem Dynamics & Biodiversity, Health & Disease
Exploring the biosynthesis potential of permafrost microbiomes	2024	Environmental Microbiome	Bacteria, Microbiome	Community (taxonomy) profiling	(Meta)genomics, Metagenomics	Ecosystem Dynamics & Biodiversity, Health & Disease
Nanopore Sequencing Allows Recovery of High-Quality Completely Closed Genomes of All Cronobacter Species from Powdered Infant Formula Overnight Enrichments	2024	Microorganisms	Bacteria, Microbiome		(Meta)genomics, Metagenomics	Ecosystem Dynamics & Biodiversity
Integrating Nanopore MinION Sequencing into National Animal Health AMR Surveillance Programs: An Indonesian Pilot Study of Chicken Slaughterhouse Effluent and Rivers	2024	Antibiotics		Isolate, AMR	(Meta)genomics	Ecosystem Dynamics & Biodiversity, Health & Disease
Infants < 90 days of age with late-onset sepsis display disturbances of the microbiome-immunity interplay	2024	Infection	Bacteria, Microbiome	Community (taxonomy) profiling	Metabarcoding	Ecosystem Dynamics & Biodiversity, Health & Disease
A look into the future: Using a transcriptomic meta-analysis of Diptera-Wolbachia systems to project the sustainability of arboviral control strategies	2024	bioRxiv	Bacteria, Virus	Functional analysis, AMR	(Meta)transcriptomics	Health & Disease
Characterizing Host microRNA: Virus Interactions of Orthoavulavirus javaense	2024	Viruses	Virus	Interactome	(Meta)genomics	Health & Disease
Prostaglandin E2-EP2/EP4 signaling induces immunosuppression in human cancer by impairing bioenergetics and ribosome biogenesis in immune cells	2024	Nature Communications	Virus	Functional analysis, Comparative analysis		Ecosystem Dynamics & Biodiversity, Health & Disease
Simulating New Fusidic Acid Derivatives to Target Gram‐Positive Bacteria by Using Computational Methods	2024	ChemistrySelect	Bacteria	Functional analysis, Interactome, AMR	Metabarcoding	Ecosystem Dynamics & Biodiversity, Health & Disease
