Name	Source	ID	Link	Creators	Tags	Creation time	Update time	Latest version	Versions	Number of steps	Tools	EDAM operations	EDAM topics	License	DOI	Projects	To keep	Deprecated
MGnify's amplicon pipeline v5.0 - rRNA prediction	WorkflowHub	1842	https://workflowhub.eu/workflows/1842?version=1		amplicon, gtn, galaxy, metagenomics, mgnify_amplicon, name:microgalaxy	2025-08-04	2025-08-11	1	1	47.0	, query_tabular, cshl_fasta_formatter, mapseq, tp_awk_tool, gops_concat_1, infernal_cmsearch, __FILTER_FROM_FILE__, bedtools_getfastabed, collection_element_identifiers, cmsearch_deoverlap, biom_convert, taxonomy_krona_chart, __FILTER_EMPTY_DATASETS__	Alignment, Comparison, Mapping, Nucleic acid feature detection, Formatting, Visualisation, k-mer counting		Apache-2.0		Galaxy Training Network	True	False
Workflow 3: Functional Information (quick)	WorkflowHub	1447	https://workflowhub.eu/workflows/1447?version=2		asaim, gtn, galaxy, metagenomics	2025-07-14	2025-07-14	2	2	12.0	humann_unpack_pathways, Grep1, humann_rename_table, tp_find_and_replace, combine_metaphlan2_humann2, humann_split_stratified_table, Cut1, humann_regroup_table, humann_renorm_table	Species frequency estimation, Taxonomic classification, Phylogenetic analysis		MIT		Galaxy Training Network	True	False
Building an amplicon sequence variant (ASV) table from 16S data using DADA2	WorkflowHub	1395	https://workflowhub.eu/workflows/1395?version=2		gtn, galaxy, microbiome	2025-07-07	2025-07-07	2	2	21.0	__SORTLIST__, tp_replace_in_column, dada2_dada, dada2_plotQualityProfile, dada2_learnErrors, __UNZIP_COLLECTION__, tp_replace_in_line, Add_a_column1, dada2_mergePairs, tp_head_tool, dada2_removeBimeraDenovo, dada2_makeSequenceTable, dada2_assignTaxonomyAddspecies, phyloseq_from_dada2, dada2_seqCounts, collection_element_identifiers, dada2_filterAndTrim, cat1	Deposition, Variant calling, Visualisation, DNA barcoding, Analysis		MIT		Galaxy Training Network	True	False
Metatranscriptomics analysis using microbiome RNA-seq data	WorkflowHub	1466	https://workflowhub.eu/workflows/1466?version=2		gtn, galaxy, microbiome	2025-06-23	2025-06-23	2	2	33.0	tp_sort_header_tool, fastq_paired_end_interlacer, graphlan, cutadapt, humann_rename_table, combine_metaphlan_humann, fastqc, humann_regroup_table, graphlan_annotate, metaphlan, humann, tp_find_and_replace, humann_split_stratified_table, Cut1, humann_renorm_table, multiqc, humann_unpack_pathways, bg_sortmerna, Grep1, Grouping1, export2graphlan, taxonomy_krona_chart	Sequence trimming, Sequence similarity search, Aggregation, Conversion, Taxonomic classification, Primer removal, Phylogenetic tree visualisation, Phylogenetic tree editing, Species frequency estimation, Statistical calculation, Sequencing quality control, Phylogenetic inference, Read pre-processing, Visualisation, Validation, Sequence composition calculation, Sequence comparison, Sequence alignment analysis, Phylogenetic analysis		MIT		Galaxy Training Network	True	False
Metatranscriptomics analysis using microbiome RNA-seq data - Workflow 2: Community profile	WorkflowHub	1451	https://workflowhub.eu/workflows/1451?version=2		gtn, galaxy, microbiome	2025-06-23	2025-06-23	2	2	6.0	metaphlan, graphlan, export2graphlan, Cut1, taxonomy_krona_chart, graphlan_annotate	Phylogenetic inference, Visualisation, Conversion, Taxonomic classification, Phylogenetic tree visualisation, Phylogenetic tree editing		MIT		Galaxy Training Network	True	False
Metatranscriptomics analysis using microbiome RNA-seq data - Workflow 1: Preprocessing	WorkflowHub	1444	https://workflowhub.eu/workflows/1444?version=2		gtn, galaxy, microbiome	2025-06-23	2025-06-23	2	2	6.0	multiqc, fastq_paired_end_interlacer, bg_sortmerna, cutadapt, fastqc	Statistical calculation, Sequencing quality control, Sequence trimming, Sequence similarity search, Read pre-processing, Validation, Sequence comparison, Sequence composition calculation, Primer removal, Sequence alignment analysis		MIT		Galaxy Training Network	True	False
Metatranscriptomics analysis using microbiome RNA-seq data - Workflow 3: Functional Information	WorkflowHub	1456	https://workflowhub.eu/workflows/1456?version=2		gtn, galaxy, microbiome	2025-06-23	2025-06-23	2	2	18.0	tp_sort_header_tool, humann, humann_unpack_pathways, Grep1, humann_rename_table, tp_find_and_replace, humann_split_stratified_table, humann_regroup_table, humann_renorm_table	Species frequency estimation, Taxonomic classification, Phylogenetic analysis		MIT		Galaxy Training Network	True	False
Assembly of metagenomic sequencing data	WorkflowHub	1390	https://workflowhub.eu/workflows/1390?version=2		gtn, galaxy, microbiome	2025-06-16	2025-06-16	2	2	9.0	bowtie2, collection_column_join, megahit_contig2fastg, bandage_info, megahit, quast, metaspades, coverm_contig, bandage_image	Sequence assembly visualisation, Sequence assembly validation, Genome assembly, Visualisation, Local alignment, Read mapping		MIT		Galaxy Training Network	True	False
Taxonomic Analysis of eDNA	WorkflowHub	1723	https://workflowhub.eu/workflows/1723?version=1		ecology, gtn, galaxy	2025-06-02	2025-06-02	1	1	8.0	fastp, Count1, ncbi_blastn_wrapper, cshl_fastq_to_fasta	Sequence contamination filtering, Sequencing quality control		CC-BY-4.0		Galaxy Training Network	True	False
Checking expected species and contamination in bacterial isolate	WorkflowHub	1674	https://workflowhub.eu/workflows/1674?version=1		ecology, gtn, galaxy	2025-06-02	2025-06-02	1	1	3.0	recentrifuge, est_abundance, kraken2	Expression analysis, Statistical calculation, Cross-assembly, Taxonomic classification		GPL-3.0-or-later		Galaxy Training Network	True	False
TB Variant Analysis v1.0	WorkflowHub	1647	https://workflowhub.eu/workflows/1647?version=1		gtn, galaxy, pathogen, tuberculosis	2025-06-02	2025-06-02	1	1	15.0	mosdepth, qualimap_bamqc, tb_variant_filter, tp_sed_tool, multiqc, fastp, tbvcfreport, tp_awk_tool, EMBOSS: seqret84, bcftools_consensus, snippy, kraken2, tb_profiler_profile, __FLATTEN__	Sequence contamination filtering, Sequencing quality control, Variant calling, Phylogenetic tree generation, Validation, Local alignment, Sequence analysis, Taxonomic classification, Antimicrobial resistance prediction, Sequence alignment, Sequence alignment analysis, Global alignment, Phylogenetic tree visualisation		AGPL-3.0-or-later		Galaxy Training Network	True	False
Quality and contamination control in bacterial isolate using Illumina MiSeq Data	WorkflowHub	1644	https://workflowhub.eu/workflows/1644?version=1		gtn, galaxy, sequence-analysis	2025-06-02	2025-06-02	1	1	6.0	recentrifuge, est_abundance, fastp, falco, kraken2	Sequence contamination filtering, Statistical calculation, Sequencing quality control, Visualisation, Expression analysis, Cross-assembly, Taxonomic classification, Read mapping		GPL-3.0-or-later		Galaxy Training Network	True	False
pox-virus-tiled-amplicon-ref-masking	WorkflowHub	1632	https://workflowhub.eu/workflows/1632?version=1		gtn, galaxy, variant-analysis	2025-06-02	2025-06-02	1	1	14.0	fasta_compute_length, EMBOSS: maskseq51, Add_a_column1, Grep1, datamash_ops, Cut1, compose_text_param, param_value_from_file	Sequence analysis, Global alignment, Sequence alignment, Sequence alignment analysis, Local alignment		MIT		Galaxy Training Network	True	False
Copy Of GTN Training - Antibiotic Resistance Detection	WorkflowHub	1477	https://workflowhub.eu/workflows/1477?version=1		gtn, galaxy, microbiome	2025-06-02	2025-06-02	1	1	12.0	minimap2, staramr_search, unicycler, miniasm, PlasFlow, nanoplot, gfa_to_fa, bandage_image, racon	Mapping assembly, Scatter plot plotting, Box-Whisker plot plotting, Pairwise sequence alignment, Genome assembly, Aggregation, Sequence analysis, Sequence assembly visualisation, Antimicrobial resistance prediction, De-novo assembly		CC-BY-4.0		Galaxy Training Network	True	False
Amplicon Tutorial	WorkflowHub	1476	https://workflowhub.eu/workflows/1476?version=1		gtn, galaxy, microbiome	2025-06-02	2025-06-02	1	1	17.0	mothur_summary_seqs, mothur_filter_seqs, mothur_count_seqs, mothur_unique_seqs, mothur_align_seqs, mothur_classify_seqs, mothur_screen_seqs, krona-text, mothur_merge_files, mothur_classify_otu, mothur_make_group, mothur_pre_cluster, mothur_make_shared, mothur_make_biom, mothur_cluster_split	Sequencing quality control, Sequence read processing, Visualisation, DNA barcoding, Taxonomic classification, Sequence clustering, Phylogenetic analysis		CC-BY-4.0		Galaxy Training Network	True	False
Training: 16S rRNA Analysis with Nanopore Sequencing Reads	WorkflowHub	1473	https://workflowhub.eu/workflows/1473?version=1		gtn, galaxy, microbiome	2025-06-02	2025-06-02	1	1	11.0	multiqc, fastp, fastqc, tp_replace_in_line, Remove beginning1, datamash_reverse, kraken2, taxonomy_krona_chart, porechop	Sequence contamination filtering, Statistical calculation, Sequencing quality control, Taxonomic classification, Sequence composition calculation, Visualisation, Validation		CC-BY-4.0		Galaxy Training Network	True	False
"WGS Part In ""Analyses Of Metagenomics Data - The Global Picture"""	WorkflowHub	1472	https://workflowhub.eu/workflows/1472?version=1		gtn, galaxy, microbiome	2025-06-02	2025-06-02	1	1	7.0	metaphlan2krona, metaphlan2, humann2, taxonomy_krona_chart, humann2_renorm_table, humann2_regroup_table	Visualisation		CC-BY-4.0		Galaxy Training Network	True	False
Taxonomic Profiling and Visualization of Metagenomic Data	WorkflowHub	1470	https://workflowhub.eu/workflows/1470?version=1		gtn, galaxy, microbiome	2025-06-02	2025-06-02	1	1	10.0	metaphlan, kraken2, est_abundance, __UNZIP_COLLECTION__, interactive_tool_pavian, interactive_tool_phinch, kraken_biom, krakentools_kreport2krona, taxonomy_krona_chart	Statistical calculation, Taxonomic classification, Visualisation, Genome annotation, Aggregation		MIT		Galaxy Training Network	True	False
