Galaxy wrapper id	Description	To keep	Deprecated
antarna	antaRNA uses ant colony optimization to solve the inverse folding problem in RNA research .	False	False
antismash	Antismash allows the genome-wide identification, annotation and analysis of secondary metabolite biosynthesis gene clusters	True	False
aquainfra_importer	A data source tool for downloading datasets via the AquaINFRA Interaction Platform.		
aquainfra_ogc_api_processes	Wrapper for OGC API Processes developed in the AquaINFRA project.		
aresite2	AREsite2 REST Interface	False	False
argnorm	argNorm is a tool to normalize antibiotic resistance genes (ARGs) by mapping them to the antibiotic resistance ontology (ARO) created by the CARD database		
arriba	Arriba detects fusion genes in RNA-Seq data after running RNA-STAR	False	False
art	Simulator for Illumina, 454, and SOLiD sequencing data	False	False
artic	The artic pipeline is designed to help run the artic bioinformatics protocols;for example the nCoV-2019 novel coronavirus protocol.Features include: read filtering, primer trimming, amplicon coverage normalisation,variant calling and consensus building	True	False
assembly-stats	Assembly metric visualisations to facilitate rapid assessment and comparison of assembly quality.	False	False
assemblystats	Summarise an assembly (e.g. N50 metrics)	True	False
astral	Tool for estimating an unrooted species tree given a set of unrooted gene trees		
augustus	AUGUSTUS is a program that predicts genes in eukaryotic genomic sequences.	False	False
augustus	AUGUSTUS is a program that predicts genes in eukaryotic genomic sequences.	False	False
b2btools	This software suite provides structural predictions for protein sequences made by Bio2Byte group.About Bio2Byte: We investigate how the dynamics, conformational states, and available experimental data of proteins relate to their amino acid sequence.Underlying physical and chemical principles are computationally unraveled through data integration, analysis, and machine learning, so connecting themto biological events and improving our understanding of the way proteins work.	False	False
bakta	"""Bakta is a tool for the rapid & standardized annotation of bacterial genomes and plasmids from both isolates and MAGs.It provides dbxref-rich and sORF-including annotations in machine-readable JSON & bioinformatics standard file formats for automatic downstream analysis."""	True	False
bam2mappingstats	Generates mapping stats from a bam file.	False	False
bamclipper	Soft-clip gene-specific primers from BAM alignment file based on genomic coordinates of primer pairs in BEDPE format.	False	False
bamhash	Hash BAM and FASTQ files to verify data integrity	False	False
bamparse	Generates hit count lists from bam alignments.	False	False
bamtools	Operate on and transform BAM datasets in various ways using bamtools	True	False
bamtools_filter	Filter BAM datasets on various attributes using bamtools filter	False	False
bamtools_split	Utility for filtering BAM files. It is based on the BAMtools suiteof tools by Derek Barnett.	False	False
bamutil	bamUtil is a repository that contains several programs that perform operations on SAM/BAM files.	False	False
bandage	Bandage - A Bioinformatics Application for Navigating De novo Assembly Graphs Easily	True	False
barcode_collapse	Paired End randomer aware duplicate removal algorithm	False	False
baredsc	baredSC is a tool that uses a Monte-Carlo Markov Chain to estimate a confidence interval on the probability density function (PDF) of expression of one or two genes from single-cell RNA-seq data.	False	False
barrnap	Contains the Barrnap tool for finding ribosomal RNAs in FASTA sequences.	False	False
baseline_calculator	Toxicity prediction using QSAR models		
bax2bam	BAX to BAM converter	False	False
bayescan	Detecting natural selection from population-based genetic data	True	False
bbtools	BBTools is a suite of fast, multithreaded bioinformatics tools designed for analysis of DNA and RNA sequence data.BBTools can handle common sequencing file formats such as fastq, fasta, sam, scarf, fasta+qual, compressed or raw,with autodetection of quality encoding and interleaving. It is written in Java and works on any platform supportingJava, including Linux, MacOS, and Microsoft Windows and Linux; there are no dependencies other than Java (version7 or higher). Program descriptions and options are shown when running the shell scripts with no parameters.	True	False
bctools	bctools is a set of tools for handling barcodes and UMIs in NGS data.bctools can be used to merge PCR duplicates according to unique molecular barcodes (UMIs),to extract barcodes from arbitrary positions relative to the read starts,to clean up readthroughs into UMIs with paired-end sequencing andhandles binary barcodes as used with uvCLAP and FLASH.License: Apache License 2.0	False	False
bed_to_protein_map	Converts a BED file to a tabular list of exon locations	False	False
bellerophon	Filter mapped reads where the mapping spans a junction, retaining the 5-prime read.	False	False
best_regression_subsets	Perform Best-subsets Regression	False	False
bigscape	Construct sequence similarity networks of BGCs and groups them into GCF	True	False
bigwig_outlier_bed	pybigtools and numpy code to find continuous runs above a high or below a low quantile cutpoint in bigwig files		
binning_refiner	Reconciles the outputs of different binning programs with the aim to improve the quality of genome bins,especially with respect to contamination levels.	True	False
biohansel	Heidelberg and Enteritidis SNP Elucidation	True	False
bioinformatics_cafe	Miscellanea of scripts for bioinformatics	False	False
biom_format	The biom-format package provides a command line interface and Python API for working with BIOM files.	True	False
bionano	Bionano Solve is a set of tools for analyzing Bionano data	False	False
bioperl	Converts GenBank format files to GFF3	False	False
biotradis	Bio-Tradis is a tool suite dedicated to essentiality analyses with TraDis data.	True	False
biscot	Bionano scaffolding correction tool	False	False
bismark	A tool to map bisulfite converted sequence reads and determine cytosine methylation states	False	False
blast2go	Maps BLAST results to GO annotation terms	True	False
blast_parser	Convert 12- or 24-column BLAST output into 3-column hcluster_sg input	False	False
blast_plus_remote_blastp	NCBI BLAST+ with -remote option	False	False
blast_rbh	BLAST Reciprocal Best Hits (RBH) from two FASTA files	True	False
blast_to_scaffold	Generate DNA scaffold from blastn or tblastx alignments of Contigs	False	False
blastparser_and_hits	Parse blast outputs and compile hits	False	False
blastx_to_scaffold	Generate DNA scaffold from blastx alignment of Contigs	False	False
blastxml_to_gapped_gff3	BlastXML to gapped GFF3	False	False
blastxml_to_top_descr	Make table of top BLAST match descriptions	True	False
blat_coverage_report	Polymorphism of the Reads	False	False
blat_mapping	Coverage of the Reads in wiggle format	False	False
blobtoolkit	Identification and isolation non-target data in draft and publicly available genome assemblies.	False	False
blockbuster	Blockbuster detects blocks of overlapping reads using a gaussian-distribution approach.	False	False
blockclust	BlockClust detects transcripts with similar processing patterns.	False	False
bracken	Bayesian Reestimation of Abundance with KrakEN	True	False
braker	BRAKER is a pipeline for fully automated prediction of protein coding gene structures with GeneMark-ES/ET and AUGUSTUS in novel eukaryotic genomes .	False	False
braker3	BRAKER3 is a pipeline for fully automated prediction of protein coding gene structures with GeneMark-ES/ET and AUGUSTUS in novel eukaryotic genomes .	False	False
brew3r_r	Extend 3' end of a GTF using another GTF as a template		
bumbershoot		False	False
bundle_collections	Tool to bundle up list collection into a single zip to be download	False	False
busco	BUSCO assess genome and annotation completeness	True	False
bwameth	Fast and accurate alignment of BS-seq reads	False	False
cactus	Cactus is a reference-free whole-genome multiple alignment program	False	False
calculate_contrast_threshold	Calculates a contrast threshold from the CDT file generated by ``tag_pileup_frequency``. The calculated values are then used to set a uniform contrast for all the heatmaps generated downstream.	False	False
calisp	Calgary approach to isotopes in proteomics	False	False
cami_amber	Evaluation package for the comparative assessment of genome reconstructions and taxonomic assignments		
cap3	cap3 wrapper	False	False
cardinal	Statistical and computational tools for analyzing mass spectrometry imaging datasets	False	False
cat	Contig Annotation Tool (CAT)	True	False
cd_hit_dup	simple tool for removing duplicates from sequencing reads	True	False
cdhit	Cluster or compare biological sequence datasets	True	False
cell-types-analysis	Tools for analysis of predictions from scRNAseq cell type classification tools, see https://github.com/ebi-gene-expression-group/cell-types-analysis	False	False
cemitool	Gene co-expression network analysis tool	True	False
champ_blocs	Compute indicators for turnover boulders fields	False	False
charts	Enables advanced visualization options in Galaxy Charts	False	False
checkm	Assess the quality of microbial genomes recovered from isolates, single cells, and metagenomes	True	False
checkv	Assess quality of single-contig viral genomes		
cherri	Computational Help Evaluating RNA-RNA interactions	False	False
chipseeker	A tool for ChIP peak annotation and visualization	False	False
chira	Chimeric Read Annotator for RNA-RNA interactome data	False	False
chromeister	ultra-fast pairwise genome comparisons	False	False
chromosome_diagram	Chromosome Diagrams using Biopython	False	False
circexplorer	A combined strategy to identify circular RNAs (circRNAs and ciRNAs)	False	False
circexplorer2	Comprehensive and integrative circular RNA analysis toolset.	False	False
cite_seq_count	Count CMO/HTO		
clair3	Symphonizing pileup and full-alignment for high-performance long-read variant calling	True	False
clc_assembly_cell	Galaxy wrapper for the CLC Assembly Cell suite from CLCBio	False	False
climate-stripes	Create climate stripes from a tabular input file	False	False
clinod	NoD: a Nucleolar localization sequence detector for eukaryotic and viral proteins	True	False
clustalw	ClustalW multiple sequence alignment program for DNA or proteins	True	False
cmsearch_deoverlap	removes lower scoring overlaps from cmsearch results.	True	False
cmv	cmv is a collection of tools for the visualisation of Hidden Markov Models and RNA-family models.	False	False
codeml	Detects positive selection	True	False
cofold	Cofold predicts RNA secondary structures that takes co-transcriptional folding into account.	False	False
cojac	co-occurrence of mutations on amplicons	True	False
colabfold	Protein prediction based on AlphaFold2	False	False
colibread	Colib'read tools are all dedicated to the analysis of NGS datasets without the need of any reference genome	False	False
collapse_collection	Collection tool that collapses a list of files into a single datasset in order of appears in collection	False	False
combineJSON	JSON collection tool that takes multiple JSON data arrays and combines them into a single JSON array.	False	False
combine_assembly_stats	Combine multiple Assemblystats datasets into a single tabular report	True	False
combine_metaphlan_humann	Combine MetaPhlAn2 and HUMAnN2 outputs to relate genus/species abundances and gene families/pathways abundances	True	False
combine_tabular_collection	Combine Tabular Collection into a single file	False	False
compalignp	Compute fractional identity between trusted alignment and test alignment	False	False
compare_humann2_output	Compare outputs of HUMAnN2 for several samples and extract similar and specific information	True	False
compleasm	Compleasm: a faster and more accurate reimplementation of BUSCO	True	False
compute_motif_frequencies_for_all_motifs	Compute Motif Frequencies For All Motifs, motif by motif.	False	False
compute_motifs_frequency	Compute Motif Frequencies in indel flanking regions.	False	False
concoct	CONCOCT (Clustering cONtigs with COverage and ComposiTion) does unsupervised binning of metagenomic contigs byusing nucleotide composition - kmer frequencies - and coverage data for multiple samples. CONCOCT can accurately(up to species level) bin metagenomic contigs.	True	False
consensus_from_alignments	Tool to compute a consensus sequence from several aligned fasta sequences	False	False
consolidate_vcfs	Combines freebayes and mpileup files for use by vcf2snvalignment	False	False
coprarna	Target prediction for prokaryotic trans-acting small RNAs	False	False
cosg	Marker gene identification for single-cell sequencing data using COSG.		
count_gff_features	Count GFF Features	False	False
count_roi_variants	Count sequence variants in region of interest in BAM file	False	False
coverage_report	Generate Detailed Coverage Report from BAM file	False	False
coverage_stats	BAM coverage statistics using samtools idxstats and depth	False	False
coverm	CoverM genome and contig wrappers	True	False
crispr_studio	CRISPR Studio is a program developed to facilitate and accelerate CRISPR array visualization.	False	False
crosscontamination_barcode_filter	Barcode contamination discovery tool	False	False
crt	CRISPR Recognition Tool	False	False
cryptogenotyper	CryptoGenotyper is a standalone tool to *in-silico*  determine species and subtype based on SSU rRNA and gp60 markers.	True	False
ctd_batch	CTD analysis of chemicals, diseases, or genes	False	False
cummerbund	Wrapper for the Bioconductor cummeRbund library	False	False
custom_pro_db	CustomProDB	False	False
custom_pro_db_annotation_data_manager	CustomProDB Annotation	False	False
cutadapt	Flexible tool to remove adapter sequences (and quality trim) high throughput sequencing reads (fasta/fastq).	True	False
dada2	DADA2 wrappers	True	False
das_tool	DAS Tool for genome resolved metagenomics	True	False
data-hca	Tools for interacting with the Human Cell Atlas resource https://prod.data.humancellatlas.org/explore/projects	False	False
data-scxa	Tools for interacting with the EMBL-EBI Expression Atlas resource https://www.ebi.ac.uk/gxa/home https://www.ebi.ac.uk/gxa/sc/home	False	False
data_exploration	Explore data through multiple statistical tools	False	False
data_manager_eggnog_mapper	downloads eggnog data for eggnog-mapper	False	False
data_manager_eggnog_mapper_abspath	download eggnog data for eggnog-mapper	False	False
dbbuilder	Protein Database Downloader	False	False
decontam	Removes decontamination features (ASVs/OTUs) using control samples		
decoyfasta	Galaxy tool wrapper for the transproteomic pipeline decoyFASTA tool.	False	False
deepsig	Predictor of signal peptides in proteins based on deep learning	False	False
delete_overlapping_indels	Delete Overlapping Indels from a chromosome indels file	False	False
deseq2	Differential gene expression analysis based on the negative binomial distribution	True	False
deseq2_normalization	Normalizes gene hitlists	False	False
dewseq	DEWSeq is a sliding window based peak caller for eCLIP/iCLIP data	False	False
dexseq	Inference of differential exon usage in RNA-Seq	False	False
dia_umpire	DIA-Umpire analysis for data independent acquisition (DIA) mass spectrometry-based proteomics	False	False
dialignr	DIAlignR is an R package for retention time alignment of targeted mass spectrometric data, including DIA and SWATH-MS data. This tool works with MS2 chromatograms directly and uses dynamic programming for alignment of raw chromatographic traces. DIAlignR uses a hybrid approach of global (feature-based) and local (raw data-based) alignment to establish correspondence between peaks.	False	False
diamond	DIAMOND is a new alignment tool for aligning short DNA sequencing reads to a protein reference database such as NCBI-NR.	True	False
diann	DiaNN (DIA-based Neural Networks) is a software for DIA/SWATH data processing.	False	False
diapysef	diapysef is a convenience package for working with DIA-PASEF data	False	False
diffacto	Diffacto comparative protein abundance estimation	False	False
disco	DISCO is a overlap-layout-consensus (OLC) metagenome assembler	True	False
divide_pg_snp	Separate pgSnp alleles into columns	False	False
dorina	data source for RNA interactions in post-transcriptional regulation	False	False
dose_responses	A  tool for analyzing and visualizing the relationship between various doses and their corresponding biological responses		
dot2ct	Dot-Bracket to Connect Table (CT)	False	False
dotknot	DotKnot is a heuristic method for pseudoknot prediction in a given RNA sequence	False	False
dram	DRAM for distilling microbial metabolism to automate the curation of microbiome function	True	False
drep	dRep compares and dereplicates genome sets	True	False
droplet-barcode-plot	Make a cell barcode plot for droplet single-cell RNA-seq QC	False	False
dropletutils	DropletUtils - Utilities for handling droplet-based single-cell RNA-seq data	False	False
dropletutils	De-composed DropletUtils functionality tools, based on https://github.com/ebi-gene-expression-group/dropletutils-scripts and DropletUtils 1.0.3	False	False
ear	A tool to compile assembly reports and stastics from assembly pipeline		
ectyper	EC-Typer - in silico serotyping of Escherichia coli species	True	False
edger	Perform RNA-Seq differential expression analysis using edgeR pipeline	False	False
effectiveT3	Find bacterial type III effectors in protein sequences	True	False
eggnog_mapper	eggnog-mapper fast functional annotation of novel sequences	True	False
egsea	This tool implements the Ensemble of Gene Set Enrichment Analyses (EGSEA) method for gene set testing	False	False
emboss_5	Galaxy wrappers for EMBOSS version 5.0.0 tools	True	False
encyclopedia	Mass Spec Data-Independent Acquisition (DIA) MS/MS analysis	False	False
ete	Analyse phylogenetic trees using the ETE Toolkit	True	False
evidencemodeler	EVidenceModeler (EVM) combines ab intio genetic predictions with protein and transcript alignments in weighted consensus genetic structures.		
exomedepth	ExomeDepth: Calls copy number variants (CNVs) from targeted sequence data	False	False
exonerate	Exonerate is a generic tool for pairwise sequence comparison.	False	False
exparna	ExpaRNA is a fast, motif-based comparison and alignment tool for RNA molecules.	False	False
export2graphlan	export2graphlan is a conversion software tool for producing both annotation and tree file for GraPhlAn	True	False
express	Quantify the abundances of a set of target sequences from sampled subsequences	False	False
ez_histograms	ggplot2 histograms and density plots	True	False
falco	A high throughput sequence QC analysis tool		
fargene	fARGene (Fragmented Antibiotic Resistance Gene iENntifiEr )	True	False
fasta2bed	Convert multiple fasta file into tabular bed file format	False	False
fasta_extract	extract single fasta from multiple fasta file	False	False
fasta_filter_by_id	Filter FASTA sequences by ID (DEPRECATED)	False	False
fasta_nucleotide_color_plot	Contains a tool that produces a graphical representation of FASTA data with each nucleotide represented by a selected color.	False	False
fasta_stats	Display summary statistics for a fasta file.	False	False
fastani	Fast alignment-free computation of whole-genome Average Nucleotide Identity	True	False
fastg2protlib	Generate FASTA from FASTG	False	False
fastk	FastK: A K-mer counter (for HQ assembly data sets)	True	False
fastp	Fast all-in-one preprocessing for FASTQ files	True	False
fastq_filter_by_id	Filter FASTQ sequences by ID (DEPRECATED)	False	False
fastq_pair_names	Extract FASTQ paired read names	False	False
fastq_paired_unpaired	Divide FASTQ file into paired and unpaired reads	False	False
fastq_provider	Retrieval and download of FASTQ files from ENA and other repositories such as HCA.	False	False
fastq_utils	Set of tools for handling fastq files	False	False
fastqc_stats	Summary multiple FastQC into a single tabular line report	False	False
fastqe	FASTQE	True	False
fasttree	FastTree infers approximately-maximum-likelihood phylogenetic trees from alignments of nucleotide or protein sequences - GVL	True	False
feature_alignment	TRIC integrates information from all available runs via a graph-based alignment strategy	False	False
featurecounter	Feature coverage	False	False
featurecounts	featureCounts counts the number of reads aligned to defined masked regions in a reference genome	True	False
feelnc	Galaxy wrapper for FEELnc	False	False
feht	Automatically identify makers predictive of groups.	False	False
fermikit	FermiKit is a de novo assembly based variant calling pipeline for deep Illumina resequencing data.	False	False
fgsea	Perform gene set testing using fgsea	False	False
filter_by_fasta_ids	Filter FASTA on the headers and/or the sequences	False	False
filter_density	Filter out position based on distance between SNVs	False	False
filter_spades_repeats	Remove short and repeat contigs/scaffolds	True	False
filter_stats	SNVPhyl filter_stats	False	False
filter_transcripts_via_tracking	Filter Combined Transcripts	False	False
filter_vcf	SNVPhyl filter_vcf	False	False
filtlong	Filtlong - Filtering long reads by quality	True	False
find_diag_hits	Find diagnostic hits	False	False
find_repeats	Find repetitive regions on a reference genome using MUMMer	False	False
fisher_test	Fisher's exact test on two-column hit lists.	False	False
flair	FLAIR (Full-Length Alternative Isoform analysis of RNA) for the correction, isoform definition, and alternative splicing analysis of noisy reads.	False	False
flash	Fast Length Adjustment of SHort reads	False	False
flashlfq	FlashLFQ mass-spectrometry proteomics label-free quantification	True	False
flye	Assembly of long and error-prone reads.	True	False
format_metaphlan2_output	Format MetaPhlAn2 output to extract abundance at different taxonomic levels	True	False
fraggenescan	Tool for finding (fragmented) genes in short read	True	False
fragpipe	Data analysis for mass spectrometry-based proteomics.		
freyja	lineage abundances estimation	True	False
frogs	Suite for metabarcoding analysis	True	False
funannotate	Funannotate is a genome prediction, annotation, and comparison software package.	True	False
garnett	De-composed Garnett functionality tools, see https://github.com/ebi-gene-expression-group/garnett-cli and r-garnett 0.2.8	False	False
gblocks	Gblocks	False	False
gdal	Geospatial Data Abstraction Library tools are all dedicated to manipulate raster and vector geospatial data formats.	False	False
gecko	Ungapped genome comparison	False	False
gemini	GEMINI: a flexible framework for exploring genome variation	False	False
geneiobio	Gene.iobio is an interactive tool for variant and trio analysis.	False	False
generate_pc_lda_matrix	Generate a Matrix for using PC and LDA	False	False
genomad	Identify virus and plasmid genomes from nucleotide sequences		
genomic_super_signature	Interpretation of RNAseq experiments through robust, efficient comparison to public databases	False	False
get_orfs_or_cdss	Search nucleotide sequences for open reading frames (ORFs), or coding sequences (CDSs)	False	False
getindelrates_3way	Estimate Indel Rates for 3-way alignments	False	False
getindels_2way	Fetch Indels from pairwise alignments	False	False
getmlst	Download MLST datasets by species from pubmlst.org	True	False
getorganelle	GetOrganelle - This toolkit assembles organelle genomes from genomic skimming data.	False	False
gfastats	Tool for generating sequence statistics and simultaneous genome assembly file manipulation.	False	False
gff3_rebase	Rebase a GFF against a parent GFF (e.g. an original genome)	False	False
gffread	gffread filters and/or converts GFF3/GTF2 records	False	False
ggplot2	ggplot2 is a system for declaratively creating graphics, based on The Grammar of Graphics.You provide the data, tell ggplot2 how to map variables to aesthetics, what graphical primitives to use,and it takes care of the details.	True	False
gi2taxonomy	Fetch taxonomic representation	True	False
glimmer	Glimmer makes gene predictions.	True	False
glimmer_hmm	GlimmerHMM is a new gene finder based on a Generalized Hidden Markov Model (GHMM)	True	False
gmaj	GMAJ Multiple Alignment Viewer	False	False
goenrichment	Performs GO Enrichment analysis.	True	False
goseq	goseq does selection-unbiased testing for category enrichment amongst differentially expressed (DE) genes for RNA-seq data	True	False
gotohscan	Find subsequences in db	False	False
graphclust	GraphClust can be used for structural clustering of RNA sequences.	False	False
graphlan	GraPhlAn is a software tool for producing high-quality circular representations of taxonomic and phylogenetic trees	True	False
graphmap	Mapper for long, error-prone reads.	True	False
graphprot	GraphProt models binding preferences of RNA-binding proteins.	False	False
groot	GROOT is a tool to type Antibiotic Resistance Genes (ARGs) in metagenomic samples		
gsc_high_dimensions_visualisation	Generates PCA, t-SNE and HCPC visualisation	False	False
gtdb_to_taxdump	Convert GTDB taxonomy to NCBI taxdump format		
gtdbtk	GTDB-Tk is a software tool kit for assigning objective taxonomic classifications to bacterial and archaeal genomesbased on the Genome Database Taxonomy GTDB. It is designed to work with recent advances that allow hundreds orthousands of metagenome-assembled genomes (MAGs) to be obtained directly from environmental samples. It can alsobe applied to isolate and single-cell genomes. 	True	False
gtf-2-gene-list	Utility to extract annotations from Ensembl GTF files.	False	False
gubbins	Gubbins - bacterial recombination detection	True	False
guppy	A wrapper for the guppy basecaller tool from Oxford Nanopore Technologies	False	False
gwastools		False	False
hamronization	Convert AMR gene detection tool output to hAMRonization specification format.	True	False
hansel	Heidelberg and Enteritidis SNP Elucidation	True	False
hapcut2	Robust and accurate haplotype assembly for diverse sequencing technologies	False	False
hapog	Hapo-G - Haplotype-Aware Polishing of Genomes	False	False
hardklor	Hardklör	False	False
hcluster_sg	Hierarchically clustering on a sparse graph	False	False
hcluster_sg_parser	Converts hcluster_sg 3-column output into lists of ids	False	False
heatmap2	heatmap.2 function from the R gplots package	False	False
heinz	An algorithm for identification of the optimal scoring subnetwork.	False	False
helixer	Gene calling with Deep Neural Networks	False	False
hgv_fundo	FunDO human genes associated with disease terms	False	False
hgv_hilbertvis	HVIS visualization of genomic data with the Hilbert curve	False	False
hicexplorer	HiCExplorer: Set of programs to process, analyze and visualize Hi-C data.	False	False
hicstuff	A toolkit to generate and manipulate Hi-C matrices	False	False
hifiasm	A fast haplotype-resolved de novo assembler	False	False
hifiasm_meta	A hifiasm fork for metagenome assembly using Hifi reads.	True	False
high_dim_heatmap	gplot heatmap.2 function adapted for plotting large heatmaps	False	False
hirondelle_crim_ogc_api_processes	This tool is a wrapper for OGC API Processes coming from https://osf.io/gfbws/.		
hisat	HISAT is a fast and sensitive spliced alignment program.	False	False
hisat2	HISAT2 is a fast and sensitive spliced alignment program.	False	False
hivtrace	An application that identifies potential transmission clusters within a supplied FASTA file with an option to find potential links against the Los Alamos HIV Sequence Database.	True	False
hmmer3	HMMER is used for searching sequence databases for homologs of proteinsequences, and for making protein sequence alignments. It implementsmethods using probabilistic models called profile hidden Markov models(profile HMMs).	True	False
homer	Software for motif discovery and next generation sequencing analysis.	False	False
homer	HOMER (Hypergeometric Optimization of Motif EnRichment) is a suite of tools for Motif Discovery and next-gen sequencing analysis.	False	False
htseq-clip	htseq-clip is a toolset for the analysis of eCLIP/iCLIP datasets	False	False
htseq_count	Count aligned reads (SAM/BAM) that overlap genomic features (GFF)	False	False
humann	HUMAnN for functionally profiling metagenomes and metatranscriptomes at species-level resolution	True	False
hybpiper	Analyse targeted sequence capture data	False	False
hyphy	Hypothesis Testing using Phylogenies	True	False
hypo	Super Fast & Accurate Polisher for Long Read Genome Assemblies	True	False
icescreen	ICEscreen identifies Integrative Conjugative Elements (ICEs) and Integrative Mobilizable Elements (IMEs) in Bacillota genomes.	True	False
idba_ud	Wrappers for the idba assembler variants.	True	False
idconvert	Convert mass spectrometry identification files on linux or MacOSX	False	False
idr	Galaxy wrappers for the IDR package from Nathan Boleu	False	False
iedb_api	Get epitope binding predictions from IEDB-API	False	False
illumina_methylation_analyser	Methylation analyzer for Illumina 450k DNA emthylation microarrays	False	False
improviser	Visualisation of PepXML files	False	False
indels_3way	Fetch Indels from 3-way alignments	False	False
infernal	"Infernal (""INFERence of RNA ALignment"") is for searching DNA sequence databases for RNA structure and sequence similarities."	True	False
inforna	INFO-RNA is a service for the design of RNA sequences that fold into a given pseudo-knot free RNA secondary structure.	False	False
instagraal	Large genome reassembly based on Hi-C data	False	False
instrain	InStrain is a tool for analysis of co-occurring genome populations from metagenomes	True	False
intarna	Efficient RNA-RNA interaction prediction incorporating accessibility and seeding of interaction sites.	False	False
integron_finder	"""IntegronFinder identify integrons with high accuracy and sensitivity.It searches for attC sites using covariance models, for integron-integrases using HMM profiles, and for other features (promoters, attI site) using pattern matching"""	True	False
interpolation	Run IDW interpolation based on a .csv and .geojson file	False	False
interproscan	Interproscan queries the interpro database and provides annotations.	True	False
iphop	Integrated Phage Host Prediction		
iprscan5	Interproscan queries the interpro database and provides annotations.	True	False
iqtree	Efficient phylogenomic software by maximum likelihood	True	False
isescan	"""ISEScan is a pipeline to identify IS (Insertion Sequence) elements in genome and metagenomebased on profile hidden Markov models constructed from manually curated IS elements."""	True	False
isoformswitchanalyzer	Statistical identification of isoform switching from RNA-seq derived quantification of novel and/or annotated full-length isoforms.	False	False
isoplot	Isoplot is a software for the visualisation of MS data from C13 labelling experiments	False	False
itsx	ITSx is an open source software utility to extract the highly variable ITS1 and ITS2 subregions from ITS sequences.	True	False
ivar	iVar is a computational package that contains functions broadly useful for viral amplicon-based sequencing	True	False
jbrowse	JBrowse Genome Browser integrated as a Galaxy Tool	True	False
jbrowse2	JBrowse2 Genome Browser integrated as a Galaxy Tool		
jcvi_gff_stats	Compute statistics from a genome annotation in GFF3 format (using JCVI Python utilities)	False	False
jellyfish	Jellyfish is a tool for fast, memory-efficient counting of k-mers in DNA	True	False
kaptive	Kaptive reports information about capsular (K) loci found in genome assemblies.	False	False
kat_filter	Filtering kmers or reads from a database of kmers hashes	True	False
kc-align	Kc-Align custom tool	True	False
khmer	In-memory nucleotide sequence k-mer counting, filtering, graph traversal and more	True	False
kinwalker	Kinwalker splits the folding process into a series of events where each event can either be a folding event or a transcription event.	False	False
kleborate	Screen genome assemblies of Klebsiella pneumoniae and the Klebsiella pneumoniae species complex (KpSC)	True	False
kofamscan	Gene function annotation tool based on KEGG Orthology and hidden Markov model	True	False
