Name	Source	ID	Link	Creators	Tags	Creation time	Update time	Latest version	Versions	Number of steps	Tools	EDAM operations	EDAM topics	License	DOI	Projects	To keep	Deprecated
GC-MS data processing (with XCMS, RAMClustR, RIAssigner, and matchms) - full workflow	https://usegalaxy.cz	bc8f2b3ecdad343e	https://usegalaxy.cz/published/workflow?id=bc8f2b3ecdad343e		metabolomics, gc-ms, e5020	2026-04-20	2026-04-20	1	1		ramclustr, matchms_formatter, abims_xcms_retcor, msconvert, xcms_merge, matchms_similarity, msnbase_readmsdata, abims_xcms_group, abims_xcms_xcmsSet, riassigner, abims_xcms_fillPeaks	Spectral library search, Label-free quantification, Filtering, Correlation, Peak detection, Mass spectrum visualisation, Chromatographic alignment, Validation, Format validation, Formatting, Chromatogram visualisation, Data filtering, Imputation, Clustering, Standardisation and normalisation					True	False
Metabolomics: LC-MS data preprocessing with XCMS	https://usegalaxy.cz	1082e5b455f8f814	https://usegalaxy.cz/published/workflow?id=1082e5b455f8f814		metabolomics, lc-ms, galaxy_training	2026-03-27	2026-03-27	4	4		abims_xcms_retcor, xcms_merge, abims_xcms_summary, abims_CAMERA_annotateDiffreport, abims_xcms_xcmsSet, msnbase_readmsdata, abims_xcms_group, abims_xcms_fillPeaks, xcms_plot_chromatogram	Label-free quantification, Chromatogram visualisation, Data filtering, Peak detection, Mass spectrum visualisation, Chromatographic alignment, Validation					True	False
Metabolomics: LC-MS data preprocessing with XCMS 	https://usegalaxy.eu	6704b925935564aa	https://usegalaxy.eu/published/workflow?id=6704b925935564aa		metabolomics	2026-03-26	2026-03-26	2	2		abims_xcms_retcor, xcms_merge, abims_xcms_summary, abims_CAMERA_annotateDiffreport, abims_xcms_xcmsSet, msnbase_readmsdata, abims_xcms_group, abims_xcms_fillPeaks, xcms_plot_chromatogram	Label-free quantification, Chromatogram visualisation, Data filtering, Peak detection, Mass spectrum visualisation, Chromatographic alignment, Validation					True	False
GC-EI-HRMS Data Processing Workflow	https://usegalaxy.eu	3086366b744e8da9	https://usegalaxy.eu/published/workflow?id=3086366b744e8da9	RECETOX	exposomics, gc-ms, metabolomics, lc-esi-ms2viadia	2024-09-08	2026-03-04	29	29		ramclustr, recetox_aplcms_generate_feature_table, matchms_formatter, __SAMPLE_SHEET_TO_TABULAR__, recetox_aplcms_recover_weaker_signals, recetox_aplcms_compute_template, recetox_aplcms_correct_time, riassigner, waveica, matchms_metadata_match, thermo_raw_file_converter, recetox_aplcms_compute_clusters, matchms_spectral_similarity, recetox_aplcms_remove_noise, recetox_aplcms_align_features, rename_annotated_feature	Quantification, Spectral library search, Filtering, Correlation, Format validation, Imputation, Peak detection, Chromatographic alignment, Feature extraction, Clustering, Standardisation and normalisation, Conversion, Alignment		MIT			True	False
Mass spectrometry: GCMS with metaMS (release v0.2)	https://usegalaxy.eu	5ede4dcba9bf9c66	https://usegalaxy.eu/published/workflow?id=5ede4dcba9bf9c66	workflow4metabolomics	metabolomics, ms, workflow4metabolomics, gc-ms, gtn, metams	2025-10-16	2025-10-17	1	1		Multivariate, xcms_merge, checkFormat, msnbase_readmsdata, metams_runGC, abims_xcms_xcmsSet, xcms_plot_chromatogram	Label-free quantification, Chromatogram visualisation, Data filtering, Peak detection, Mass spectrum visualisation, Chromatographic alignment, Validation		MIT			True	False
Mass spectrometry: LC-MS preprocessing with XCMS (release v1.1)	https://usegalaxy.eu	a3bbc1284efcd20c	https://usegalaxy.eu/published/workflow?id=a3bbc1284efcd20c	workflow4metabolomics	metabolomics, ms, lc-ms, workflow4metabolomics, xcms, gtn	2025-10-16	2025-10-16	1	1		abims_xcms_retcor, xcms_merge, checkFormat, abims_xcms_fillPeaks, abims_CAMERA_annotateDiffreport, abims_xcms_xcmsSet, msnbase_readmsdata, abims_xcms_group, intens_check, xcms_plot_chromatogram	Label-free quantification, Chromatogram visualisation, Data filtering, Peak detection, Mass spectrum visualisation, Chromatographic alignment, Validation		MIT			True	False
Annotating GC-MS data with matchms	https://usegalaxy.eu	3358c516f5412e92	https://usegalaxy.eu/published/workflow?id=3358c516f5412e92	RECEOTX, Helge Hecht	metabolomics, gc-ms, exposomics	2024-08-07	2025-05-15	29	29		matchms_networking, Filter1, matchms_formatter, matchms_metadata_match, tp_cat, matchms_spectral_similarity, compose_text_param	Spectral library search, Filtering, Format validation		MIT			True	False
Mass spectrometry: GCMS with metaMS (release v0.1)	https://usegalaxy.eu	2179ba1c33f77f7e	https://usegalaxy.eu/published/workflow?id=2179ba1c33f77f7e	workflow4metabolomics	metabolomics, ms, workflow4metabolomics, gc-ms, gtn, metams	2024-10-17	2025-04-25	1	1		Multivariate, xcms_merge, checkFormat, msnbase_readmsdata, metams_runGC, abims_xcms_xcmsSet, xcms_plot_chromatogram	Label-free quantification, Chromatogram visualisation, Data filtering, Peak detection, Mass spectrum visualisation, Chromatographic alignment, Validation		MIT			True	False
End-to-end EI+ mass spectra prediction workflow using QCxMS	https://usegalaxy.eu	4e9a2e12467bc02e	https://usegalaxy.eu/published/workflow?id=4e9a2e12467bc02e	RECETOX SpecDat	exposomics, qcxms, gc-ms, metabolomics	2024-08-05	2024-08-12	2	2		param_value_from_file, tp_cut_tool, split_file_to_collection, qcxms_getres, qcxms_neutral_run, __FILTER_FAILED_DATASETS__, qcxms_production_run, xtb_molecular_optimization, ctb_im_conformers, tp_cat, openbabel_compound_convert			MIT			True	False
End-to-end spectra predictions: multi atoms dataset	https://usegalaxy.eu	5465916d9b51f411	https://usegalaxy.eu/published/workflow?id=5465916d9b51f411	RECETOX SpecDat	exposomics, qcxms, gc-ms, metabolomics	2024-05-17	2024-06-06	64	64		qcxms_getres, qcxms_neutral_run, __FILTER_FAILED_DATASETS__, qcxms_production_run, xtb_molecular_optimization, ctb_im_conformers, openbabel_compound_convert			MIT			True	False
Workflow XCMS_CAMERA_msPurity	https://usegalaxy.fr	bcd348178335a19b	https://usegalaxy.fr/published/workflow?id=bcd348178335a19b	yguitton	lc-msms, metabolomics, esi, positive, w4m, dda	2022-03-14	2026-06-25	6	6		metfrag, mspurity_createdatabase, xcms_merge, abims_CAMERA_annotateDiffreport, mspurity_spectralmatching, msnbase_readmsdata, abims_xcms_group, abims_xcms_xcmsSet, mspurity_frag4feature, mspurity_puritya, mspurity_averagefragspectra, mspurity_filterfragspectra, abims_xcms_fillPeaks, mspurity_createmsp	Label-free quantification, Chromatogram visualisation, Data filtering, Peak detection, Mass spectrum visualisation, Chromatographic alignment, Validation		CC-BY-4.0			True	False
Workflow first steps in  'GCMS'	https://usegalaxy.fr	32f903738292a67f	https://usegalaxy.fr/published/workflow?id=32f903738292a67f	yguitton	metabolomics, gcms, demo, w4m	2021-10-07	2025-05-27	13	13		Multivariate, xcms_merge, xcms_export_samplemetadata, msnbase_readmsdata, abims_xcms_xcmsSet, metams_runGC, xcms_plot_chromatogram	Label-free quantification, Chromatogram visualisation, Data filtering, Peak detection, Mass spectrum visualisation, Chromatographic alignment, Validation					True	False
Workflow GC-MS_ESR_10_Exp_1	https://usegalaxy.fr	192ff9aa79217899	https://usegalaxy.fr/published/workflow?id=192ff9aa79217899		gc-ms, metabolomics, 2024	2024-06-05	2024-08-03	0	0		xcms_merge, metams_runGC, msnbase_readmsdata, abims_xcms_group, abims_xcms_xcmsSet	Label-free quantification, Chromatogram visualisation, Data filtering, Peak detection, Mass spectrum visualisation, Chromatographic alignment, Validation					True	False
GC_MS_workflow_using_xcms (imported from URL)	https://usegalaxy.fr	1407c1703f360f07	https://usegalaxy.fr/published/workflow?id=1407c1703f360f07	RECETOX	gc-ms, metabolomics, expospomics	2023-03-22	2023-03-24	1	1		ramclustr, matchms, abims_xcms_retcor, matchms_formatter, msconvert, xcms_merge, msnbase_readmsdata, abims_xcms_group, abims_xcms_xcmsSet, metams_runGC, cat1, riassigner, abims_xcms_fillPeaks	Spectral library search, Label-free quantification, Filtering, Correlation, Peak detection, Mass spectrum visualisation, Chromatographic alignment, Validation, Format validation, Formatting, Chromatogram visualisation, Data filtering, Imputation, Clustering, Standardisation and normalisation		MIT			True	False
short_msPurity_coffee	https://usegalaxy.fr	cca13353d553319e	https://usegalaxy.fr/published/workflow?id=cca13353d553319e	yguitton	lc-msms, metabolomics, esi, positive, w4m, dda, 2023	2023-03-23	2023-03-23	2	2		mspurity_createdatabase, mspurity_spectralmatching, abims_xcms_group, mspurity_averagefragspectra, mspurity_frag4feature, mspurity_puritya, mspurity_filterfragspectra	Data filtering, Peak detection, Label-free quantification, Mass spectrum visualisation, Chromatographic alignment, Validation, Chromatogram visualisation		CC-BY-4.0			True	False
Mass spectrometry: LC-MS analysis (3.4)	https://usegalaxy.fr	06fa7dd6eea42350	https://usegalaxy.fr/published/workflow?id=06fa7dd6eea42350		metabolomics, gtn, lcms	2020-01-09	2021-04-23	4	4		wsdl_hmdb, generic_filter, quality_metrics, abims_xcms_retcor, xcms_merge, abims_xcms_summary, Univariate, Batch_correction, abims_CAMERA_annotateDiffreport, abims_xcms_xcmsSet, msnbase_readmsdata, abims_xcms_group, abims_xcms_fillPeaks, xcms_plot_chromatogram	Label-free quantification, Chromatogram visualisation, Data filtering, Peak detection, Mass spectrum visualisation, Chromatographic alignment, Validation					True	False
Workflow_QExactive_DDA_processing_POS	https://usegalaxy.fr	6babfa7409467035	https://usegalaxy.fr/published/workflow?id=6babfa7409467035		metabolomics, msms, annotation, esi	2020-12-08	2021-04-06	4	4		mspurity_createdatabase, mspurity_spectralmatching, mspurity_averagefragspectra, mspurity_frag4feature, mspurity_puritya, mspurity_filterfragspectra, mspurity_createmsp						True	False
Electrospray Ionization and heterogeneous matrix effects in Liquid Chromatography-Mass Spectrometry-based meta-metabolomics: a biomarker or a suppressed ion? - W4M Workflow and Parameters	https://usegalaxy.fr	2ee479308227a926	https://usegalaxy.fr/published/workflow?id=2ee479308227a926		biomarkers, electrosprayionization, ionsuppression, matrixeffect, meta-metabolomics, liquidchromatography-massspectrometry	2020-09-16	2020-09-24	3	3		generic_filter, quality_metrics, abims_xcms_retcor, xcms_merge, Batch_correction, abims_CAMERA_annotateDiffreport, msnbase_readmsdata, abims_xcms_group, abims_xcms_xcmsSet, abims_xcms_fillPeaks	Label-free quantification, Chromatogram visualisation, Data filtering, Peak detection, Mass spectrum visualisation, Chromatographic alignment, Validation					True	False
Mass spectrometry: LC-MS preprocessing with XCMS (release v1.1)	https://usegalaxy.org	650f3eb7647b4508	https://usegalaxy.org/published/workflow?id=650f3eb7647b4508	workflow4metabolomics	metabolomics, ms, lc-ms, workflow4metabolomics, xcms, gtn	2025-05-29	2025-05-29	1	1		abims_xcms_retcor, xcms_merge, checkFormat, abims_xcms_fillPeaks, abims_CAMERA_annotateDiffreport, abims_xcms_xcmsSet, msnbase_readmsdata, abims_xcms_group, intens_check, xcms_plot_chromatogram	Label-free quantification, Chromatogram visualisation, Data filtering, Peak detection, Mass spectrum visualisation, Chromatographic alignment, Validation		MIT			True	False
Mass spectrometry: GCMS with metaMS (release v0.2)	https://usegalaxy.org	b38215b4ba7a9793	https://usegalaxy.org/published/workflow?id=b38215b4ba7a9793	workflow4metabolomics	metabolomics, ms, workflow4metabolomics, gc-ms, gtn, metams	2025-05-22	2025-05-26	1	1		Multivariate, xcms_merge, checkFormat, msnbase_readmsdata, metams_runGC, abims_xcms_xcmsSet, xcms_plot_chromatogram	Label-free quantification, Chromatogram visualisation, Data filtering, Peak detection, Mass spectrum visualisation, Chromatographic alignment, Validation		MIT			True	False
Mass spectrometry: LC-MS preprocessing with XCMS (release v1.0)	https://usegalaxy.org	aeeaf3e06a13bc22	https://usegalaxy.org/published/workflow?id=aeeaf3e06a13bc22	workflow4metabolomics	metabolomics, ms, lc-ms, workflow4metabolomics, xcms, gtn	2024-09-19	2025-04-25	1	1		abims_xcms_retcor, xcms_merge, abims_xcms_fillPeaks, abims_CAMERA_annotateDiffreport, abims_xcms_xcmsSet, msnbase_readmsdata, abims_xcms_group, intens_check, xcms_plot_chromatogram	Label-free quantification, Chromatogram visualisation, Data filtering, Peak detection, Mass spectrum visualisation, Chromatographic alignment, Validation		MIT			True	False
Mass spectrometry: GCMS with metaMS (release v0.1)	https://usegalaxy.org	3edd2957ecd26d6c	https://usegalaxy.org/published/workflow?id=3edd2957ecd26d6c	workflow4metabolomics	metabolomics, ms, workflow4metabolomics, gc-ms, gtn, metams	2024-10-31	2025-04-25	1	1		Multivariate, xcms_merge, checkFormat, msnbase_readmsdata, metams_runGC, abims_xcms_xcmsSet, xcms_plot_chromatogram	Label-free quantification, Chromatogram visualisation, Data filtering, Peak detection, Mass spectrum visualisation, Chromatographic alignment, Validation		MIT			True	False
MSI Finding Diff Analytes	https://usegalaxy.org.au	3678781bf7619a89	https://usegalaxy.org.au/published/workflow?id=3678781bf7619a89		metabolomics, galaxy-training-network	2021-03-19	2021-03-19	0	0		cardinal_preprocessing, cardinal_combine, maldi_quant_peak_detection, maldi_quant_preprocessing, Filter1, cardinal_classification, cardinal_quality_report, cardinal_segmentations, Summary_Statistics1, join_files_on_column_fuzzy, cardinal_mz_images, Grep1						True	False
Workflow Constructed From History 'imported: testpourGCC'	https://usegalaxy.org.au	fa0243ff9b5ca997	https://usegalaxy.org.au/published/workflow?id=fa0243ff9b5ca997		metabolomics, galaxy-training-network	2021-03-19	2021-03-19	0	0		wsdl_hmdb, generic_filter, quality_metrics, abims_xcms_retcor, xcms_merge, Univariate, Batch_correction, abims_CAMERA_annotateDiffreport, msnbase_readmsdata, abims_xcms_group, abims_xcms_xcmsSet, abims_xcms_fillPeaks, xcms_plot_chromatogram	Label-free quantification, Chromatogram visualisation, Data filtering, Peak detection, Mass spectrum visualisation, Chromatographic alignment, Validation					True	False
MSI Workflow: spatial distribution	https://usegalaxy.org.au	80cf8be8c8bf384a	https://usegalaxy.org.au/published/workflow?id=80cf8be8c8bf384a		metabolomics, galaxy-training-network	2021-03-19	2021-03-19	0	0		cardinal_filtering, Filter1, cardinal_quality_report, cardinal_spectra_plots, cardinal_data_exporter, cardinal_mz_images						True	False
LCMS Pre-Processing	https://usegalaxy.org.au	f9e5caaf08a450ec	https://usegalaxy.org.au/published/workflow?id=f9e5caaf08a450ec		metabolomics, lcms	2019-10-30	2019-10-30	3	3		abims_xcms_retcor, xcms_merge, abims_CAMERA_annotateDiffreport, msnbase_readmsdata, abims_xcms_group, abims_xcms_xcmsSet, abims_xcms_fillPeaks, xcms_plot_chromatogram	Label-free quantification, Chromatogram visualisation, Data filtering, Peak detection, Mass spectrum visualisation, Chromatographic alignment, Validation					True	False
LCMS-Data_Processing	https://usegalaxy.org.au	43109e341a5bd307	https://usegalaxy.org.au/published/workflow?id=43109e341a5bd307		metabolomics, lcms	2019-10-30	2019-10-30	1	1		wsdl_hmdb, generic_filter, quality_metrics, Univariate, Batch_correction						True	False
