Galaxy wrapper id,Total tool usage (usegalaxy.eu),No. of tool users (2022-2023) (usegalaxy.eu),Galaxy tool ids,Description,bio.tool id,bio.tool name,bio.tool description,EDAM operation,EDAM topic,Status,Source,ToolShed categories,ToolShed id,Galaxy wrapper owner,Galaxy wrapper source,Galaxy wrapper version,Conda id,Conda version,https://usegalaxy.org,https://usegalaxy.org.au,https://usegalaxy.eu,Reviewed,To keep,EDAM operation low classes
lca_wrapper,137.0,2.0,lca1,Find lowest diagnostic rank,,,,,,To update,https://bitbucket.org/natefoo/taxonomy,Metagenomics,lca_wrapper,devteam,https://github.com/galaxyproject/tools-devteam/tree/master/tool_collections/taxonomy/lca_wrapper,1.0.1,taxonomy,0.9.0,(0/1),(0/1),(1/1),True,True,
t2ps,457.0,31.0,Draw_phylogram,Draw phylogeny,,,,,,To update,https://bitbucket.org/natefoo/taxonomy,Metagenomics,t2ps,devteam,https://github.com/galaxyproject/tools-devteam/tree/master/tool_collections/taxonomy/t2ps,1.0.0,taxonomy,0.9.0,(0/1),(0/1),(1/1),True,True,
t2t_report,947.0,26.0,t2t_report,Summarize taxonomy,,,,,,To update,https://bitbucket.org/natefoo/taxonomy,Metagenomics,t2t_report,devteam,https://github.com/galaxyproject/tools-devteam/tree/master/tool_collections/taxonomy/t2t_report,1.0.0,taxonomy,0.9.0,(0/1),(0/1),(1/1),True,True,
antismash,14596.0,279.0,antismash,"Antismash allows the genome-wide identification, annotation and analysis of secondary metabolite biosynthesis gene clusters",antismash,antiSMASH,"Rapid genome-wide identification, annotation and analysis of secondary metabolite biosynthesis gene clusters in bacterial and fungal genomes. It integrates and cross-links with a large number of in silico secondary metabolite analysis tools that have been published earlier.","Sequence clustering, Gene prediction, Differential gene expression analysis","Molecular interactions, pathways and networks, Gene and protein families",Up-to-date,https://antismash.secondarymetabolites.org,Sequence Analysis,antismash,bgruening,https://github.com/galaxyproject/tools-iuc/tree/master/tools/antismash,6.1.1,antismash,6.1.1,(1/1),(1/1),(1/1),True,True,"Sequence clustering, Gene prediction, Differential gene expression analysis"
combine_metaphlan_humann,,,combine_metaphlan_humann,Combine MetaPhlAn2 and HUMAnN2 outputs to relate genus/species abundances and gene families/pathways abundances,combine_metaphlan_and_humann,Combine Metaphlan and HUMAnN,"""This tool combine MetaPhlAn outputs and HUMANnN outputs."" - Galaxy tool wrapper",Aggregation,"Metagenomics, Molecular interactions, pathways and networks",To update,,Metagenomics,combine_metaphlan2_humann2,bebatut,https://github.com/bgruening/galaxytools/tree/master/tools/combine_metaphlan2_humann2,0.3.0,python,,(0/1),(0/1),(1/1),True,True,Aggregation
compare_humann2_output,332.0,10.0,compare_humann2_output,Compare outputs of HUMAnN2 for several samples and extract similar and specific information,compare_humann2_outputs,Compare HUMAnN2 outputs,"""This tool compare HUMANnN2 outputs with gene families or pathways and their relative abundances between several samples."" - Galaxy tool wrapper",Comparison,"Metagenomics, Gene and protein families",To update,,Metagenomics,compare_humann2_output,bebatut,https://github.com/bgruening/galaxytools/tree/master/tools/compare_humann2_output,0.2.0,,,(0/1),(0/1),(0/1),True,True,Comparison
flye,20904.0,1499.0,flye,Assembly of long and error-prone reads.,,,,,,To update,https://github.com/fenderglass/Flye/,Assembly,flye,bgruening,https://github.com/bgruening/galaxytools/tree/master/tools/flye,2.9.1,flye,2.9.3,(1/1),(1/1),(1/1),True,True,
format_metaphlan2_output,5588.0,166.0,format_metaphlan2_output,Format MetaPhlAn2 output to extract abundance at different taxonomic levels,format_metaphlan2_output,Format metaphlan2 output,"""This tool format output file of MetaPhlan2 containing community content (abundance) at all taxonomic levels (from kingdom to strains)."" - Galaxy tool wrapper",Formatting,"Taxonomy, Metagenomics",To update,,Metagenomics,format_metaphlan2_output,bebatut,https://github.com/bgruening/galaxytools/tree/master/tools/format_metaphlan2_output/,0.2.0,,,(0/1),(0/1),(1/1),True,True,Formatting
glimmer_hmm,,,,GlimmerHMM is a new gene finder based on a Generalized Hidden Markov Model (GHMM),,,,,,To update,https://ccb.jhu.edu/software/glimmerhmm/,Sequence Analysis,glimmer_hmm,bgruening,https://github.com/bgruening/galaxytools/tree/master/tools/glimmer_hmm,,,,(0/1),(0/1),(0/1),True,True,
graphmap,,,"graphmap_align, graphmap_overlap","Mapper for long, error-prone reads.",,,,,,To update,https://github.com/isovic/graphmap/,Assembly,graphmap,bgruening,https://github.com/bgruening/galaxytools/tree/master/tools/graphmap,0.5.2,graphmap,0.6.3,(0/2),(0/2),(2/2),True,True,
iprscan5,,,,Interproscan queries the interpro database and provides annotations.,,,,,,To update,http://www.ebi.ac.uk/Tools/pfa/iprscan5/,Sequence Analysis,iprscan5,bgruening,https://github.com/bgruening/galaxytools/tree/master/tools/iprscan5,,,,(0/1),(0/1),(0/1),True,True,
itsx,868.0,38.0,itsx,ITSx is an open source software utility to extract the highly variable ITS1 and ITS2 subregions from ITS sequences.,ITSx,ITSx,"TSx is an open source software utility to extract the highly variable ITS1 and ITS2 subregions from ITS sequences, which is commonly used as a molecular barcode for e.g. fungi. As the inclusion of parts of the neighbouring, very conserved, ribosomal genes (SSU, 5S and LSU rRNA sequences) in the sequence identification process can lead to severely misleading results, ITSx identifies and extracts only the ITS regions themselves.",Sequence feature detection,"Functional, regulatory and non-coding RNA, Microbiology",Up-to-date,https://microbiology.se/software/itsx/,Metagenomics,itsx,bgruening,https://github.com/bgruening/galaxytools/tree/master/tools/itsx,1.1.3,itsx,1.1.3,(0/1),(0/1),(1/1),True,True,Sequence feature detection
lighter,152.0,9.0,lighter,Lighter is a kmer-based error correction method for whole genome sequencing data,,,,,,To update,,"Sequence Analysis, Fasta Manipulation",lighter,bgruening,https://github.com/mourisl/Lighter,1.0,lighter,1.1.2,(0/1),(0/1),(1/1),True,True,
mafft,143045.0,817.0,"rbc_mafft_add, rbc_mafft",Multiple alignment program for amino acid or nucleotide sequences,MAFFT,MAFFT,MAFFT (Multiple Alignment using Fast Fourier Transform) is a high speed multiple sequence alignment program.,Multiple sequence alignment,Sequence analysis,To update,,RNA,mafft,rnateam,https://github.com/bgruening/galaxytools/tree/master/tools/mafft,7.508,mafft,7.520,(2/2),(2/2),(2/2),True,True,Multiple sequence alignment
mcl,29.0,10.0,mcl_clustering,Markov Cluster Algorithm,,,,,,To update,http://micans.org/mcl/,"Sequence Analysis, Metagenomics",mcl,bgruening,https://github.com/bgruening/galaxytools/tree/master/tools/mcl,14.137,mcl,22.282,(0/1),(0/1),(0/1),True,True,
minipolish,185.0,21.0,minipolish,Polishing miniasm assemblies,minipolish,minipolish,A tool that bridges the output of miniasm (long-read assembly) and racon (assembly polishing) together to polish a draft assembly. It also provides read depth information in contigs.,"Localised reassembly, Read depth analysis","Sequence assembly, Sequencing",Up-to-date,https://github.com/rrwick/Minipolish,Sequence Analysis,minipolish,bgruening,https://github.com/bgruening/galaxytools/tree/master/tools/minipolish,0.1.3,minipolish,0.1.3,(0/1),(0/1),(1/1),True,True,"Localised reassembly, Read depth analysis"
nextdenovo,268.0,84.0,nextdenovo,String graph-based de novo assembler for long reads,nextdenovo,NextDenovo,"NextDenovo is a string graph-based de novo assembler for long reads (CLR, HiFi and ONT). It uses a ""correct-then-assemble"" strategy similar to canu (no correction step for PacBio Hifi reads), but requires significantly less computing resources and storages.","De-novo assembly, Genome assembly","Sequencing, Sequence assembly",To update,https://github.com/Nextomics/NextDenovo,Assembly,nextdenovo,bgruening,https://github.com/bgruening/galaxytools/tree/master/tools/nextdenovo,2.5.0,nextdenovo,2.5.2,(0/1),(0/1),(1/1),True,True,"De-novo assembly, Genome assembly"
nucleosome_prediction,861.0,2.0,Nucleosome,Prediction of Nucleosomes Positions on the Genome,,,,,,Up-to-date,https://genie.weizmann.ac.il/software/nucleo_exe.html,Sequence Analysis,nucleosome_prediction,bgruening,https://github.com/bgruening/galaxytools/tree/master/tools/nucleosome_prediction,3.0,nucleosome_prediction,3.0,(0/1),(0/1),(1/1),True,True,
pfamscan,165.0,19.0,pfamscan,Search a FASTA sequence against a library of Pfam HMM.,pfamscan,PfamScan,This tool is used to search a FASTA sequence against a library of Pfam HMM.,Protein sequence analysis,Sequence analysis,Up-to-date,http://ftp.ebi.ac.uk/pub/databases/Pfam/Tools/,Sequence Analysis,pfamscan,bgruening,https://github.com/bgruening/galaxytools/tree/master/tools/pfamscan,1.6,pfam_scan,1.6,(1/1),(1/1),(1/1),True,True,Protein sequence analysis
racon,21353.0,309.0,racon,Consensus module for raw de novo DNA assembly of long uncorrected reads.,Racon,Racon,The Possibility to Use Oxford Nanopore Technology | Ultrafast consensus module for raw de novo genome assembly of long uncorrected reads. http://genome.cshlp.org/content/early/2017/01/18/gr.214270.116 Note: This was the original repository which will no longer be officially maintained. Please use the new official repository here: https://github.com/isovic/racon| Racon is intended as a standalone consensus module to correct raw contigs generated by rapid assembly methods which do not include a consensus step | Consensus module for raw de novo DNA assembly of long uncorrected reads,"Genome assembly, Mapping assembly, Sequence trimming","Whole genome sequencing, Sequence assembly, Plant biology",Up-to-date,https://github.com/isovic/racon,Sequence Analysis,racon,bgruening,https://github.com/bgruening/galaxytools/tree/master/tools/racon,1.5.0,racon,1.5.0,(1/1),(1/1),(1/1),True,True,"Genome assembly, Mapping assembly, Sequence trimming"
infernal,100230.0,67.0,"infernal_cmalign, infernal_cmbuild, infernal_cmpress, infernal_cmscan, infernal_cmsearch, infernal_cmstat","Infernal (""INFERence of RNA ALignment"") is for searching DNA sequence databases for RNA structure and sequence similarities.",infernal,Infernal,"Infernal (""INFERence of RNA ALignment"") is for searching DNA sequence databases for RNA structure and sequence similarities. It is an implementation of a special case of profile stochastic context-free grammars called covariance models (CMs). A CM is like a sequence profile, but it scores a combination of sequence consensus and RNA secondary structure consensus, so in many cases, it is more capable of identifying RNA homologs that conserve their secondary structure more than their primary sequence.",Nucleic acid feature detection,"Sequence sites, features and motifs",Up-to-date,http://infernal.janelia.org/,RNA,infernal,bgruening,https://github.com/bgruening/galaxytools/tree/master/tools/infernal,1.1.4,infernal,1.1.4,(0/6),(6/6),(6/6),True,True,Nucleic acid feature detection
rRNA,,,meta_rna,Identification of ribosomal RNA genes in metagenomic fragments.,,,,,,To update,http://weizhong-lab.ucsd.edu/meta_rna/,RNA,rrna,rnateam,https://github.com/bgruening/galaxytools/tree/master/tools/rRNA,0.1,hmmsearch3.0,,(0/1),(0/1),(0/1),True,True,
reago,,,reago,Reago is tool to assembly 16S ribosomal RNA recovery from metagenomic data.,,,,,,Up-to-date,https://github.com/chengyuan/reago-1.1,"Metagenomics, RNA",reago,rnateam,https://github.com/bgruening/galaxytools/tree/master/tools/rna_tools/reago,1.1,reago,1.1,(0/1),(0/1),(0/1),True,True,
sortmerna,18504.0,376.0,bg_sortmerna,SortMeRNA is a software designed to rapidly filter ribosomal RNA fragments from metatransriptomic data produced by next-generation sequencers.,sortmerna,SortMeRNA,"Sequence analysis tool for filtering, mapping and OTU-picking NGS reads.","Sequence similarity search, Sequence comparison, Sequence alignment analysis","Metatranscriptomics, Metagenomics",Up-to-date,http://bioinfo.lifl.fr/RNA/sortmerna/,RNA,sortmerna,rnateam,https://github.com/bgruening/galaxytools/tree/master/tools/rna_tools/sortmerna,4.3.6,sortmerna,4.3.6,(1/1),(1/1),(1/1),True,True,"Sequence similarity search, Sequence comparison, Sequence alignment analysis"
salmon,55161.0,746.0,"alevin, salmon, salmonquantmerge","Salmon is a wicked-fast program to produce a highly-accurate, transcript-level quantification estimates from RNA-seq and single-cell data.",,,,,,To update,https://github.com/COMBINE-lab/salmon,"Sequence Analysis, RNA, Transcriptomics",,bgruening,https://github.com/bgruening/galaxytools/tree/master/tools/salmon,1.10.1,salmon,1.10.2,(2/3),(1/3),(3/3),True,True,
trim_galore,238699.0,2334.0,trim_galore,Trim Galore adaptive quality and adapter trimmer,trim_galore,Trim Galore,"A wrapper tool around Cutadapt and FastQC to consistently apply quality and adapter trimming to FastQ files, with some extra functionality for MspI-digested RRBS-type (Reduced Representation Bisufite-Seq) libraries.",Sequence trimming,Sequence analysis,To update,http://www.bioinformatics.babraham.ac.uk/projects/trim_galore/,"Sequence Analysis, Fastq Manipulation",trim_galore,bgruening,https://github.com/bgruening/galaxytools/tree/master/tools/trim_galore,0.6.7,trim-galore,0.6.10,(1/1),(1/1),(1/1),True,True,Sequence trimming
wtdbg,1660.0,116.0,wtdbg,WTDBG is a fuzzy Bruijn graph (FBG) approach to long noisy reads assembly.,wtdbg2,wtdbg2,Wtdbg2 is a de novo sequence assembler for long noisy reads produced by PacBio or Oxford Nanopore Technologies (ONT). It assembles raw reads without error correction and then builds the consensus from intermediate assembly output. Wtdbg2 is able to assemble the human and even the 32Gb Axolotl genome at a speed tens of times faster than CANU and FALCON while producing contigs of comparable base accuracy.,"Genome assembly, De-novo assembly","Sequence assembly, Sequencing",Up-to-date,https://github.com/ruanjue/wtdbg2,Assembly,wtdbg,bgruening,https://github.com/bgruening/galaxytools/tree/master/tools/wtdbg,2.5,wtdbg,2.5,(0/1),(0/1),(1/1),True,True,"Genome assembly, De-novo assembly"
clinod,,,clinod,NoD: a Nucleolar localization sequence detector for eukaryotic and viral proteins,,,,,,To update,http://www.compbio.dundee.ac.uk/www-nod/,Sequence Analysis,clinod,peterjc,https://github.com/peterjc/pico_galaxy/tree/master/tools/clinod,0.1.0,clinod,1.3,(1/1),(0/1),(0/1),True,True,
effectiveT3,,,effectiveT3,Find bacterial type III effectors in protein sequences,,,,,,To update,http://effectors.org,Sequence Analysis,effectivet3,peterjc,https://github.com/peterjc/pico_galaxy/tree/master/tools/effectiveT3,0.0.20,effectiveT3,1.0.1,(0/1),(0/1),(0/1),True,True,
abricate,496717.0,1764.0,"abricate, abricate_list, abricate_summary",Mass screening of contigs for antiobiotic resistance genes,ABRicate,ABRicate,Mass screening of contigs for antimicrobial resistance or virulence genes.,Antimicrobial resistance prediction,"Genomics, Microbiology",Up-to-date,https://github.com/tseemann/abricate,Sequence Analysis,abricate,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/abricate/,1.0.1,abricate,1.0.1,(3/3),(3/3),(3/3),True,True,Antimicrobial resistance prediction
abritamr,,,abritamr,A pipeline for running AMRfinderPlus and collating results into functional classes,,,,,,Up-to-date,https://zenodo.org/record/7370628,Sequence Analysis,abritamr,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/abritamr,1.0.14,abritamr,1.0.14,(0/1),(0/1),(0/1),True,True,
abyss,4278.0,391.0,abyss-pe,"Assembly By Short Sequences - a de novo, parallel, paired-end sequence assembler",abyss,ABySS,De novo genome sequence assembler using short reads.,"Genome assembly, De-novo assembly, Scaffolding",Sequence assembly,To update,http://www.bcgsc.ca/platform/bioinfo/software/abyss,Assembly,abyss,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/abyss,2.3.6,abyss,2.3.7,(0/1),(1/1),(1/1),True,True,"Genome assembly, De-novo assembly, Scaffolding"
aldex2,129.0,13.0,aldex2,Performs analysis Of differential abundance taking sample variation into account,aldex2,ALDEx2,"A differential abundance analysis for the comparison of two or more conditions. It uses a Dirichlet-multinomial model to infer abundance from counts, that has been optimized for three or more experimental replicates. Infers sampling variation and calculates the expected FDR given the biological and sampling variation using the Wilcox rank test and Welches t-test, or the glm and Kruskal Wallis tests. Reports both P and fdr values calculated by the Benjamini Hochberg correction.",Statistical inference,"Gene expression, Statistics and probability",To update,https://github.com/ggloor/ALDEx_bioc,Metagenomics,aldex2,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/aldex2,1.26.0,bioconductor-aldex2,1.34.0,(0/1),(0/1),(1/1),True,True,Statistical inference
amplican,53.0,12.0,amplican,AmpliCan is an analysis tool for genome editing.,amplican,amplican,"It performs alignment of the amplicon reads, normalizes gathered data, calculates multiple statistics (e.g. cut rates, frameshifts) and presents results in form of aggregated reports. Data and statistics can be broken down by experiments, barcodes, user defined groups, guides and amplicons allowing for quick identification of potential problems.","Alignment, Standardisation and normalisation","PCR experiment, Statistics and probability",To update,https://github.com/valenlab/amplican,Sequence Analysis,amplican,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/amplican,1.14.0,bioconductor-amplican,1.24.0,(0/1),(0/1),(1/1),True,True,"Alignment, Standardisation and normalisation"
amrfinderplus,591.0,,amrfinderplus,"""AMRFinderPlus is designed to find acquired antimicrobial resistance genes and point mutations in protein and/or assembled nucleotide sequences.It can also search ""plus"", stress, heat, and biocide resistance and virulence factors for some organisms.",amrfinderplus,AMRFinderPlus,"AMRFinderPlus is designed to find acquired antimicrobial resistance genes and point mutations in protein and/or assembled nucleotide sequences.It can also search ""plus"", stress, heat, and biocide resistance and virulence factors for some organisms",Antimicrobial resistance prediction,"Microbiology, Public health and epidemiology, Infectious disease",Up-to-date,https://github.com/ncbi/amr,Sequence Analysis,AMRFinderPlus,iuc,https://github.com/galaxyproject/tools-iuc/blob/master/tools/amrfinderplus,3.11.26,ncbi-amrfinderplus,3.11.26,(0/1),(0/1),(1/1),True,True,Antimicrobial resistance prediction
ancombc,7.0,4.0,ancombc,Performs analysis of compositions of microbiomes with bias correction.,ancombc,ANCOMBC,"Determine taxa whose absolute abundances, per unit volume, of the ecosystem (e.g. gut) are significantly different with changes in the covariate of interest (e.g. group). The current version of ancombc function implements Analysis of Compositions of Microbiomes with Bias Correction (ANCOM-BC) in cross-sectional data while allowing for covariate adjustment.",DNA barcoding,"Microbial ecology, Metagenomics",To update,https://github.com/FrederickHuangLin/ANCOMBC,Metagenomics,ancombc,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/ancombc,1.4.0,bioconductor-ancombc,2.4.0,(0/1),(0/1),(1/1),True,True,DNA barcoding
artic,,,"artic_guppyplex, artic_minion","The artic pipeline is designed to help run the artic bioinformatics protocols;for example the nCoV-2019 novel coronavirus protocol.Features include: read filtering, primer trimming, amplicon coverage normalisation,variant calling and consensus building",artic,ARTIC,A bioinformatics pipeline for working with virus sequencing data sequenced with nanopore,Sequence alignment,Genomics,To update,https://github.com/artic-network/fieldbioinformatics,Sequence Analysis,,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/artic,,artic,1.2.4,(0/2),(0/2),(2/2),True,True,Sequence alignment
bakta,2982.0,151.0,bakta,"""Bakta is a tool for the rapid & standardized annotation of bacterial genomes and plasmids from both isolates and MAGs.It provides dbxref-rich and sORF-including annotations in machine-readable JSON & bioinformatics standard file formats for automatic downstream analysis.""",Bakta,Bakta,"Rapid & standardized annotation of bacterial genomes, MAGs & plasmids",Genome annotation,"Genomics, Data submission, annotation and curation, Sequence analysis",To update,https://github.com/oschwengers/bakta,Sequence Analysis,bakta,iuc,https://github.com/galaxyproject/tools-iuc/blob/master/tools/bakta,1.8.2,bakta,1.9.2,(0/1),(1/1),(1/1),True,True,Genome annotation
