Galaxy tool ids,EDAM operation
"hyphy_absrel, hyphy_annotate, hyphy_bgm, hyphy_busted, hyphy_cfel, hyphy_conv, hyphy_fade, hyphy_fel, hyphy_fubar, hyphy_gard, hyphy_meme, hyphy_prime, hyphy_relax, hyphy_slac, hyphy_sm19, hyphy_strike_ambigs, hyphy_summary",Statistical calculation
hypo,"Optimisation and refinement, Genome assembly"
"idba_hybrid, idba_tran, idba_ud",Sequence assembly
"instrain_compare, instrain_profile","SNP detection, Genome comparison"
interproscan,"Sequence motif recognition, Protein feature detection"
"jbrowse_to_standalone, jbrowse",Genome visualisation
jellyfish,k-mer counting
kc-align,Multiple sequence alignment
"khmer_abundance_distribution_single, khmer_abundance_distribution, khmer_count_median, khmer_partition, khmer_extract_partitions, khmer_filter_abundance, khmer_filter_below_abundance_cutoff, khmer_normalize_by_median","Standardisation and normalisation, De-novo assembly"
kleborate,"Multilocus sequence typing, Genome assembly, Virulence prediction"
"krakentools_alpha_diversity, krakentools_beta_diversity, krakentools_combine_kreports, krakentools_extract_kraken_reads, krakentools_kreport2krona, krakentools_kreport2mpa","Visualisation, Aggregation"
lineagespot,Variant calling
m6anet,"Quantification, Imputation, Gene expression profiling"
"maker, maker_map_ids",Genome annotation
"mash_screen, mash_sketch",Sequence distance matrix generation
maxbin2,Sequence assembly
mcl,"Clustering, Gene regulatory network analysis"
"medaka_consensus, medaka_consensus_pipeline, medaka_snp, medaka_variant","Base-calling, Variant calling, Sequence assembly"
megahit,Genome assembly
megahit_contig2fastg,Genome assembly
"megan_blast2lca, megan_blast2rma, megan_daa2info, megan_daa2rma, megan_daa_meganizer, megan_read_extractor, megan_sam2rma","Sequence analysis, Taxonomic classification"
merqury,"Genome assembly, k-mer counting, Scaffolding, Phasing, De-novo assembly"
meryl,k-mer counting
"metabat2_jgi_summarize_bam_contig_depths, metabat2","Read binning, Sequence assembly, Genome annotation"
metaeuk_easy_predict,Homology-based gene prediction
metagenomeseq_normalizaton,"Sequence visualisation, Statistical calculation"
"customize_metaphlan_database, extract_metaphlan_database, merge_metaphlan_tables, metaphlan",Nucleic acid sequence analysis
minia,Genome assembly
"mitos, mitos2",Genome annotation
"mlst, mlst_list",Taxonomic classification
"mothur_align_check, mothur_align_seqs, mothur_amova, mothur_anosim, mothur_bin_seqs, mothur_biom_info, mothur_chimera_bellerophon, mothur_chimera_ccode, mothur_chimera_check, mothur_chimera_perseus, mothur_chimera_pintail, mothur_chimera_slayer, mothur_chimera_uchime, mothur_chimera_vsearch, mothur_chop_seqs, mothur_classify_otu, mothur_classify_seqs, mothur_classify_tree, mothur_clearcut, mothur_cluster_classic, mothur_cluster_fragments, mothur_cluster_split, mothur_cluster, mothur_collect_shared, mothur_collect_single, mothur_consensus_seqs, mothur_cooccurrence, mothur_corr_axes, mothur_count_groups, mothur_count_seqs, mothur_create_database, mothur_degap_seqs, mothur_deunique_seqs, mothur_deunique_tree, mothur_dist_seqs, mothur_dist_shared, mothur_fastq_info, mothur_filter_seqs, mothur_filter_shared, mothur_get_communitytype, mothur_get_coremicrobiome, mothur_get_dists, mothur_get_group, mothur_get_groups, mothur_get_label, mothur_get_lineage, mothur_get_mimarkspackage, mothur_get_otulabels, mothur_get_otulist, mothur_get_oturep, mothur_get_otus, mothur_get_rabund, mothur_get_relabund, mothur_get_sabund, mothur_get_seqs, mothur_get_sharedseqs, mothur_heatmap_bin, mothur_heatmap_sim, mothur_homova, mothur_indicator, mothur_lefse, mothur_libshuff, mothur_list_otulabels, mothur_list_seqs, mothur_make_biom, mothur_make_contigs, mothur_make_design, mothur_make_fastq, mothur_make_group, mothur_make_lefse, mothur_make_lookup, mothur_make_shared, mothur_make_sra, mothur_mantel, mothur_merge_count, mothur_merge_files, mothur_merge_groups, mothur_merge_sfffiles, mothur_merge_taxsummary, mothur_metastats, mothur_mimarks_attributes, mothur_nmds, mothur_normalize_shared, mothur_otu_association, mothur_otu_hierarchy, mothur_pairwise_seqs, mothur_parse_list, mothur_parsimony, mothur_pca, mothur_pcoa, mothur_pcr_seqs, mothur_phylo_diversity, mothur_phylotype, mothur_pre_cluster, mothur_primer_design, mothur_rarefaction_shared, mothur_rarefaction_single, mothur_remove_dists, mothur_remove_groups, mothur_remove_lineage, mothur_remove_otulabels, mothur_remove_otus, mothur_remove_rare, mothur_remove_seqs, mothur_rename_seqs, mothur_reverse_seqs, mothur_screen_seqs, mothur_sens_spec, mothur_seq_error, mothur_sffinfo, mothur_shhh_flows, mothur_shhh_seqs, mothur_sort_seqs, mothur_split_abund, mothur_split_groups, mothur_sub_sample, mothur_summary_qual, mothur_summary_seqs, mothur_summary_shared, mothur_summary_single, mothur_summary_tax, mothur_taxonomy_to_krona, mothur_tree_shared, mothur_trim_flows, mothur_trim_seqs, mothur_unifrac_unweighted, mothur_unifrac_weighted, mothur_unique_seqs, mothur_venn","DNA barcoding, Sequencing quality control, Sequence clustering, Taxonomic classification, Visualisation, Sequence read processing, Phylogenetic analysis"
multigsea,"Gene-set enrichment analysis, Aggregation, Pathway analysis"
multiqc,Validation
mykrobe_predict,"Antimicrobial resistance prediction, Variant calling, Genotyping, Sequence trimming"
"nanocompore_db, nanocompore_sampcomp","PolyA signal detection, Genotyping, k-mer counting"
newick_display,
orfipy,"Coding region prediction, Database search, Transcriptome assembly, De-novo assembly"
orthofinder_onlygroups,"Genome comparison, Genome alignment"
phyml,
"picrust2_add_descriptions, picrust2_hsp, picrust2_metagenome_pipeline, picrust2_pathway_pipeline, picrust2_pipeline, picrust2_place_seqs, picrust2_shuffle_predictions","Phylogenetic reconstruction, Expression analysis, Rarefaction, Pathway analysis"
plasmidfinder,"Genome assembly, Scaffolding, Multilocus sequence typing"
prokka,"Coding region prediction, Genome annotation"
"proteinortho, proteinortho_grab_proteins, proteinortho_summary",Homology-based gene prediction
"qualimap_bamqc, qualimap_counts, qualimap_multi_bamqc, qualimap_rnaseq",Sequencing quality control
quast,"Visualisation, Sequence assembly validation"
quickmerge,"Genome assembly, Scaffolding, De-novo assembly, Genotyping"
raxml,Sequence analysis
recentrifuge,"Taxonomic classification, Expression analysis, Cross-assembly"
roary,Genome assembly
"rseqc_FPKM_count, rseqc_RNA_fragment_size, rseqc_RPKM_saturation, rseqc_bam2wig, rseqc_bam_stat, rseqc_clipping_profile, rseqc_deletion_profile, rseqc_geneBody_coverage, rseqc_geneBody_coverage2, rseqc_infer_experiment, rseqc_inner_distance, rseqc_insertion_profile, rseqc_junction_annotation, rseqc_junction_saturation, rseqc_mismatch_profile, rseqc_read_GC, rseqc_read_NVC, rseqc_read_distribution, rseqc_read_duplication, rseqc_read_hexamer, rseqc_read_quality, rseqc_tin",Data handling
"semibin_bin, semibin_concatenate_fasta, semibin_generate_cannot_links, semibin_generate_sequence_features, semibin, semibin_train","Sequence assembly, Read binning"
"seqkit_fx2tab, seqkit_locate, seqkit_stats","DNA transcription, Sequence trimming, DNA translation"
shovill,Genome assembly
smgu_frameshift_deletions_checks,"Read pre-processing, Sequence alignment, Genetic variation analysis"
"snap, snap_training",Gene prediction
"snippy_core, snippy, snippy_clean_full_aln","Phylogenetic tree visualisation, Variant calling"
spotyping,Variant pattern analysis
structure,Genetic variation analysis
taxonomy_krona_chart,Visualisation
unicycler,"Genome assembly, Aggregation"
vapor,"Data retrieval, De-novo assembly, Read mapping"
"velvetg, velveth","Formatting, De-novo assembly"
velvetoptimiser,"Optimisation and refinement, Sequence assembly"
"vsearch_alignment, vsearch_chimera_detection, vsearch_clustering, vsearch_dereplication, vsearch_masking, vsearch_search, vsearch_shuffling, vsearch_sorting","DNA mapping, Chimera detection"
"eggnog_mapper, eggnog_mapper_annotate, eggnog_mapper_search","Homology-based gene prediction, Genome annotation, Fold recognition, Information extraction, Query and retrieval"
