Suite ID	Homepage	Suite source
shasta	https://github.com/chanzuckerberg/shasta	https://github.com/galaxyproject/tools-iuc/tree/main/tools/shasta
spaln	https://github.com/ogotoh/spaln	https://github.com/galaxyproject/tools-iuc/tree/main/tools/spaln
spocc_occ	https://cran.r-project.org/web/packages/spocc/index.html	https://github.com/galaxyecology/tools-ecology/tree/master/tools/spocc
srs_tools		https://github.com/Marie59/Sentinel_2A/srs_tools
stoceps		https://github.com/Alanamosse/Galaxy-E/tree/stoctool/tools/stoc
taxonomy_filter_refseq	https://github.com/pvanheus/ncbitaxonomy	https://github.com/galaxyproject/tools-iuc/tree/main/tools/taxonomy_filter_refseq
terrabyte_ogc_api_processes	https://github.com/AquaINFRA/galaxy	https://github.com/AquaINFRA/tools-ecology/tree/terrabyte_ogc_api_process
trimns	https://github.com/VGP/vgp-assembly/tree/master/pipeline/bionano/trimNs	https://github.com/galaxyproject/tools-iuc/tree/main/tools/TrimNs
verkko	https://github.com/marbl/verkko	https://github.com/galaxyproject/tools-iuc/tree/main/tools/verkko
vigiechiro	https://www.vigienature-ecole.fr/les-observatoires/le-protocole-vigie-chiro	https://github.com/galaxyecology/tools-ecology/tree/master/tools/vigiechiro
yahs	https://github.com/c-zhou/yahs	https://github.com/galaxyproject/tools-iuc/tree/main/tools/yahs
zoo_project_ogc_api_processes	https://github.com/AquaINFRA/galaxy	https://github.com/galaxyecology/tools-ecology/tree/master/tools/ogc_api_processes_wrapper
