Suite ID	Tool IDs	Description	Suite first commit date	Homepage	Suite version	Suite conda package	Latest suite conda package version	Suite version status	ToolShed categories	EDAM operations	EDAM reduced operations	EDAM topics	EDAM reduced topics	Suite owner	Suite source	Suite parsed folder	bio.tool ID	bio.tool name	bio.tool description	biii ID	Number of tools on UseGalaxy.org (Main)	Number of tools on UseGalaxy.org.au	Number of tools on UseGalaxy.eu	Number of tools on UseGalaxy.fr	Number of tools on APOSTL	Number of tools on BioBix	Number of tools on CIRM-CFBP	Number of tools on ChemFlow	Number of tools on Coloc-stats	Number of tools on CorGAT	Number of tools on CropGalaxy	Number of tools on Dintor	Number of tools on FreeBioinfo	Number of tools on GASLINI	Number of tools on Galaxy@AuBi	Number of tools on Galaxy@Pasteur	Number of tools on GalaxyTrakr	Number of tools on Genomic Hyperbrowser	Number of tools on HyPhy HIV NGS Tools	Number of tools on IPK Galaxy Blast Suite	Number of tools on ImmPort Galaxy	Number of tools on InteractoMIX	Number of tools on Lebanese University Galaxy	Number of tools on MISSISSIPPI	Number of tools on Mandoiu Lab	Number of tools on MiModD NacreousMap	Number of tools on Oqtans	Number of tools on Palfinder	Number of tools on PepSimili	Number of tools on UseGalaxy.be	Number of tools on UseGalaxy.cz	Number of tools on UseGalaxy.no	Number of tools on Viral Variant Visualizer (VVV)	Suite users (last 5 years) (usegalaxy.eu)	Suite users (usegalaxy.eu)	Suite runs (last 5 years) (usegalaxy.eu)	Suite runs (usegalaxy.eu)	Suite users (last 5 years) (usegalaxy.org)	Suite users (usegalaxy.org)	Suite runs (last 5 years) (usegalaxy.org)	Suite runs (usegalaxy.org)	Suite users (last 5 years) (usegalaxy.org.au)	Suite users (usegalaxy.org.au)	Suite runs (last 5 years) (usegalaxy.org.au)	Suite runs (usegalaxy.org.au)	Suite users (last 5 years) (usegalaxy.fr)	Suite users (usegalaxy.fr)	Suite runs (last 5 years) (usegalaxy.fr)	Suite runs (usegalaxy.fr)	Suite runs on main servers	Suite runs (last 5 years) on main servers	Suite users on main servers	Suite users (last 5 years) on main servers	Related Workflows	Related Tutorials
apollo	create_account, feat_from_gff3, create_or_update, delete_features, delete_organism, export, fetch_jbrowse, iframe, list_organism	Access an Apollo instance from Galaxy	2017-06-12	https://github.com/galaxy-genome-annotation/python-apollo		apollo	4.2.13	To update	Web Services					gga	https://github.com/galaxy-genome-annotation/galaxy-tools/tree/master/tools/apollo	https://github.com/galaxy-genome-annotation/galaxy-tools/tree/master/tools/apollo					0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	9	0	393	403	5757	6363	3	3	9	9	0	0	0	0	0	0	0	0	6372	5766	406	396	https://usegalaxy.eu/published/workflow?id=0b9071d5dfa38559, https://usegalaxy.eu/published/workflow?id=3c233cc56d4df8b0, https://usegalaxy.eu/published/workflow?id=3dcf09e75d707573, https://usegalaxy.eu/published/workflow?id=44189803f223acd1, https://usegalaxy.eu/published/workflow?id=7f6950394a8c9c4a, https://usegalaxy.eu/published/workflow?id=c0f225536e78a178, https://usegalaxy.eu/published/workflow?id=df7d9943423549df, https://usegalaxy.eu/published/workflow?id=f62d7c0c7cc57eb6, https://workflowhub.eu/workflows/1554?version=1, https://workflowhub.eu/workflows/749?version=1	genome-annotation/apollo, genome-annotation/apollo-euk
askomics	askomics_integrate	Galaxy tools allowing to interact with a remote AskOmics server.AskOmics is a visual SPARQL query builder for RDF database.https://github.com/askomics/	2017-08-11	https://github.com/askomics/		askocli	0.5	To update	Web Services					gga	https://github.com/galaxy-genome-annotation/galaxy-tools/tree/master/tools/askomics	https://github.com/galaxy-genome-annotation/galaxy-tools/tree/master/tools/askomics					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
askor_de	askor_de	AskoR links EdgeR and AskOmics	2018-04-06	https://github.com/askomics/askoR	0.2	bioconductor-limma	3.62.1	To update	Transcriptomics					genouest	https://github.com/genouest/galaxy-tools/tree/master/tools/askor	https://github.com/genouest/galaxy-tools/tree/master/tools/askor					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3	3	3	3	1	1		
assemblystats	assemblystats	Summarise an assembly (e.g. N50 metrics)	2017-10-13	https://github.com/phac-nml/galaxy_tools	1.1.0	perl-bioperl	1.7.8	To update	Assembly					nml	https://github.com/phac-nml/galaxy_tools	https://github.com/phac-nml/galaxy_tools/tree/master/tools/assemblystats					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
background_removal	background_removal	Background removal filters using scikit-image	2024-07-12	https://github.com/bmcv	0.24.0	scikit-image		To update	Imaging					imgteam	https://github.com/BMCV/galaxy-image-analysis/tools/background_removal	https://github.com/BMCV/galaxy-image-analysis/tree/master/tools/background_removal					0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	763	763	0	0	0	0	0	0	0	0	0	0	0	0	763	763	4	4		
bam2mappingstats	bam2mappingstats	Generates mapping stats from a bam file.	2017-10-13	https://github.com/phac-nml/galaxy_tools	1.1.0	perl		To update	Assembly					nml	https://github.com/phac-nml/galaxy_tools	https://github.com/phac-nml/galaxy_tools/tree/master/tools/bam2mappingstats					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
bamclipper	bamclipper	Soft-clip gene-specific primers from BAM alignment file based on genomic coordinates of primer pairs in BEDPE format.	2020-04-28	https://github.com/tommyau/bamclipper	1.0.0	bamclipper	1.0.0	Up-to-date	Sequence Analysis					nml	https://github.com/tommyau/bamclipper	https://github.com/phac-nml/galaxy_tools/tree/master/tools/bamclipper					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
baric_archive	baric_archive_rennes, baric_archive_toulouse	A data source tool to fetch data from a BARIC Archive server.	2022-03-03	https://www.cesgo.org/catibaric/	1.1.0			To update	Data Source					genouest	https://github.com/genouest/galaxy-tools/tree/master/tools/baric_archive	https://github.com/genouest/galaxy-tools/tree/master/tools/baric_archive					0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	16	16	16	16	4	4		
batched_lastz	batched_lastz	Galaxy wrapper for the batching Lastz runs	2024-04-30	https://github.com/galaxyproject/KegAlign	1.04.22	lastz	1.04.52	To update	Next Gen Mappers					richard-burhans	https://github.com/richard-burhans/galaxytools/tree/main/tools/batched_lastz	https://github.com/richard-burhans/galaxytools/tree/main/tools/batched_lastz					1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	37	313	313	0	0	0	0	0	0	0	0	313	313	37	37	https://usegalaxy.org/published/workflow?id=ca68ad0d7420c615	
bfconvert	ip_convertimage	Convert image	2019-07-22	https://github.com/bmcv	6.7.0	bftools	8.0.0	To update	Imaging, Convert Formats					imgteam	https://github.com/BMCV/galaxy-image-analysis/tree/master/tools/bfconvert/	https://github.com/BMCV/galaxy-image-analysis/tree/master/tools/bfconvert				python-bioformats	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	120	146	2087	2237	13	13	48	48	23	23	482	482	0	0	0	0	2767	2617	182	156	https://usegalaxy.eu/published/workflow?id=1ffacb28226460ac, https://usegalaxy.eu/published/workflow?id=23030421cd9fcfb2, https://usegalaxy.eu/published/workflow?id=6fbd9b2274c62ebe, https://usegalaxy.eu/published/workflow?id=bc78c184fabcff1d, https://usegalaxy.eu/published/workflow?id=dc8b78d093be59ae, https://usegalaxy.org.au/published/workflow?id=2a1e4de0dc77bbed, https://usegalaxy.org.au/published/workflow?id=8e28c3b252062b3b, https://usegalaxy.org/published/workflow?id=a8e39acc103c3d6b, https://usegalaxy.org/published/workflow?id=d47cddc372c88094, https://workflowhub.eu/workflows/1259?version=1, https://workflowhub.eu/workflows/1337?version=2, https://workflowhub.eu/workflows/1514?version=1, https://workflowhub.eu/workflows/1522?version=1, https://workflowhub.eu/workflows/1730?version=1, https://workflowhub.eu/workflows/771?version=2	imaging/multiplex-tissue-imaging-TMA, imaging/voronoi-segmentation
binary2labelimage	ip_binary_to_labelimage	Binary 2 label image	2017-02-11	https://github.com/bmcv	0.6	giatools	0.7.0	To update	Imaging	Image analysis	Image analysis	Imaging, Bioinformatics	Imaging, Bioinformatics	imgteam	https://github.com/BMCV/galaxy-image-analysis/tree/master/tools/binary2labelimage/	https://github.com/BMCV/galaxy-image-analysis/tree/master/tools/binary2labelimage	galaxy_image_analysis	Galaxy Image Analysis	Galaxy Image Analysis is mainly developed by the Biomedical Computer Vision (BMCV) Group at Heidelberg University. Its dedication is to provide tools for image analysis and image processing for the Galaxy platform.		1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	97	117	2363	3402	6	6	23	23	10	10	299	299	0	0	0	0	3724	2685	133	113	https://usegalaxy.eu/published/workflow?id=1ffacb28226460ac, https://usegalaxy.eu/published/workflow?id=23030421cd9fcfb2, https://usegalaxy.eu/published/workflow?id=50c47c5b285f7c00, https://usegalaxy.eu/published/workflow?id=6fbd9b2274c62ebe, https://usegalaxy.eu/published/workflow?id=7d7550ce7004d71e, https://usegalaxy.eu/published/workflow?id=bc78c184fabcff1d, https://usegalaxy.eu/published/workflow?id=dc8b78d093be59ae, https://usegalaxy.org.au/published/workflow?id=2a1e4de0dc77bbed, https://usegalaxy.org.au/published/workflow?id=8e28c3b252062b3b, https://usegalaxy.org/published/workflow?id=a8e39acc103c3d6b, https://usegalaxy.org/published/workflow?id=d47cddc372c88094, https://workflowhub.eu/workflows/1259?version=1, https://workflowhub.eu/workflows/1508?version=1, https://workflowhub.eu/workflows/1522?version=1, https://workflowhub.eu/workflows/1526?version=1, https://workflowhub.eu/workflows/1532?version=1, https://workflowhub.eu/workflows/1730?version=1, https://workflowhub.eu/workflows/771?version=2	imaging/2D-spot-detection, imaging/hela-screen-analysis, imaging/imaging-introduction, imaging/process-image-bioimageio, imaging/voronoi-segmentation
binaryimage2points	ip_binaryimage_to_points	Binary Image to Points	2017-10-30	https://github.com/bmcv	0.1-2	numpy		To update	Imaging	Image analysis	Image analysis	Imaging, Bioinformatics	Imaging, Bioinformatics	imgteam	https://github.com/BMCV/galaxy-image-analysis/tree/master/tools/binaryimage2points/	https://github.com/BMCV/galaxy-image-analysis/tree/master/tools/binaryimage2points	galaxy_image_analysis	Galaxy Image Analysis	Galaxy Image Analysis is mainly developed by the Biomedical Computer Vision (BMCV) Group at Heidelberg University. Its dedication is to provide tools for image analysis and image processing for the Galaxy platform.		0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	2	729	758	0	0	0	0	0	0	0	0	0	0	0	0	758	729	2	1		
bioformats2raw	bf2raw	Convert image to OME-Zarr	2023-11-02	https://github.com/Euro-BioImaging	0.7.0			To update	Imaging, Convert Formats					imgteam	https://github.com/BMCV/galaxy-image-analysis/tree/master/tools/bioformats2raw	https://github.com/BMCV/galaxy-image-analysis/tree/master/tools/bioformats2raw					0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	7	109	109	0	0	0	0	0	0	0	0	0	0	0	0	109	109	7	7		
biohansel	biohansel	Heidelberg and Enteritidis SNP Elucidation	2018-08-01	https://github.com/phac-nml/biohansel	2.4.0	bio_hansel	2.6.1	To update	Sequence Analysis					nml	https://github.com/phac-nml/biohansel	https://github.com/phac-nml/galaxy_tools/tree/master/tools/biohansel					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
biohansel_bionumeric_converter	bionumeric_convert	Convert BioHansel output data to a Bionumerics friendly form	2019-03-15	https://github.com/phac-nml/galaxy_tools	0.2.0	pandas		To update	Text Manipulation					nml		https://github.com/phac-nml/galaxy_tools/tree/master/tools/biohansel_bionumeric_converter					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
blast_parser	blast_parser	Convert 12- or 24-column BLAST output into 3-column hcluster_sg input	2015-08-06	https://github.com/EarlhamInst/earlham-galaxytools/	0.2.0	python		To update	Phylogenetics					earlhaminst	https://github.com/EarlhamInst/earlham-galaxytools/tree/main/tools/blast_parser	https://github.com/EarlhamInst/earlham-galaxytools/tree/main/tools/blast_parser					0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	133	146	769	942	0	0	0	0	0	0	0	0	0	0	0	0	942	769	146	133	https://usegalaxy.eu/published/workflow?id=2cec6a39cd496f09	
