Title	Year	Journal
Platelets regulate neural and oligodendroglial progenitors when infiltrating the brain parenchyma	2025	Communications Biology
Triazine-Trione Thermosets with High Processability for Scaffold Applications in Bone Tissue Engineering.	2025	Advanced healthcare materials
ATRX Deficiency Drives Aberrant Type I Interferon Signalling Through cGAS-Dependent Transcriptional Dysregulation	2025	bioRxiv
inDAGO: a user-friendly interface for seamless dual and bulk RNA-Seq analysis	2025	Frontiers in Bioinformatics
Environmental monitoring and equipment sanitation to mitigate Listeria risks in a soil-based controlled environment agriculture system	2025	Applied and Environmental Microbiology
Farnesyltransferase inhibitors decrease matrix-vesicle-mediated mineralization in SaOS-2 cells	2025	Molecular Biology Reports
A breath of fresh air: comparative evaluation of passive versus active airborne eDNA sampling strategies	2025	bioRxiv
Comparative genomics reveals specialization and divergent virulence potential in Vibrio vulnificus, Vibrio navarrensis, and Vibrio cidicii	2025	Applied and Environmental Microbiology
Nanopore sequencing in veterinary medicine: from concepts to clinical applications	2025	Frontiers in Cellular and Infection Microbiology
Integrating Magnetic Bead-Based SELEX with In Silico Binding Analyses for the Identification of High-Affinity DNA Aptamers Targeting TAGLN2	2025	ACS Omega
Distribution of DNA gyrase cleavage sites across the Streptococcus pneumoniae genome: relation to transcription and methylation at GATC sites	2025	Nucleic Acids Research
Life in the brine of Lunenburg, Germany: unveiling microorganisms associated with Zechstein salt deposits	2025	Frontiers in Microbiology
Functional and genomic insights into landfill-isolated Brucella intermedia strains capable of degrading Linear Low-Density Polyethylene (LLDPE)	2025	bioRxiv
Cryptic multicellularity in wild yeast brings selective advantages under stress	2025	bioRxiv
Hyaluronan synthase 3 deficiency lowers the incidence of ruptures of abdominal aortic aneurysms by reducing monocyte infiltration	2025	Frontiers in Immunology
Analysis of Clinical Gram-Negative Carbapenem Resistant Acinetobacter baumannii and Klebsiella pneumoniae Isolates from Wounds of Patients at a Hospital Reveals Complex Resistome and the First Report of blaSPM and blaSME Genes in Trinidad, West Indies	2025	Current Microbiology
Towards LLM-Powered Task-Aware Retrieval of Scientific Workflows for Galaxy	2025	ArXiv
Capsicum annuum L. plants treated with seaweed extracts (Sargassum spp. and Ascophyllum nodosum) show changes in the root and rhizosphere bacterial microbiome and improved performance under drought conditions	2025	Journal of Applied Phycology
MicroRNAs Let-7b-5p and miR-24-3p as Potential Therapeutic Agents Targeting Pancreatic Cancer Stem Cells	2025	International Journal of Molecular Sciences
A lactobacilli-based probiotic but not its postbiotic reduces intestinal inflammatory pathways expression in broilers fed a non-starch polysaccharide rich challenge diet	2025	Poultry Science
Mumia spirodelae sp. nov., a novel actinobacterium isolated from greater duckweed (Spirodela polyrhiza).	2025	International journal of systematic and evolutionary microbiology
Comparative Genomics of Two Newly Sequenced Rodent-Derived and One Previously Reported Tick-Derived Borrelia garinii Strains from South Korea Reveals Plasmid Variation and Virulence Gene Diversity	2025	Pathogens
High prevalence of multidrug-resistant Salmonella enterica in Thailand food markets: insights from complete genome and phenotypic characterization of ESBL-producing strains	2025	Microbiology Spectrum
The first complete mitochondrial genome sequences of an ancient orphan evolutionary lineage of Eumolpinae leaf beetles endemic to the South Pacific	2025	BMC Genomics
NMN supplementation as a strategy to improve oocyte quality: a systematic review and transcriptomic analysis.	2025	Journal of assisted reproduction and genetics
Genome-wide identification of bZIP transcription factors and their role towards drought stress and fruit development in Mangifera indica (mango)	2025	Crop &amp; Pasture Science
DNA topoisomerase II promotes N6-adenosine mRNA methylation.	2025	Cell reports
Plant-pathogen interactions: making the case for multi-omics analysis of complex pathosystems	2025	Stress Biology
Evaluation of the Oral Microbiome in Patients with Alström and Bardet-Biedl Syndromes and Their Heterozygous Family Members	2025	Microorganisms
Chaetomium, Chlonostachys, and Pseudogymnoascus isolates from tomato tissues significantly suppress Phytophthora infestans in tomato	2025	PLOS One
Methylation mimic mutations of progesterone receptor AF1 impair gene-specific regulation through stabilized chromatin interactions	2025	bioRxiv
Detection of Heteroresistant Vancomycin-Intermediate Staphylococcus haemolyticus Among Blood Isolates.	2025	Microbial drug resistance
Genomic Surveillance and Resistance Profiling of Multidrug-Resistant Acinetobacter baumannii Clinical Isolates: Clonal Diversity and Virulence Insights	2025	Microorganisms
Multi-target mechanisms of Creatine in Parkinson's disease: an in-silico and in-vivo investigation.	2025	Genes & genomics
TIMAP downregulation in Burkitt’s lymphoma reveals key molecules and signaling pathways in B-cell lymphomagenesis	2025	Experimental Biology and Medicine
Exposure to the organochlorine pesticide cis-chlordane induces ALS-like mitochondrial perturbations in stem cell-derived motor neurons	2025	PLOS One
Revolutionizing cancer diagnosis with computational biology in the era of digital healthcare	2025	Health and Technology
Integrative Computational Analysis Reveals H. pylori GroEL as a Stabilizer of Neurotoxic Amyloid-β Oligomers	2025	bioRxiv
Conceptual density functional theory in drug discovery: an overview	2025	Journal of Molecular Modeling
Virally encoded interleukin-6 (vIL-6) coordinates with human IL-6 to modulate cytokine expression during KSHV infection	2025	bioRxiv
The lncRNA landscape of cardiac resident macrophages and identification of Schlafenlnc as a regulator of macrophage migratory function	2025	bioRxiv
Unlocking the Potential of vB_EfaS_LOK1: A Newly Isolated Bacteriophage Against Enterococcus faecalis	2025	Microorganisms
Retinoic acid signaling guides the efficiency of inner ear organoid-genesis and governs sensory-nonsensory fate specification.	2025	Stem cell reports
Effector molecules and pathogenicity-associated gene expression in Ascochyta rabiei.	2025	Fungal biology
Whole genome sequencing of terbinafine-sensitive canine strains of Trichophyton indotineae isolated from India.	2025	Journal de mycologie medicale
MAPL regulates gasdermin-mediated release of mtDNA from lysosomes to drive pyroptotic cell death	2025	Nature Cell Biology
Tracing Klebsiella pneumoniae in intensive care units using genomic methods and a new rapid Sequence Type assignment technique: Three years of molecular epidemiology results.	2025	The Journal of hospital infection
Rose Bengal Is a Precise Pharmacological Tool Triggering Chloroplast‐Driven Programmed Cell Death in Plants, Dependent on Calcium and Mitochondria, and Associated With Early Transcriptional Reprogramming	2025	Plant Direct
Exome-wide analysis identifies a rare EXD3 missense variant associated with diabetic kidney disease	2025	Kidney International Reports
Molecular Evolution and Gene Diversity of Dermatan Sulfate Sulfotransferases in Ascidians	2025	Proteoglycan Research
Metagenomic identification of disease-causing Salmonella enterica serovars and antimicrobial resistance genes from paediatric faecal samples	2025	Microbial Genomics
Multi-marker eDNA metabarcoding reveals more abundant coral biodiversity in a subtropical coastal reef ecosystem.	2025	Marine environmental research
A multi-isolate genomic approach identifies diverse Escherichia coli contamination and antimicrobial resistance carriage on retail foods	2025	Microbial Genomics
REG3A and IL22 have opposite effects on fat accumulation in the liver in a high-fat diet	2025	Scientific Reports
Artificial intelligence and systems biology analysis in stem cell research and therapeutics development	2025	Stem Cells Translational Medicine
Gender- and Grade-Dependent Activation of Androgen Receptor Signaling in Adult-Type Diffuse Gliomas: Epigenetic Insights from a Retrospective Cohort Study	2025	Biomedicines
Optimizing the Infusion Route of Human Bone Marrow Mesenchymal Stromal Cells to Mitigate Liver Ischemia–Reperfusion Injury in a Porcine Model	2025	Cells
Liver molecular networks associated with drinking behavior in nonhuman primates	2025	Alcohol, Clinical & Experimental Research
DOT1L-mediated H3K79me2 directs B-cell repertoire establishment, marginal zone development, and germinal center function.	2025	Journal of immunology
Protocol for genomic surveillance of Plasmodium falciparum antigens using amplicon-based PacBio long-read sequencing	2025	STAR Protocols
Chromatin landscape of budding yeast acquiring H3K9 methylation and its reader molecule HP1	2025	bioRxiv
Investigation of survivin and autophagy marker expression in different Indian cancer tissue samples	2025	Journal of Molecular Histology
Four Large Indels in Barley Chloroplast Mutator (cpm) Seedlings Reinforce the Hypothesis of a Malfunction in the MMR System	2025	International Journal of Molecular Sciences
PARP1 and PARG Are the Draft Horses for Polycomb-Trithorax Chromatin Regulator Machinery	2025	Biomolecules
RNA Sequencing Identified Differentially Expressed Genes in the Mesocorticolimbic and Nigrostriatal Systems of Compulsive METH-Taking Rats	2025	Cells
Comparative metagenomic profiling of gut microbiota in wild and reared Rhynchophorus phoenicis (Coleoptera: Dryophthoridae) across developmental stages in central-west côte d'Ivoire	2025	Ecological Genetics and Genomics
Genome Sequence and Characterization of Bacillus cereus Endophytes Isolated from the Alectra sessiliflora and Their Biotechnological Potential	2025	Microbiology Research
Allele Level Sequencing of Killer Cell Immunoglobulin‐Like Receptor Genes Using Oxford Nanopore Long Read Sequencing	2025	Hla
MetaKSSD: boosting the scalability of the reference taxonomic marker database and the performance of metagenomic profiling using sketch operations	2025	Nature Computational Science
The root-knot nematode effector Mj-MSP18: a Swiss army knife for reprogramming plant immunity	2025	bioRxiv
Understanding Palladium Ion Induced Bioelectrocatalysis in Shewanella oneidensis MR-1 through Electrochemical and Genetic Interrogations	2025	ACS Electrochemistry
DNA aptamer AptERA 2 targets ERA from Staphylococcus aureus and limits GTP hydrolysis	2025	Scientific Reports
In a model of parasite-mediated exhaustion, stem-like CD8 T cells differentiate into an unconventional intermediate effector memory subset.	2025	Journal of immunology
Metagenomic analysis and genomic characterization of enterovirus A76 and Norovirus GI.6[P11] co-infection in a patient with acute gastroenteritis in Thailand	2025	Scientific Reports
An interaction between the transmembrane domains of Streptococcus pyogenes sortase A and its endogenous substrate M protein revealed by molecular dynamics simulations	2025	bioRxiv
Unraveling the Chloroplast Genome of Stellaria media: Comprehensive Analysis, Taxonomic Implications, and Evolutionary Perspectives.	2025	Biochemical genetics
Mutations in TAC1B drive increased CDR1 and MDR1 expression and azole resistance in Candida auris	2025	Antimicrobial Agents and Chemotherapy
FXR adapts hepatic mitochondrial function to increased substrate oxidation in patients with obesity.	2025	Science translational medicine
Understanding off-target growth defects introduced to influenza A virus by synonymous recoding	2025	RNA
Mitochondrial genome sequence of the Dark Mahseer (Naziritor chelynoides) supports its phylogenetic position within the subfamily Torinae and population structure across the Ganges River basin	2025	Biologia
Epithelial Memory After Respiratory Viral Infection in Mice Results in Prolonged Enhancement of Antigen Presentation	2025	Allergy
Isolation of Brucella suis from cattle in India: whole genome analysis unravels potential for zoonotic transmission	2025	Brazilian Journal of Microbiology
A synonymous single nucleotide variant on the FAM20C gene causes non-lethal Raine syndrome.	2025	Human molecular genetics
A Virome Scanning of Saffron (Crocus sativus L.) at the National Scale in Iran Using High-Throughput Sequencing Technologies	2025	Viruses
Large-scale comparative analysis of blowfly mitogenomes, with an emphasis on Calliphorinae (Diptera: Calliphoridae), provides evolutionary insights into mitochondrial DNA structure, gene rearrangements, and inter- and intra-subfamilial relationships among blowflies.	2025	International journal of biological macromolecules
Fibroblast bioelectric signaling drives hair growth	2025	Cell
Escherichia coli Strains Originating from Raw Sheep Milk, with Special Reference to Their Genomic Characterization, Such as Virulence Factors (VFs) and Antimicrobial Resistance (AMR) Genes, Using Whole-Genome Sequencing (WGS)	2025	Veterinary Sciences
Application of Multi-Omics Techniques in Aquatic Ecotoxicology: A Review	2025	Toxics
Genomic Prediction of Adaptation in Common Bean (Phaseolus vulgaris L.) × Tepary Bean (P. acutifolius A. Gray) Hybrids	2025	International Journal of Molecular Sciences
Nitrogen fixation in Pampinifervens, a new species-rich genus of Aquificaceae that inhabits a wide pH range in terrestrial hot springs.	2025	Systematic and applied microbiology
Biotic Assembly of the Species of Triatomini (Hemiptera: Reduviidae: Triatominae) in the Mexican and South American Transition Zones	2025	Journal of Biogeography
Comparative Genomic Analysis and Antimicrobial Resistance Profile of Enterococcus Strains Isolated from Raw Sheep Milk	2025	Veterinary Sciences
﻿Characterization of the mitochondrial genomes for Ophiostomaips and related taxa from various geographic origins and related species: large intron-rich genomes and complex intron arrangements	2025	IMA Fungus
Members of the MYB68 subclade orchestrate cork differentiation by regulating stem cell proliferation and suberin deposition.	2025	Cell reports
Lactobacilli-based postbiotic differentially affects chicken macrophage-like HD11 cells depending on stimulatory lipopolysaccharide dosage	2025	BMC Veterinary Research
The transcriptional mechanism behind Mimosa pudica leaf folding in response to mechanical disturbance	2025	Planta
Metabolic pathways profiling of aerobiomes in the Earth’s lower atmosphere	2025	International Journal of Astrobiology
Introduction of epigenetic variation contribute to resistance against the human parasite Schistosoma mansoni	2025	Epigenetics & Chromatin
Diversity versus clonality in carbapenem-resistant A. baumannii: a two-year surveillance study in four intensive care units at a large teaching hospital in Rome, Italy	2025	Antimicrobial Resistance and Infection Control
Temporal control of progenitor competence shapes maturation in GABAergic neuron development in mice	2025	Nature Neuroscience
Antibiotic-resistant bacteria in marine productive zones of the eastern Arabian Sea: Implications for human and environmental health.	2025	Environmental pollution
Functional interplay between (p)ppGpp and RNAP in Acinetobacter baumannii	2025	PLOS Pathogens
TP53 missense–specific transcriptional plasticity drives resistance against cell cycle inhibitors in pancreatic cancer	2025	Science Advances
Optimized lentiviral backbone induces robust and diverse T cell immunity against neoantigens to counteract tumor heterogeneity	2025	NPJ Vaccines
Transcriptomic and histological characteristics of innate immune activation in brain parenchyma in a rat model of neonatal intraventricular hemorrhage	2025	Fluids and Barriers of the CNS
From pollution to reforestation: the hidden microbiome of Alnus glutinosa nodules over 30 years	2025	Scientific Reports
Genome-wide analysis of the ammonium transporters gene family in Phaseolus vulgaris and its roles in response to drought and salinity stress	2025	Scientific Reports
A genome-skimming phylogeny of ctenostome bryozoans	2025	Zoological Journal of the Linnean Society
Poncirus trifoliata peel extract supplementation elevates gut CD4+ T cells and microbial diversity in both laying hens and broilers	2025	Poultry Science
In Silico Evaluation of Quinolone–Triazole and Conazole–Triazole Hybrids as Promising Antimicrobial and Anticancer Agents	2025	International Journal of Molecular Sciences
Vertical distribution of harmful algae in the sediment of Uranouchi Inlet by metabarcoding	2025	Frontiers in Protistology
Uncovering Anti-Melanoma Mechanisms of Bambusa stenostachya Leaf Compounds via Network Pharmacology and Molecular Docking	2025	International Journal of Molecular Sciences
Unveiling Airborne Microbiomes through Metagenomic Sequencing	2025	International Journal of Advanced Research in Science, Communication and Technology
Pyridine-bis(benzimidazole) induces DNA damage at G-quadruplex loci and promotes synthetic lethality with DNA repair inhibition	2025	Nucleic Acids Research
Mitogenomics of Psorodonotus ebneri Brunner von Wattenwyl, 1861 (Orthoptera: Tettigoniidae): Selection profile and patterns of intraspecific and interspecific divergence	2025	Hacettepe Journal of Biology and Chemistry
BTR-MCL: A Bioinformatics Tool Recommendation Method With Multi-View Contrastive Learning	2025	IEEE Transactions on Computational Biology and Bioinformatics
Exploring the genetic diversity of the 3′ untranslated region (UTR) of Dengue virus	2025	Virology Journal
ZC3H4 safeguards genome integrity by preventing transcription-replication conflicts at noncoding RNA loci	2025	Science Advances
Discovery of iridoid cyclase completes the iridoid pathway in asterids	2025	Nature Plants
PARP-1 as a novel target in endocrine-resistant breast cancer	2025	Journal of Experimental & Clinical Cancer Research : CR
Development of a Selective Agar for the Detection of Probiotic Strain Ligilactobacillus animalis NP51 and Other Lactic Acid Bacteria in Cattle Feed	2025	Agriculture
Transcriptomic analysis reveals shared deregulated neutrophil responses in COVID-19 and idiopathic pulmonary fibrosis	2025	Respiratory Research
Convergent evolution of antibiotic resistance mechanisms between pyrrolobenzodiazepines and albicidin in multidrug resistant Klebsiella pneumoniae	2025	npj Antimicrobials and Resistance
Ipecac alkaloid biosynthesis in two evolutionarily distant plants	2025	Nature Chemical Biology
Differences in composition and potential function of the bacterial communities of cave- and surface-dwelling Mexican salamanders	2025	Animal Microbiome
Sensitization of Non‐M3 Acute Myeloid Leukemia Blasts to All‐Trans Retinoic Acid by the LSD1 Inhibitor Tranylcypromine: TRANSATRA Phase I Study	2025	European Journal of Haematology
Shotgun sequencing of airborne eDNA achieves rapid assessment of whole biomes, population genetics and genomic variation	2025	Nature Ecology & Evolution
Exposure to cadmium alters metabolic pathways in the hepatic proteome of a neotropical catfish.	2025	Comparative biochemistry and physiology. Part D, Genomics & proteomics
Towards implementing optimized methodologies and in-depth molecular profiling to assess the pharmacological potential of human lung fibroblast exosomes as bio-shuttles for cancer therapeutics.	2025	European journal of pharmaceutical sciences : official journal of the European Federation for Pharmaceutical Sciences
Vostok: A looping factor for the organization of the regulatory genome in the Drosophila brain.	2025	Molecular cell
Complete genome and comparative analysis of Xanthomonas oryzae pv. oryzae isolated from northern Thailand	2025	Access Microbiology
A novel silver-ruthenium-based antimicrobial kills Gram-negative bacteria through oxidative stress-induced macromolecular damage	2025	mSphere
Potential effect of Wolbachia on virus restriction in the spider mite T. truncatus	2025	Frontiers in Microbiology
Inoculation of apple plantlets with Rhodococcus pseudokoreensis R79T enhances diversity and modulates the structure of bacterial rhizosphere communities in soil affected by apple replant disease	2025	BMC Plant Biology
Stage-specific transcriptomic analysis reveals insights into the development, reproduction and biological function of allergens in the European house dust mite Dermatophagoides pteronyssinus	2025	BMC Genomics
The effects of silver nitrate on Mycobacterium abscessus biofilms in a simulated antimicrobial showerhead environment	2025	Frontiers in Public Health
Identification of novel gene expression patterns and pathways involved in PARP-1 inhibitor resistance	2025	Mammalian Genome
A Tutorial Toolbox to Simplify Bioinformatics and Biostatistics Analyses of Microbial Omics Data in an Island Context	2025	BioMedInformatics
Population genetics of the endangered narrowly endemic Island Marble butterfly (Euchloe ausonides insulanus)	2025	bioRxiv
Impacts of climate change on cotton production and advancements in genomic approaches for stress resilience enhancement	2025	Journal of Cotton Research
Gene-trait matching among Bifidobacterium dentium strains reveals various glycan metabolism loci including a strain-specific fucosyllactose utilization cluster	2025	Frontiers in Microbiology
Presence of microplastic particles increased abundance of pathogens and antimicrobial resistance genes in microbial communities from the Oder river water and sediment	2025	Scientific Reports
Changes in the soil and rhizosphere microbiomes associated with bacterial wilt decline in the tomato monoculture field	2025	Geoderma
Genomic dataset of eighteen Burkholderia pseudomallei strains isolated from clinical and environmental settings in Malaysia	2025	Current Research in Microbial Sciences
Functional dissection of noncoding variants associated with rheumatoid arthritis.	2025	Annals of the rheumatic diseases
Upstream open reading frames dynamically modulate CLOCK protein translation to regulate circadian rhythms and sleep	2025	PLOS Biology
H3K27Me3 abundance is associated with a decreased barrier function of endothelial cells by directly silencing VE-cadherin expression.	2025	Atherosclerosis
Structural Characterisation of TetR/AcrR Regulators in Streptomyces fildesensis So13.3: An In Silico CRISPR-Based Strategy to Influence the Suppression of Actinomycin D Production	2025	International Journal of Molecular Sciences
Clinical Bioinformatician Body of Knowledge - Bioinformatics and Software Core: A Report of the Association for Molecular Pathology.	2025	The Journal of molecular diagnostics : JMD
Comprehensive analysis of multi‐omics single‐cell data using the single‐cell analyst	2025	iMeta
Genomic insights into Brucella melitensis in India: stability of ST8 and the role of virulence genes in regional adaptations	2025	Microbiology Spectrum
Phenotypic and omics analyses of the Sordariomycetes Marquandomyces marquandii and Albophoma yamanashiensis isolated from estuarine sediments	2025	mSystems
SLUR(M)-py: a SLURM powered Pythonic pipeline for parallel processing of 3D (Epi)genomic profiles	2025	Epigenomics
Regulation of nucleotide excision repair by wild-type HRAS signaling in head and neck cancer	2025	Cancer Gene Therapy
A two-step regulatory mechanism dynamically controls histone H3 acetylation by SAGA complex at growth-related promoters	2025	Nucleic Acids Research
Transcripts derived from AmnSINE1 repetitive sequences are depleted in the cortex of autism spectrum disorder patients	2025	Frontiers in Bioinformatics
Subclonal response heterogeneity to define cancer organoid therapeutic sensitivity	2025	Scientific Reports
Decoding RAP1’s Role in Yeast mRNA Splicing	2025	bioRxiv
Playbook workflow builder: Interactive construction of bioinformatics workflows	2025	PLOS Computational Biology
Identification of ZNF384 as a regulator of epigenome in leukemia.	2025	Leukemia research
Nanoscale piezoelectric patches preserve electrical integrity of infarcted hearts	2025	Materials Today Bio
Intersecting impact of CAG repeat and huntingtin knockout in stem cell-derived cortical neurons	2025	Neurobiology of disease
Senescence-associated lineage-aberrant plasticity evokes T-cell-mediated tumor control	2025	Nature Communications
A novel allele of Mitogen Activated Protein Kinase 6 is linked to disease resistance and constitutive immunity in rice	2025	bioRxiv
Escherichia Phage Ge15, NRG-P0073: Genomic Characterization and Host Range Analysis Against the ECOR Reference Library	2025	PHAGE: Therapy, Applications, and Research
Crossing Wallace’s line: an evolutionarily young gibbon ape leukemia virus like endogenous retrovirus identified from the Philippine flying lemur (Cynocephalus volans)	2025	Scientific Reports
Completed genomes from Variovorax provide insight into genome diversification through horizontal gene transfer	2025	Current Research in Microbial Sciences
Genomic Insights into Fertilization: Tracing PLCZ1 Orthologs Across Amphibian Lineages	2025	Genome Biology and Evolution
Absence of fibroin H sequences and a significant divergence in the putative fibroin L homolog in Neomicropteryx cornuta (Micropterigidae) silk	2025	Communications Biology
The suberin transporter StABCG1 is required for barrier formation in potato leaves	2025	Scientific Reports
Analysis of tracrRNAs reveals subgroup V2 of type V-K CAST systems	2025	microLife
Noncanonical circRNA biogenesis driven by alpha and gamma herpesviruses	2025	The EMBO Journal
Reconstructing the dynamics of past coral endosymbiotic algae communities using coral ancient DNA (coraDNA)	2025	Coral Reefs
Integrated transcriptomic profiling reveals a STING-mediated Type II Interferon signature in SOD1-mutant amyotrophic lateral sclerosis models	2025	Communications Biology
Phylogenetic Analysis of Chikungunya Virus Eastern/Central/South African-Indian Ocean Epidemic Strains, 2004–2019	2025	Viruses
Substrate recognition in Bacillus anthracis sortase B beyond its canonical pentapeptide binding motif and use in sortase-mediated ligation	2025	The Journal of Biological Chemistry
Comparative genomics of clinical hybrid Escherichia coli strains in Norway.	2025	International journal of medical microbiology : IJMM
Altered development and lignin deposition in rice p-COUMAROYL ESTER 3-HYDROXYLASE loss-of-function mutants.	2025	The Plant journal : for cell and molecular biology
Menadione reduces the expression of virulence- and colonization-associated genes in Helicobacter pylori.	2025	Microbiology
The mytilin gene cluster: shedding light on the enigmatic origin of mussel dispensable genes.	2025	Fish & shellfish immunology
The role of DNA content in shaping chromatin architecture and gene expression	2025	The Plant Journal
Exploring the genomic diversity and breeding applications of the Solanum sessiliflorum transcriptome via phylogenetic analysis	2025	Crop Science
A thematic analysis of prognostic, diagnostic, and therapeutic of circulating miRNA biomarkers in bortezomib-resistant multiple myeloma	2025	SAGE Open Medicine
Maternal platelet-derived factors induce trophoblastic LAIR2 expression to promote trophoblast invasion and inhibit platelet activation at the fetal-maternal interface.	2025	Journal of thrombosis and haemostasis : JTH
snRNA-seq analysis of the moss Physcomitriumpatens identifies a conserved cytokinin-ESR module promoting pluripotent stem cell identity.	2025	Developmental cell
Intersecting impact of CAG repeat and Huntingtin knockout in stem cell-derived cortical neurons	2025	bioRxiv
Histone H3 K4 trimethylation occurs mainly at the origins of polycistronic transcription in the genome of Leishmania infantum promastigotes and intracellular amastigotes	2025	BMC Genomics
Micro-environmental changes indicate potential for subclinical intestinal tissue damage in early-age-onset colorectal cancer patients	2025	Gastroenterology Report
Bio-nanocomplexes impair iron homeostasis to induce non-canonical ferroptosis in cancer cells	2025	Journal of Nanobiotechnology
Expression of MMP-11, an estrogen-suppressed gene in MCF-7 cells, is elevated upon acquisition of tamoxifen resistance	2025	bioRxiv
R-loops acted on by RNase H1 influence DNA replication timing and genome stability in Leishmania	2025	Nature Communications
Phage reprogramming of Pseudomonas aeruginosa amino acid metabolism drives efficient phage replication	2025	mBio
Phytochrome-mediated shade avoidance responses impact the structure and composition of the bacterial phyllosphere microbiome of Arabidopsis	2025	Environmental Microbiome
Damsels in Disguise: Development of Ultraviolet Sensitivity and Colour Patterns in Damselfishes (Pomacentridae)	2025	Molecular Ecology
A biallelically active embryonic enhancer dictates GNAS imprinting through allele-specific conformations	2025	Nature Communications
Use of Macrogol to Accelerate Feeding Advancement in Extremely Preterm Infants	2025	Neonatology
Seasonal Influences on Human Placental Transcriptomes Associated with Spontaneous Preterm Birth	2025	Cells
Pilot-scale study of CO2 enrichment effects on anaerobic digestion performance	2025	Chemical Engineering Science
Genome and transcriptome analysis of the lignite-degrading Trichoderma cf. simile WF8 strain highlights potential degradation mechanisms	2025	International Biodeterioration &amp; Biodegradation
The unusual suspect: A novel role for intermediate filament proteins in mitochondrial morphology.	2025	Mitochondrion
Rev-erb-α antagonism in alveolar macrophages protects against pneumococcal infection in elderly mice.	2025	Cell reports
Land use intensity differently influences soil communities across a range of arable fields and grasslands	2025	Geoderma
Whole transcriptome analysis identifies ALB-EEF1A1 fusion as a novel biomarker in metastatic colorectal cancer	2025	Cancer Pathogenesis and Therapy
The generalist Caligus elongatus is better at dampening the Atlantic salmon immune response than the salmonid specialist Lepeophtheirus salmonis.	2025	Fish & shellfish immunology
Strain-specific variation in the complement resistome of Pseudomonas aeruginosa	2025	Infection and Immunity
Destabilization of mutualistic interactions shapes the early heat stress response of the coral holobiont	2025	Microbiome
Resistance-breaking strains of tomato spotted wilt virus hamper photosynthesis and protein synthesis pathways in a virus accumulation-dependent manner in Sw5-carrying tomatoes	2025	Scientific Reports
Meta-analysis of RNA-Seq datasets allows a better understanding of P. tricornutum cellular biology, a requirement to improve the production of Biologics	2025	Scientific Reports
Clinical assessment and transcriptome analysis of host immune responses in a vaccination-challenge study using a glycoprotein G deletion mutant vaccine strain of infectious laryngotracheitis virus	2025	Frontiers in Immunology
Fecal microbiota changes associated with pathogenic and non-pathogenic diarrheas in foals	2025	BMC Research Notes
Data on insect biodiversity in a Chinese potato agroecosystem from DNA metabarcoding	2025	Scientific Data
