Galaxy wrapper id	Galaxy tool ids	Description	bio.tool id	bio.tool ids	biii	bio.tool name	bio.tool description	EDAM operation	EDAM topic	Status	Source	ToolShed categories	ToolShed id	Galaxy wrapper owner	Galaxy wrapper source	Galaxy wrapper parsed folder	Galaxy wrapper version	Conda id	Conda version	EDAM operation (no superclasses)	EDAM topic (no superclasses)	Available on UseGalaxy.org (Main)	Available on UseGalaxy.org.au	Available on UseGalaxy.eu	Available on UseGalaxy.fr	Tools available on UseGalaxy.org (Main)	Tools available on UseGalaxy.org.au	Tools available on UseGalaxy.eu	Tools available on UseGalaxy.fr	Tools available on ANASTASIA	Tools available on APOSTL	Tools available on ARGs-OAP	Tools available on BF2I-MAP	Tools available on BioBix	Tools available on CIRM-CFBP	Tools available on Center for Phage Technology (CPT)	Tools available on ChemFlow	Tools available on Coloc-stats	Tools available on CorGAT	Tools available on CropGalaxy	Tools available on Dintor	Tools available on FreeBioinfo	Tools available on GASLINI	Tools available on Galaxy@AuBi	Tools available on Galaxy@Pasteur	Tools available on GalaxyTrakr	Tools available on Genomic Hyperbrowser	Tools available on GigaGalaxy	Tools available on HyPhy HIV NGS Tools	Tools available on IPK Galaxy Blast Suite	Tools available on ImmPort Galaxy	Tools available on InteractoMIX	Tools available on MISSISSIPPI	Tools available on Mandoiu Lab	Tools available on MiModD NacreousMap	Tools available on Oqtans	Tools available on Palfinder	Tools available on PepSimili	Tools available on PhagePromotor	Tools available on Protologger	Tools available on UseGalaxy.be	Tools available on UseGalaxy.cz	Tools available on UseGalaxy.no	No. of tool users (2022-2023) (usegalaxy.eu)	Total tool usage (usegalaxy.eu)	Reviewed	Deprecated	To keep
assemblystats	assemblystats	Summarise an assembly (e.g. N50 metrics)								To update	https://github.com/phac-nml/galaxy_tools	Assembly	assemblystats	nml	https://github.com/phac-nml/galaxy_tools	https://github.com/phac-nml/galaxy_tools/tree/master/tools/assemblystats	1.1.0	perl-bioperl	1.7.8			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False		
bam2mappingstats	bam2mappingstats	Generates mapping stats from a bam file.								To update	https://github.com/phac-nml/galaxy_tools	Assembly	bam2mappingstats	nml	https://github.com/phac-nml/galaxy_tools	https://github.com/phac-nml/galaxy_tools/tree/master/tools/bam2mappingstats	1.1.0	perl				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False		
baseline_calculator	tt_baseline	Toxicity prediction using QSAR models								To update	https://github.com/bernt-matthias/mb-galaxy-tools	Ecology, Text Manipulation	baseline_toxicity_calculator	mbernt	https://github.com/bernt-matthias/mb-galaxy-tools/tools/tox_tools/baseline_calculator	https://github.com/Helmholtz-UFZ/galaxy-tools/tree/main/tools/tox_tools/baseline_calculator	0.1.0+galaxy0	pandas				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False		
bionano	bionano_scaffold	Bionano Solve is a set of tools for analyzing Bionano data								To update	https://bionanogenomics.com/	Assembly	bionano	bgruening	https://github.com/bgruening/galaxytools/tree/master/tools/bionano	https://github.com/bgruening/galaxytools/tree/master/tools/bionano	3.7.0					1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	112	531	False		
biotradis	bacteria_tradis, tradis_essentiality, tradis_gene_insert_sites	Bio-Tradis is a tool suite dedicated to essentiality analyses with TraDis data.	biotradis	biotradis		biotradis	The Bio::TraDIS pipeline provides software utilities for the processing, mapping, and analysis of transposon insertion sequencing data. The pipeline was designed with the data from the TraDIS sequencing protocol in mind, but should work with a variety of transposon insertion sequencing protocols as long as they produce data in the expected format.	Sequence analysis	Mobile genetic elements, Workflows	Up-to-date	https://www.sanger.ac.uk/science/tools/bio-tradis	Genome annotation	biotradis	iuc	https://github.com/galaxyproject/tools-iuc/tree/master/tool_collections/biotradis	https://github.com/galaxyproject/tools-iuc/tree/main/tool_collections/biotradis	1.4.5	biotradis	1.4.5	Sequence analysis	Mobile genetic elements, Workflows	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False		
biscot	biscot	Bionano scaffolding correction tool								To update	https://github.com/institut-de-genomique/biscot	Assembly	biscot	iuc	https://github.com/bgruening/iuc/tree/master/tools/biscot	https://github.com/galaxyproject/tools-iuc/tree/main/tools/biscot	2.3.3	biscot				0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	3	False		
blast_to_scaffold	blast2scaffold	Generate DNA scaffold from blastn or tblastx alignments of Contigs								To update	http://artbio.fr	RNA, Sequence Analysis, Assembly	blast_to_scaffold	artbio	https://github.com/ARTbio/tools-artbio/tree/main/tools/blast_to_scaffold	https://github.com/ARTbio/tools-artbio/tree/main/tools/blast_to_scaffold	1.1.0	python				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	False		
blastparser_and_hits	BlastParser_and_hits	Parse blast outputs and compile hits								To update	http://artbio.fr	Assembly, RNA	blastparser_and_hits	artbio	https://github.com/ARTbio/tools-artbio/tree/master/tools/blastparser_and_hits	https://github.com/ARTbio/tools-artbio/tree/main/tools/blastparser_and_hits	2.7.1	python				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	False		
blastx_to_scaffold	blastx2scaffold	Generate DNA scaffold from blastx alignment of Contigs								To update	http://artbio.fr	RNA, Sequence Analysis, Assembly	blastx_to_scaffold	artbio	https://github.com/ARTbio/tools-artbio/tree/main/tools/blastx_to_scaffold	https://github.com/ARTbio/tools-artbio/tree/main/tools/blastx_to_scaffold	1.1.1	python				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False		
blobtoolkit	blobtoolkit	Identification and isolation non-target data in draft and publicly available genome assemblies.								To update	https://blobtoolkit.genomehubs.org/	Sequence Analysis, Assembly	blobtoolkit	bgruening	https://github.com/bgruening/galaxytools/tree/master/tools/blobtoolkit	https://github.com/bgruening/galaxytools/tree/master/tools/blobtoolkit	4.0.7					0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	21	685	False		
braker	braker	BRAKER is a pipeline for fully automated prediction of protein coding gene structures with GeneMark-ES/ET and AUGUSTUS in novel eukaryotic genomes .								To update	https://github.com/Gaius-Augustus/BRAKER	Genome annotation	braker	genouest	https://github.com/genouest/galaxy-tools/tree/master/tools/braker	https://github.com/genouest/galaxy-tools/tree/master/tools/braker	2.1.6					0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	17	109	False		
braker3	braker3	BRAKER3 is a pipeline for fully automated prediction of protein coding gene structures with GeneMark-ES/ET and AUGUSTUS in novel eukaryotic genomes .	braker3	braker3		BRAKER3	BRAKER3 is a pipeline for fully automated prediction of protein coding gene structures with GeneMark-ES/ET and AUGUSTUS in novel eukaryotic genomes	Genome annotation, Gene prediction	RNA-Seq, Genomics, Structure prediction, Sequence analysis	To update	https://github.com/Gaius-Augustus/BRAKER	Genome annotation	braker3	genouest	https://github.com/genouest/galaxy-tools/tree/master/tools/braker	https://github.com/genouest/galaxy-tools/tree/master/tools/braker3	3.0.8			Genome annotation, Gene prediction	RNA-Seq, Genomics, Structure prediction, Sequence analysis	0	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	10	567	False		
cap3	cap3	cap3 wrapper								To update	http://artbio.fr	Assembly	cap3	artbio	https://github.com/ARTbio/tools-artbio/tree/main/tools/cap3	https://github.com/ARTbio/tools-artbio/tree/main/tools/cap3	2.0.1	cap3	10.2011			0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	101	7766	False		
champ_blocs	cb_dissim, cb_ivr, cb_div	Compute indicators for turnover boulders fields								To update		Ecology		ecology	https://github.com/Marie59/champ_blocs	https://github.com/galaxyecology/tools-ecology/tree/master/tools/champ_blocs	0.0.0	r-base				0	0	3	3	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	19	174	False		
chipseeker	chipseeker	A tool for ChIP peak annotation and visualization								To update	https://bioconductor.org/packages/release/bioc/html/ChIPseeker.html	ChIP-seq, Genome annotation	chipseeker	rnateam	https://github.com/bgruening/galaxytools/tree/master/tools/chipseeker	https://github.com/bgruening/galaxytools/tree/master/tools/chipseeker	1.32.0	bioconductor-chipseeker	1.38.0			1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	418	15690	False		
circexplorer2	circexplorer2	Comprehensive and integrative circular RNA analysis toolset.	circexplorer2	circexplorer2		CIRCexplorer2	Genome-wide annotation of circRNAs and their alternative back-splicing/splicing.		RNA splicing, Gene transcripts, Literature and language	Up-to-date	https://github.com/YangLab/CIRCexplorer2	RNA, Assembly	circexplorer2	iuc	https://github.com/galaxyproject/tools-iuc/tree/master/tools/circexplorer2	https://github.com/galaxyproject/tools-iuc/tree/main/tools/circexplorer2	2.3.8	circexplorer2	2.3.8		RNA splicing, Gene transcripts, Literature and language	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	16	269	False		
clc_assembly_cell	clc_assembler, clc_mapper	Galaxy wrapper for the CLC Assembly Cell suite from CLCBio								To update	https://github.com/peterjc/pico_galaxy/tree/master/tools/clc_assembly_cell	Assembly, Next Gen Mappers, SAM	clc_assembly_cell	peterjc	https://github.com/peterjc/pico_galaxy/tree/master/tools/clc_assembly_cell	https://github.com/peterjc/pico_galaxy/tree/master/tools/clc_assembly_cell	0.0.7	samtools	1.20			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False		
combine_assembly_stats	combine_stats	Combine multiple Assemblystats datasets into a single tabular report								To update	https://github.com/phac-nml/galaxy_tools	Assembly	combine_assemblystats	nml	https://github.com/phac-nml/galaxy_tools	https://github.com/phac-nml/galaxy_tools/tree/master/tools/combine_assembly_stats	1.0	perl-getopt-long	2.58			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False		
count_roi_variants	count_roi_variants	Count sequence variants in region of interest in BAM file								To update	https://github.com/peterjc/pico_galaxy/tree/master/tools/count_roi_variants	Assembly, SAM	count_roi_variants	peterjc	https://github.com/peterjc/pico_galaxy/tree/master/tools/count_roi_variants	https://github.com/peterjc/pico_galaxy/tree/master/tools/count_roi_variants	0.0.6	samtools	1.20			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False		
coverage_stats	coverage_stats	BAM coverage statistics using samtools idxstats and depth								To update	https://github.com/peterjc/pico_galaxy/tree/master/tools/coverage_stats	Assembly, SAM	coverage_stats	peterjc	https://github.com/peterjc/pico_galaxy/tree/master/tools/coverage_stats	https://github.com/peterjc/pico_galaxy/tree/master/tools/coverage_stats	0.1.0	samtools	1.20			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False		
data_exploration	tool_anonymization, ecology_homogeneity_normality, ecology_beta_diversity, ecology_link_between_var, ecology_presence_abs_abund, ecology_stat_presence_abs	Explore data through multiple statistical tools								To update		Ecology		ecology	https://github.com/Marie59/Data_explo_tools	https://github.com/galaxyecology/tools-ecology/tree/master/tools/data_exploration	0.0.0	r-tangles				0	0	6	6	0	0	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	146	658	False		
deepsig	deepsig	Predictor of signal peptides in proteins based on deep learning								Up-to-date	https://github.com/BolognaBiocomp/deepsig	Genome annotation	deepsig	iuc	https://github.com/galaxyproject/tools-iuc/tree/master/tools/deepsig	https://github.com/galaxyproject/tools-iuc/tree/main/tools/deepsig	1.2.5	deepsig	1.2.5			0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	False		
disco	disco	DISCO is a overlap-layout-consensus (OLC) metagenome assembler	disco	disco		DISCO	DISCO is software to perform structure determination of protein homo-oligomers with cyclic symmetry.DISCO computes oligomeric protein structures using geometric constraints derived from RDCs and intermolecular distance restraints such as NOEs or disulfide bonds. When a reliable subunit structure can be calculated from intramolecular restraints, DISCO guarantees that all satisfying oligomer structures will be discovered, yet can run in minutes to hours on only a single desktop-class computer.	Protein sequence analysis	Structure determination	To update	http://disco.omicsbio.org/	Metagenomics, Assembly	disco	iuc	https://github.com/galaxyproject/tools-iuc/tree/master/tools/disco/	https://github.com/galaxyproject/tools-iuc/tree/main/tools/disco		disco	1.2	Protein sequence analysis	Structure determination	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	42	369	False		
dose_responses	dr_curve	A  tool for analyzing and visualizing the relationship between various doses and their corresponding biological responses								Up-to-date	https://github.com/bernt-matthias/mb-galaxy-tools	Ecology	dose_response_analysis_tool	ufz	https://github.com/bernt-matthias/mb-galaxy-tools/tools/tox_tools/baseline_calculator	https://github.com/Helmholtz-UFZ/galaxy-tools/tree/main/tools/tox_tools/dose_responses	3.0_1	r-drc	3.0_1			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False		
ear	make_ear	A tool to compile assembly reports and stastics from assembly pipeline								To update	https://github.com/ERGA-consortium/EARs/tree/main	Sequence Analysis, Assembly	erga_ear	iuc	https://github.com/ERGA-consortium/EARs/tree/main	https://github.com/bgruening/galaxytools/tree/master/tools/ear	1.0.0	reportlab				0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False		
fastk	fastk_fastk	FastK: A K-mer counter (for HQ assembly data sets)								To update	https://github.com/thegenemyers/FASTK	Assembly	fastk	iuc	https://github.com/galaxyproject/tools-iuc/tree/master/tools/fastk	https://github.com/galaxyproject/tools-iuc/tree/main/tools/fastk	1.0.0	fastk	1.0			0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False		
fermikit	fermi2, fermikit_variants	FermiKit is a de novo assembly based variant calling pipeline for deep Illumina resequencing data.								Up-to-date	https://github.com/lh3/fermikit	Assembly, Variant Analysis	fermikit	iuc	https://github.com/galaxyproject/tools-iuc/tree/master/tools/fermikit	https://github.com/galaxyproject/tools-iuc/tree/main/tools/fermikit	r193	fermi2	r193			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False		
filter_spades_repeats	filter_spades_repeat	Remove short and repeat contigs/scaffolds								To update	https://github.com/phac-nml/galaxy_tools/	Assembly	filter_spades_repeats	nml	https://github.com/phac-nml/galaxy_tools/	https://github.com/phac-nml/galaxy_tools/tree/master/tools/filter_spades_repeats	1.0.1	perl-bioperl	1.7.8			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False		
flash	flash	Fast Length Adjustment of SHort reads	flash	flash		FLASH	Identifies paired-end reads which overlap in the middle, converting them to single long reads	Read pre-processing, Sequence merging, Sequence assembly	Sequencing, Sequence assembly	Up-to-date	https://ccb.jhu.edu/software/FLASH/	Assembly, Fastq Manipulation	flash	iuc	https://github.com/galaxyproject/tools-iuc/tree/master/tools/flash	https://github.com/galaxyproject/tools-iuc/tree/main/tools/flash	1.2.11	flash	1.2.11	Read pre-processing, Sequence merging, Sequence assembly	Sequencing, Sequence assembly	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	74	13759	False		
flye	flye	Assembly of long and error-prone reads.	Flye	Flye		Flye	Flye is a de novo assembler for single molecule sequencing reads, such as those produced by PacBio and Oxford Nanopore Technologies. It is designed for a wide range of datasets, from small bacterial projects to large mammalian-scale assemblies. The package represents a complete pipeline: it takes raw PB / ONT reads as input and outputs polished contigs.	Genome assembly, De-novo assembly, Mapping assembly, Cross-assembly	Sequence assembly, Metagenomics, Whole genome sequencing, Genomics	To update	https://github.com/fenderglass/Flye/	Assembly	flye	bgruening	https://github.com/bgruening/galaxytools/tree/master/tools/flye	https://github.com/bgruening/galaxytools/tree/master/tools/flye	2.9.3	flye	2.9.4	Genome assembly, De-novo assembly, Mapping assembly, Cross-assembly	Sequence assembly, Metagenomics, Whole genome sequencing	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1499	20904	False		
funannotate	funannotate_annotate, funannotate_clean, funannotate_compare, funannotate_predict, funannotate_sort	Funannotate is a genome prediction, annotation, and comparison software package.	funannotate	funannotate		funannotate	funannotate is a pipeline for genome annotation (built specifically for fungi, but will also work with higher eukaryotes).	Genome annotation	Genomics	To update	https://funannotate.readthedocs.io	Genome annotation		iuc	https://github.com/galaxyproject/tools-iuc/tree/main/tools/funannotate	https://github.com/galaxyproject/tools-iuc/tree/main/tools/funannotate	1.8.15			Genome annotation	Genomics	3	5	5	5	3	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	900	5906	False		
