Galaxy wrapper id	Description	To keep	Deprecated
aegean	AEGeAn toolkit wrappers		
agat	GTF/GFF analysis toolkit		
aldex2	Performs analysis Of differential abundance taking sample variation into account		
align_back_trans	Thread nucleotides onto a protein alignment (back-translation)		
allegro	Linkage and haplotype analysis from deCODE		
ambertools	Ambertools is a set of packages for preparing systems for molecular dynamics (MD) simulations and analyzing trajectories.		
amplican	AmpliCan is an analysis tool for genome editing.		
ampvis2	ampvis2		
amrfinderplus	"""AMRFinderPlus is designed to find acquired antimicrobial resistance genes and point mutations in protein and/or assembled nucleotide sequences.It can also search ""plus"", stress, heat, and biocide resistance and virulence factors for some organisms."		
ancombc	Performs analysis of compositions of microbiomes with bias correction.		
anisotropic_diffusion	Anisotropic image diffusion		
anndata	Import, Export, Inspect and Manipulate Anndata and Loom objects		
annotatemyids	annotateMyIDs: get annotation for a set of IDs using the Bioconductor annotation packages		
antarna	antaRNA uses ant colony optimization to solve the inverse folding problem in RNA research .		
antismash	Antismash allows the genome-wide identification, annotation and analysis of secondary metabolite biosynthesis gene clusters		
apoc	Large-scale structural comparison of protein pockets		
apollo	Access an Apollo instance from Galaxy		
appendfdr			
aquainfra_importer	A data source tool for downloading datasets via the AquaINFRA Interaction Platform.		
aquainfra_ogc_api_processes	Wrapper for OGC API Processes developed in the AquaINFRA project.		
aresite2	AREsite2 REST Interface		
argnorm	argNorm is a tool to normalize antibiotic resistance genes (ARGs) by mapping them to the antibiotic resistance ontology (ARO) created by the CARD database		
arriba	Arriba detects fusion genes in RNA-Seq data after running RNA-STAR		
art	Simulator for Illumina, 454, and SOLiD sequencing data		
artbio_bam_cleaning	filter bam files before somatic-varscan or lumpy-smoove analysis		
artic	The artic pipeline is designed to help run the artic bioinformatics protocols;for example the nCoV-2019 novel coronavirus protocol.Features include: read filtering, primer trimming, amplicon coverage normalisation,variant calling and consensus building		
askomics	Galaxy tools allowing to interact with a remote AskOmics server.AskOmics is a visual SPARQL query builder for RDF database.https://github.com/askomics/		
askor	AskoR links EdgeR and AskOmics		
assembly-stats	Assembly metric visualisations to facilitate rapid assessment and comparison of assembly quality.		
assemblystats	Summarise an assembly (e.g. N50 metrics)		
astral	Tool for estimating an unrooted species tree given a set of unrooted gene trees		
astropytools	AstropyTools library contains Galaxy tools for elementary Astrophysical operations		
atactk_trim_adapters	Trim adapters from paired-end HTS reads.		
augustus	AUGUSTUS is a program that predicts genes in eukaryotic genomic sequences.		
augustus	AUGUSTUS is a program that predicts genes in eukaryotic genomic sequences.		
b2btools	This software suite provides structural predictions for protein sequences made by Bio2Byte group.About Bio2Byte: We investigate how the dynamics, conformational states, and available experimental data of proteins relate to their amino acid sequence.Underlying physical and chemical principles are computationally unraveled through data integration, analysis, and machine learning, so connecting themto biological events and improving our understanding of the way proteins work.		
background_removal	Background removal filters using scikit-image		
bakta	"""Bakta is a tool for the rapid & standardized annotation of bacterial genomes and plasmids from both isolates and MAGs.It provides dbxref-rich and sORF-including annotations in machine-readable JSON & bioinformatics standard file formats for automatic downstream analysis."""		
bam2mappingstats	Generates mapping stats from a bam file.		
bam_to_scidx	Contains a tool that converts a BAM file to an ScIdx file.		
bamclipper	Soft-clip gene-specific primers from BAM alignment file based on genomic coordinates of primer pairs in BEDPE format.		
bamhash	Hash BAM and FASTQ files to verify data integrity		
bamparse	Generates hit count lists from bam alignments.		
bamtools	Operate on and transform BAM datasets in various ways using bamtools		
bamtools_filter	Filter BAM datasets on various attributes using bamtools filter		
bamtools_split	Utility for filtering BAM files. It is based on the BAMtools suiteof tools by Derek Barnett.		
bamutil	bamUtil is a repository that contains several programs that perform operations on SAM/BAM files.		
bandage	Bandage - A Bioinformatics Application for Navigating De novo Assembly Graphs Easily		
barcode_collapse	Paired End randomer aware duplicate removal algorithm		
barcode_splitter	A utility to split sequence files using multiple sets of barcodes		
baredsc	baredSC is a tool that uses a Monte-Carlo Markov Chain to estimate a confidence interval on the probability density function (PDF) of expression of one or two genes from single-cell RNA-seq data.		
baric_archive	A data source tool to fetch data from a BARIC Archive server.		
barrnap	Contains the Barrnap tool for finding ribosomal RNAs in FASTA sequences.		
basecoverage	Base Coverage of all intervals		
baseline_calculator	Toxicity prediction using QSAR models		
basil	Breakpoint detection, including large insertions		
batched_lastz	Galaxy wrapper for the batching Lastz runs		
bax2bam	BAX to BAM converter		
bayescan	Detecting natural selection from population-based genetic data		
bbgbigwig	Make a coverage bigwig from bam, bed or gff, optionally with a chromosome length file.		
bbtools	BBTools is a suite of fast, multithreaded bioinformatics tools designed for analysis of DNA and RNA sequence data.BBTools can handle common sequencing file formats such as fastq, fasta, sam, scarf, fasta+qual, compressed or raw,with autodetection of quality encoding and interleaving. It is written in Java and works on any platform supportingJava, including Linux, MacOS, and Microsoft Windows and Linux; there are no dependencies other than Java (version7 or higher). Program descriptions and options are shown when running the shell scripts with no parameters.		
bcftools	BCFtools toolkit wrappers		
bctools	bctools is a set of tools for handling barcodes and UMIs in NGS data.bctools can be used to merge PCR duplicates according to unique molecular barcodes (UMIs),to extract barcodes from arbitrary positions relative to the read starts,to clean up readthroughs into UMIs with paired-end sequencing andhandles binary barcodes as used with uvCLAP and FLASH.License: Apache License 2.0		
beacon2	beacon2-ri-tools are part of the ELIXIR-CRG Beacon v2 Reference Implementation (B2RI).		
beacon2-import	Beacon Import uploads local genetic data to the server, while Beacon Query searches for genetic information such as genes, sequences, and variants.		
beagle	Beagle is a program for phasing and imputing missing genotypes.		
bed_to_protein_map	Converts a BED file to a tabular list of exon locations		
bedops	BEDOPS: high-performance genomic feature operations		
bedtools	bedtools is a powerful toolset for genome arithmetic		
bellerophon	Filter mapped reads where the mapping spans a junction, retaining the 5-prime read.		
berokka	Berokka is used to trim, circularise, orient & filter long read bacterial genome assemblies.		
best_regression_subsets	Perform Best-subsets Regression		
bfconvert	Convert image		
bia-ftplinks	Tool to query ftp links for study from bioimage archive		
bigscape	Construct sequence similarity networks of BGCs and groups them into GCF		
bigwig_outlier_bed	pybigtools and numpy code to find continuous runs above a high or below a low quantile cutpoint in bigwig files		
bigwig_to_bedgraph	Convert from bigWig to bedGraph format		
bigwig_to_bedgraph	Converts a bigWig file to bedGraph format		
bigwig_to_wig	Converts a bigWig file to Wiggle (WIG) format		
binary2labelimage	Binary 2 label image		
binaryimage2points	Binary Image to Points		
binning_refiner	Reconciles the outputs of different binning programs with the aim to improve the quality of genome bins,especially with respect to contamination levels.		
bio3d	Bio3d is a program that can be used to analyse molecular dynamics trajectories.		
bioext	A suite of Galaxy tools designed around the BioExt extension to BioPython. Align sequences, merge duplicate sequences into one, and more!		
bioformats2raw	Convert image to OME-Zarr		
biohansel	Heidelberg and Enteritidis SNP Elucidation		
biohansel_bionumeric_converter	Convert BioHansel output data to a Bionumerics friendly form		
bioimaging	Load model from BioImage.IO and make inferences		
bioinformatics_cafe	Miscellanea of scripts for bioinformatics		
biom_format	The biom-format package provides a command line interface and Python API for working with BIOM files.		
biomodelsML	Wrappers for tools to bring BioModels AI models into Galaxy.		
biomoldyn	Tools for MD analysis		
bionano	Bionano Solve is a set of tools for analyzing Bionano data		
bioperl	Converts GenBank format files to GFF3		
biotradis	Bio-Tradis is a tool suite dedicated to essentiality analyses with TraDis data.		
biotransformer	BioTransformer is a tool for prediction of small molecule metabolism in mammals.		
biscot	Bionano scaffolding correction tool		
bismark	A tool to map bisulfite converted sequence reads and determine cytosine methylation states		
blast	Maps large next-generation RNA or DNA sequencing runs against a whole genome or transcriptome		
blast2go	Maps BLAST results to GO annotation terms		
blast_parser	Convert 12- or 24-column BLAST output into 3-column hcluster_sg input		
blast_plus_remote_blastp	NCBI BLAST+ with -remote option		
blast_rbh	BLAST Reciprocal Best Hits (RBH) from two FASTA files		
blast_to_scaffold	Generate DNA scaffold from blastn or tblastx alignments of Contigs		
blast_unmatched	Extract unmatched query sequences from blast		
blastparser_and_hits	Parse blast outputs and compile hits		
blastx_to_scaffold	Generate DNA scaffold from blastx alignment of Contigs		
blastxml_to_gapped_gff3	BlastXML to gapped GFF3		
blastxml_to_top_descr	Make table of top BLAST match descriptions		
blat_coverage_report	Polymorphism of the Reads		
blat_mapping	Coverage of the Reads in wiggle format		
blobtoolkit	Identification and isolation non-target data in draft and publicly available genome assemblies.		
blockbuster	Blockbuster detects blocks of overlapping reads using a gaussian-distribution approach.		
blockclust	BlockClust detects transcripts with similar processing patterns.		
bowtie2	Bowtie2: Fast and sensitive read alignment		
bowtie_wrappers	Galaxy wrappers for the Bowtie short read mapping tools.		
bracken	Bayesian Reestimation of Abundance with KrakEN		
braker	BRAKER is a pipeline for fully automated prediction of protein coding gene structures with GeneMark-ES/ET and AUGUSTUS in novel eukaryotic genomes .		
braker3	BRAKER3 is a pipeline for fully automated prediction of protein coding gene structures with GeneMark-ES/ET and AUGUSTUS in novel eukaryotic genomes .		
breseq	Predicts mutations in microbial genomes		
brew3r_r	Extend 3' end of a GTF using another GTF as a template		
bumbershoot			
bundle_collections	Tool to bundle up list collection into a single zip to be download		
busco	BUSCO assess genome and annotation completeness		
bwa	Wrapper for bwa mem, aln, sampe, and samse		
bwa_mem2	Bwa-mem2 is the next version of the bwa-mem algorithm in bwa.		
bwameth	Fast and accurate alignment of BS-seq reads		
c3s	Copernicus Climate Change Service (C3S)		
cactus	Cactus is a reference-free whole-genome multiple alignment program		
cads	Copernicus Atmosphere Data Store (ADS)		
calculate_contrast_threshold	Calculates a contrast threshold from the CDT file generated by ``tag_pileup_frequency``. The calculated values are then used to set a uniform contrast for all the heatmaps generated downstream.		
calculate_numeric_param	Calculate a numeric parameter value using integer and float values.		
calisp	Calgary approach to isotopes in proteomics		
camera			
cami_amber	Evaluation package for the comparative assessment of genome reconstructions and taxonomic assignments		
canonical_correlation_analysis	Canonical Correlation Analysis		
canu	Canu is a hierarchical assembly pipeline designed for high-noise single-molecule sequencing (such as the PacBio RS II/Sequel or Oxford Nanopore MinION).		
cap3	cap3 wrapper		
cardinal	Statistical and computational tools for analyzing mass spectrometry imaging datasets		
cat	Contig Annotation Tool (CAT)		
categorize_elements_satisfying_criteria	Categorize Elements satisfying criteria.		
ccat	Control-based ChIP-seq Analysis Tool		
cd_hit_dup	simple tool for removing duplicates from sequencing reads		
cdhit	Cluster or compare biological sequence datasets		
cdo	CDO (Climate Data Operators) is a collection of command line Operators to manipulate and analyse Climate and NWP model Data.Supported data formats are GRIB 1/2, netCDF 3/4, SERVICE, EXTRA and IEG. There are more than 600 operators available.		
cell-types-analysis	Tools for analysis of predictions from scRNAseq cell type classification tools, see https://github.com/ebi-gene-expression-group/cell-types-analysis		
cellpose	Cellpose is an anatomical segmentation algorithm		
cellprofiler	cellProfiler wrapper		
cellprofiler_v4	cellProfiler4 wrapper		
cemitool	Gene co-expression network analysis tool		
cesm	Community Earth System Model (CESM)		
cfm	Competitive Fragmentation Modeling (CFM)		
chado	Galaxy tools allowing to load data into a remote Chado database.Chado is a member of the GMOD family of tools.https://github.com/galaxy-genome-annotation/python-chado		
champ_blocs	Compute indicators for turnover boulders fields		
change_case	Convert column case.		
charts	Enables advanced visualization options in Galaxy Charts		
chatgpt	Using the OpenAI GPT models to generate text based on user input.		
checkm	Assess the quality of microbial genomes recovered from isolates, single cells, and metagenomes		
checkv	Assess quality of single-contig viral genomes		
cherri	Computational Help Evaluating RNA-RNA interactions		
cherry_pick_fasta	Pick fasta sequence with specific header content		
chewbbaca	BSR-Based Allele Calling Algorithm		
chipseeker	A tool for ChIP peak annotation and visualization		
chira	Chimeric Read Annotator for RNA-RNA interactome data		
chopin2	Domain-Agnostic Supervised Learning with Hyperdimensional Computing		
chromeister	ultra-fast pairwise genome comparisons		
chromosome_diagram	Chromosome Diagrams using Biopython		
circexplorer	A combined strategy to identify circular RNAs (circRNAs and ciRNAs)		
circexplorer2	Comprehensive and integrative circular RNA analysis toolset.		
circos	Build Circos Plots in Galaxy		
cite_seq_count	Count CMO/HTO		
clair3	Symphonizing pileup and full-alignment for high-performance long-read variant calling		
clc_assembly_cell	Galaxy wrapper for the CLC Assembly Cell suite from CLCBio		
climate-stripes	Create climate stripes from a tabular input file		
clinod	NoD: a Nucleolar localization sequence detector for eukaryotic and viral proteins		
clustalw	ClustalW multiple sequence alignment program for DNA or proteins		
cluster	Cluster the intervals of a dataset		
clustering_from_distmat	Distance matrix-based hierarchical clustering using SciPy		
cmsearch_deoverlap	removes lower scoring overlaps from cmsearch results.		
cmv	cmv is a collection of tools for the visualisation of Hidden Markov Models and RNA-family models.		
cnv-phenopacket	cnv-phenopacket Converts TSV metadata file to JSON.		
cnv-vcf2json	cnv-vcf2json Converts structural variants VCF file to JSON.		
cnvkit	detecting copy number variants and alterations genome-wide from high-throughput sequencing		
codeml	Detects positive selection		
cofold	Cofold predicts RNA secondary structures that takes co-transcriptional folding into account.		
cojac	co-occurrence of mutations on amplicons		
colabfold	Protein prediction based on AlphaFold2		
colibread	Colib'read tools are all dedicated to the analysis of NGS datasets without the need of any reference genome		
collapse_collection	Collection tool that collapses a list of files into a single datasset in order of appears in collection		
collection_column_join	Column Join on Collections		
collection_element_identifiers	Extract element identifiers of a collection		
color_deconvolution	Color-deconvolution methods		
colorize_labels	Colorize label map		
column_arrange_by_header	Column arrange by header name		
column_maker	Compute an expression on every row		
column_order_header_sort	Sort Column Order by heading		
column_remove_by_header	Remove columns by header		
combineJSON	JSON collection tool that takes multiple JSON data arrays and combines them into a single JSON array.		
combine_assembly_stats	Combine multiple Assemblystats datasets into a single tabular report		
combine_metaphlan_humann	Combine MetaPhlAn2 and HUMAnN2 outputs to relate genus/species abundances and gene families/pathways abundances		
combine_tabular_collection	Combine Tabular Collection into a single file		
compalignp	Compute fractional identity between trusted alignment and test alignment		
compare_humann2_output	Compare outputs of HUMAnN2 for several samples and extract similar and specific information		
compleasm	Compleasm: a faster and more accurate reimplementation of BUSCO		
complement	Complement intervals of a dataset		
compose_text_param	Compose a text parameter value using text, integer and float values		
compress_file	Compress files.		
compute_motif_frequencies_for_all_motifs	Compute Motif Frequencies For All Motifs, motif by motif.		
compute_motifs_frequency	Compute Motif Frequencies in indel flanking regions.		
compute_q_values	Compute q-values based on multiple simultaneous tests p-values		
concat	Concatenate two bed files		
concat_channels	Concatenate images		
concat_multi_datasets	Concatenate multiple datasets tail-to-head, including collection datasets.		
concat_paired	Concatenate paired datasets		
concoct	CONCOCT (Clustering cONtigs with COverage and ComposiTion) does unsupervised binning of metagenomic contigs byusing nucleotide composition - kmer frequencies - and coverage data for multiple samples. CONCOCT can accurately(up to species level) bin metagenomic contigs.		
condense_characters	Condense consecutive characters.		
consensus_from_alignments	Tool to compute a consensus sequence from several aligned fasta sequences		
consolidate_vcfs	Combines freebayes and mpileup files for use by vcf2snvalignment		
convert_characters	Convert delimiters to tab.		
convert_solid_color2nuc	Convert Color Space to Nucleotides		
cooler	cooler different tools to process Hi-C from mirnylab		
coordinates_of_roi	Coordinates of ROI		
coprarna	Target prediction for prokaryotic trans-acting small RNAs		
correlation	Correlation for numeric columns		
correlation_analysis	[Metabolomics][W4M] Metabolites Correlation Analysis		
cosg	Marker gene identification for single-cell sequencing data using COSG.		
count_gff_features	Count GFF Features		
count_objects	Count Objects		
count_roi_variants	Count sequence variants in region of interest in BAM file		
coverage	Coverage of a set of intervals on second set of intervals		
coverage_report	Generate Detailed Coverage Report from BAM file		
coverage_stats	BAM coverage statistics using samtools idxstats and depth		
coverm	CoverM genome and contig wrappers		
cpat	Coding-potential assessment tool using an alignment-free logistic regression model.		
cpm_tpm_rpk	Generate CPM,TPM or RPK from raw counts		
crispr_studio	CRISPR Studio is a program developed to facilitate and accelerate CRISPR array visualization.		
crosscontamination_barcode_filter	Barcode contamination discovery tool		
crossmap	CrossMap converts genome coordinates or annotation files between genome assemblies		
crt	CRISPR Recognition Tool		
cryptogenotyper	CryptoGenotyper is a standalone tool to *in-silico*  determine species and subtype based on SSU rRNA and gp60 markers.		
csvtk	Rapid data investigation and manipulation of csv/tsv files		
cta	Basic simulation of CTA telescope observations using gammapy package		
ctd_batch	CTD analysis of chemicals, diseases, or genes		
cuffcompare	Galaxy wrappers for the Cuffcompare tool.		
cuffdiff	Galaxy wrappers for the Cuffdiff tool.		
cufflinks	Galaxy wrappers for the Cufflinks tool.		
cuffmerge	Galaxy wrappers for the Cuffmerge tool.		
cuffnorm	The Cuffnorm tool		
cuffquant	The Cuffquant tool		
cummerbund	Wrapper for the Bioconductor cummeRbund library		
cummerbund_to_tabular	Regenerate the tabular files generated by cuffdiff from a cummeRbund SQLite database.		
curve_fitting	Polynomial curve fitting to data points		
custom_pro_db	CustomProDB		
custom_pro_db_annotation_data_manager	CustomProDB Annotation		
cut_columns	Select columns from a dataset.		
cutadapt	Flexible tool to remove adapter sequences (and quality trim) high throughput sequencing reads (fasta/fastq).		
cutesv	Long-read sequencing enables the comprehensive discovery of structural variations (SVs). However, it is still non-trivial to achieve high sensitivity and performance simultaneously due to the complex SV characteristics implied by noisy long reads. Therefore, we propose cuteSV, a sensitive, fast and scalable long-read-based SV detection approach. cuteSV uses tailored methods to collect the signatures of various types of SVs and employs a clustering-and-refinement method to analyze the signatures to implement sensitive SV detection. Benchmarks on real Pacific Biosciences (PacBio) and Oxford Nanopore Technology (ONT) datasets demonstrate that cuteSV has better yields and scalability than state-of-the-art tools.		
cwpair2	Contains a tool that takes a list of called peaks on both strands and produces a list of matched pairsand a list of unmatched orphans.		
dada2	DADA2 wrappers		
das_tool	DAS Tool for genome resolved metagenomics		
data-hca	Tools for interacting with the Human Cell Atlas resource https://prod.data.humancellatlas.org/explore/projects		
data-scxa	Tools for interacting with the EMBL-EBI Expression Atlas resource https://www.ebi.ac.uk/gxa/home https://www.ebi.ac.uk/gxa/sc/home		
data_exploration	Explore data through multiple statistical tools		
data_manager_eggnog_mapper	downloads eggnog data for eggnog-mapper		
data_manager_eggnog_mapper_abspath	download eggnog data for eggnog-mapper		
data_source_iris_tcga	IRIS-TCGA Data source tool		
datamash	GNU Datamash is a command-line program which performs basicnumeric,textual and statistical operations on input textual data files.It is designed to be portable and reliable, and aid researchersto easily automate analysis pipelines, without writing code or even short scripts.License: GPL Version 3 (or later).These tool wrappers were originally writen by Assaf Gordon.		
dbbuilder	Protein Database Downloader		
decontam	Removes decontamination features (ASVs/OTUs) using control samples		
decontaminator	Deep Learning method for novel virus detection in sequencing data		
decoupler	decoupler - Ensemble of methods to infer biological activities		
decoyfasta	Galaxy tool wrapper for the transproteomic pipeline decoyFASTA tool.		
deepmicro	Representation learning and classification framework		
deepsig	Predictor of signal peptides in proteins based on deep learning		
deepvariant	DeepVariant is a deep learning-based variant caller		
deg_annotate	Annotate DESeq2/DEXSeq output tables		
delete_overlapping_indels	Delete Overlapping Indels from a chromosome indels file		
delly	Delly is an integrated structural variant (SV) prediction method that can discover, genotype and visualize deletions, tandem duplications, inversions and translocations at single-nucleotide resolution in short-read massively parallel sequencing data. It uses paired-ends, split-reads and read-depth to sensitively and accurately delineate genomic rearrangements throughout the genome.		
deseq2	Differential gene expression analysis based on the negative binomial distribution		
deseq2_normalization	Normalizes gene hitlists		
detection_viz	Detection Visualization		
dewseq	DEWSeq is a sliding window based peak caller for eCLIP/iCLIP data		
dexseq	Inference of differential exon usage in RNA-Seq		
dgidb_annotator	Annotates a tabular file with information from the Drug-Gene Interaction Database (http://dgidb.genome.wustl.edu/)		
dia_umpire	DIA-Umpire analysis for data independent acquisition (DIA) mass spectrometry-based proteomics		
dialignr	DIAlignR is an R package for retention time alignment of targeted mass spectrometric data, including DIA and SWATH-MS data. This tool works with MS2 chromatograms directly and uses dynamic programming for alignment of raw chromatographic traces. DIAlignR uses a hybrid approach of global (feature-based) and local (raw data-based) alignment to establish correspondence between peaks.		
diamond	DIAMOND is a new alignment tool for aligning short DNA sequencing reads to a protein reference database such as NCBI-NR.		
diann	DiaNN (DIA-based Neural Networks) is a software for DIA/SWATH data processing.		
diapysef	diapysef is a convenience package for working with DIA-PASEF data		
diff	GNU diff tool that calculates the differences between two files.		
diffacto	Diffacto comparative protein abundance estimation		
diffbind	Diffbind provides functions for  processing  ChIP-Seq  data.		
diffbind	Diffbind provides functions for  processing  ChIP-Seq  data.		
digestdb			
dimet	DIMet is a bioinformatics pipeline for differential analysis of isotopic targeted labeling data.		
directag_and_tagrecon			
disco	DISCO is a overlap-layout-consensus (OLC) metagenome assembler		
divide_pg_snp	Separate pgSnp alleles into columns		
dnabot	DNA assembly using BASIC on OpenTrons		
dnaweaver	Given a SBOL input, calculate assembly parts for Gibson or Golden Gate.		
dorina	data source for RNA interactions in post-transcriptional regulation		
dose_responses	A  tool for analyzing and visualizing the relationship between various doses and their corresponding biological responses		
dot2ct	Dot-Bracket to Connect Table (CT)		
dotknot	DotKnot is a heuristic method for pseudoknot prediction in a given RNA sequence		
dram	DRAM for distilling microbial metabolism to automate the curation of microbiome function		
draw_stacked_barplots	Draw Stacked Bar Plots for different categories and different criteria		
drep	dRep compares and dereplicates genome sets		
droplet-barcode-plot	Make a cell barcode plot for droplet single-cell RNA-seq QC		
dropletutils	De-composed DropletUtils functionality tools, based on https://github.com/ebi-gene-expression-group/dropletutils-scripts and DropletUtils 1.0.3		
dropletutils	DropletUtils - Utilities for handling droplet-based single-cell RNA-seq data		
dwt_cor_ava_perclass	Compute P-values and Correlation Coefficients for Feature Occurrences		
dwt_cor_avb_all	Compute P-values and Correlation Coefficients for Occurrences of Two Set of Features		
dwt_ivc_all	Compute P-values and Second Moments for Feature Occurrences		
dwt_var_perclass	Compute P-values and Max Variances for Feature Occurrences		
dwt_var_perfeature	Wavelet variance using Discrete Wavelet Transfoms		
ear	A tool to compile assembly reports and stastics from assembly pipeline		
ebi_tools	Tools to query and download data from several EMBL-EBI databases		
ectyper	EC-Typer - in silico serotyping of Escherichia coli species		
edger	Perform RNA-Seq differential expression analysis using edgeR pipeline		
edta	The EDTA package was designed to filter out false discoveries in raw TE candidates and generate a high-quality non-redundant TE library for whole-genome TE annotations. 		
effectiveT3	Find bacterial type III effectors in protein sequences		
eggnog_mapper	eggnog-mapper fast functional annotation of novel sequences		
egsea	This tool implements the Ensemble of Gene Set Enrichment Analyses (EGSEA) method for gene set testing		
embl2fa	Converts EMBL flat format to fasta format		
emboss_5	Galaxy wrappers for EMBOSS version 5.0.0 tools		
ena_upload	Submits experimental data and respective metadata to the European Nucleotide Archive (ENA). 		
enasearch	A Python library for interacting with ENA's API		
encyclopedia	Mass Spec Data-Independent Acquisition (DIA) MS/MS analysis		
ensembl_vep	Ensembl VEP: Annotate VCFs with variant effect predictions		
eodie	Earth Observation Data Information Extractor		
epicseg	EpiCSeg is a tool for conducting chromatin segmentation.		
episcanpy	EpiScanpy – Epigenomics single cell analysis in python		
essential_climate_variables	Get Copernicus Essential Climate Variables for assessing climate variability		
ete	Analyse phylogenetic trees using the ETE Toolkit		
evidencemodeler	EVidenceModeler (EVM) combines ab intio genetic predictions with protein and transcript alignments in weighted consensus genetic structures.		
exomedepth	ExomeDepth: Calls copy number variants (CNVs) from targeted sequence data		
exonerate	Exonerate is a generic tool for pairwise sequence comparison.		
exparna	ExpaRNA is a fast, motif-based comparison and alignment tool for RNA molecules.		
export2graphlan	export2graphlan is a conversion software tool for producing both annotation and tree file for GraPhlAn		
export_to_cluster	Export datasets to cluster		
express	Quantify the abundances of a set of target sequences from sampled subsequences		
extract_genomic_dna	Contains a tool that extracts genomic DNA using coordinates from ASSEMBLED genomes and UNassembled genomes.		
ez_histograms	ggplot2 histograms and density plots		
falco	A high throughput sequence QC analysis tool		
fargene	fARGene (Fragmented Antibiotic Resistance Gene iENntifiEr )		
fasplit	faSplit is a tool to split a single FASTA file into several files		
fasta2bed	Convert multiple fasta file into tabular bed file format		
fasta_clipping_histogram	Length Distribution chart		
fasta_compute_length	Compute sequence length		
fasta_concatenate_by_species	Concatenate FASTA alignment by species		
fasta_extract	extract single fasta from multiple fasta file		
fasta_filter_by_id	Filter FASTA sequences by ID (DEPRECATED)		
fasta_filter_by_length	Filter sequences by length		
fasta_formatter	FASTA Width formatter		
fasta_merge_files_and_filter_unique_sequences	Concatenate FASTA database files together		
fasta_nucleotide_changer	RNA/DNA converter.		
fasta_nucleotide_color_plot	Contains a tool that produces a graphical representation of FASTA data with each nucleotide represented by a selected color.		
fasta_stats	Display summary statistics for a fasta file.		
fasta_to_tabular	FASTA-to-Tabular converter		
fastani	Fast alignment-free computation of whole-genome Average Nucleotide Identity		
fastg2protlib	Generate FASTA from FASTG		
fastk	FastK: A K-mer counter (for HQ assembly data sets)		
fastp	Fast all-in-one preprocessing for FASTQ files		
fastq_combiner	Combine FASTA and QUAL into FASTQ		
fastq_filter	Filter FASTQ reads by quality score and length		
fastq_filter_by_id	Filter FASTQ sequences by ID (DEPRECATED)		
fastq_groomer	Convert between various FASTQ quality formats.		
fastq_info	FASTQ info allows to validate single or paired fastq files		
fastq_manipulation	Manipulate FASTQ reads on various attributes.		
fastq_masker_by_quality	FASTQ Masker by quality score		
fastq_pair	Paired-end fastq pairer		
fastq_pair_names	Extract FASTQ paired read names		
fastq_paired_end_deinterlacer	FASTQ de-interlacer on paired end reads.		
fastq_paired_end_interlacer	FASTQ interlacer on paired end reads		
fastq_paired_end_joiner	FASTQ joiner on paired end reads		
