Galaxy wrapper id	Description	To keep	Deprecated
msstatstmt	MSstatsTMT protein significance analysis in shotgun mass spectrometry-based proteomic experiments with tandem mass tag (TMT) labeling		
mt2mq	Tool to prepare metatranscriptomic outputs from ASaiM for Metaquantome		
multigsea	GSEA-based pathway enrichment analysis for multi-omics data		
mz_to_sqlite	Creates a SQLite database for proteomics data		
mzml_validator	mzML Validator checks if mzML file validates against XML Schema Definition of HUPO Proteomics Standard Initiative.		
openms	OpenMS in version 2.1.		
openms	OpenMS Suite for LC/MS data management and analyses		
pathwaymatcher	Reactome Pathway Matcher		
pep_pointer	PepPointer categorizes peptides by their genomic coordinates.		
pepquery	A peptide-centric MS search engine for novel peptide identification and validation.		
pepquery2	PepQuery2 peptide-centric MS search for peptide identification and validation		
peptide_genomic_coordinate	Gets genomic coordinate of peptides based on the information in mzsqlite and genomic mapping sqlite files		
peptideshaker	PeptideShaker and SearchGUI		
peptimapper	Proteogenomics workflow for the expert annotation of eukaryotic genomes		
pepxml_to_xls	Convert PepXML to Tabular		
percolator	Percolator		
pi_db_tools	HiRIEF tools		
pmd_fdr	Calculate Precursor Mass Discrepancy (PMD) for MS/MS		
prot-scriber	Protein annotation of short human readable descriptions		
protease_prediction	This tool can learn the cleavage specificity of a given class of proteases.		
proteinortho	Proteinortho is a tool to detect orthologous proteins/genes within different species.		
proteomiqon_joinquantpepionswithproteins	The tool JoinQuantPepIonsWithProteins combines results from ProteinInference and PSMBasedQuantification.		
proteomiqon_labeledproteinquantification	The tool LabeledProteinQuantification estimates protein abundances using quantified peptide ions.		
proteomiqon_labelfreeproteinquantification	The tool LabelFreeProteinQuantification estimates protein abundances using quantified peptide ions.		
proteomiqon_mzmltomzlite	The tool MzMLToMzLite allows to convert mzML files to mzLite files.		
proteomiqon_peptidedb	The tool ProteomIQon PeptideDB creates a peptide database in the SQLite format.		
proteomiqon_peptidespectrummatching	Given raw an MS run in the mzLite format, this tool iterates across all MS/MS scans, determines precursor charge states and possible peptide spectrum matches using reimplementations of SEQUEST,Andromeda and XTandem.		
proteomiqon_proteininference	MS-based shotgun proteomics estimates protein abundances using a proxy: peptides. The process of 'Protein Inference' is concerned with the mapping of identified peptides to the proteins they putatively originated from.		
proteomiqon_psmbasedquantification	The PSMBasedQuantification tool was designed to allow label-free quantification as well as quantification of full metabolic labeled samples.		
proteomiqon_psmstatistics	The PSMStatistics tool utilizes semi supervised machine learning techniques to integrate search engine scores as well as the mentioned quality scores into one single consensus score.		
proteore_venn_diagram	ProteoRE JVenn Diagram		
psm2sam	PSM to SAM		
psm_validation	Validate PSM from Ion Fragmentation		
pyprophet	Semi-supervised learning and scoring of OpenSWATH results.		
pyteomics	Tools using the pyteomics library		
quantp	Correlation between protein and transcript abundance		
quantwiz_iq	Isobaric Quantitation using QuantWiz-IQ		
rawtools	Raw Tools		
sixgill	Six-frame Genome-Inferred Libraries for LC-MS/MS		
spectrast2spectrast_irt	Filter from spectraST files to swath input files		
spectrast2tsv	Filter from spectraST files to swath input files		
syndiva	SynDivA was developed to analyze the diversity of synthetic libraries of a Fibronectin domain.		
tapscan	Search for transcription associated proteins (TAPs)		
translate_bed	Translate BED transcript CDS or cDNA in 3 frames		
translate_bed_sequences	Perform 3 frame translation of BED file augmented with a sequence column		
unipept	Unipept retrieves metaproteomics information		
uniprot_rest_interface	UniProt ID mapping and sequence retrieval		
uniprotxml_downloader	Download UniProt proteome in XML or fasta format		
validate_fasta_database	runs Compomics database identification tool on any FASTA database, and separates valid and invalid entries based on a series of checks.		
zeiss_lmd_converter	Converts coordinates from a tabular file into a formatted text file readable by Zeiss laser-capture microdissection systems		
