Galaxy wrapper id	Galaxy tool ids	Description	bio.tool id	bio.tool ids	biii	bio.tool name	bio.tool description	EDAM operation	EDAM topic	Status	Source	ToolShed categories	ToolShed id	Date of first commit of the suite	Galaxy wrapper owner	Galaxy wrapper source	Galaxy wrapper parsed folder	Galaxy wrapper version	Conda id	Conda version	EDAM operation (no superclasses)	EDAM topic (no superclasses)	Available on UseGalaxy.org (Main)	Available on UseGalaxy.org.au	Available on UseGalaxy.eu	Available on UseGalaxy.fr	Tools available on UseGalaxy.org (Main)	Tools available on UseGalaxy.org.au	Tools available on UseGalaxy.eu	Tools available on UseGalaxy.fr	Tools available on APOSTL	Tools available on ARGs-OAP	Tools available on CIRM-CFBP	Tools available on ChemFlow	Tools available on Coloc-stats	Tools available on CropGalaxy	Tools available on Dintor	Tools available on GASLINI	Tools available on Galaxy@AuBi	Tools available on Galaxy@Pasteur	Tools available on GalaxyTrakr	Tools available on Genomic Hyperbrowser	Tools available on GigaGalaxy	Tools available on HyPhy HIV NGS Tools	Tools available on IPK Galaxy Blast Suite	Tools available on ImmPort Galaxy	Tools available on InteractoMIX	Tools available on MISSISSIPPI	Tools available on Mandoiu Lab	Tools available on MiModD NacreousMap	Tools available on Oqtans	Tools available on Palfinder	Tools available on PepSimili	Tools available on PhagePromotor	Tools available on UseGalaxy.be	Tools available on UseGalaxy.cz	Tools available on UseGalaxy.no	Tools available on Viral Variant Visualizer (VVV)	No. of tool users (5 years) (usegalaxy.eu)	No. of tool users (all time) (usegalaxy.eu)	Tool usage (5 years) (usegalaxy.eu)	Tool usage (all time) (usegalaxy.eu)	No. of tool users (5 years) (usegalaxy.org)	No. of tool users (all time) (usegalaxy.org)	Tool usage (5 years) (usegalaxy.org)	Tool usage (all time) (usegalaxy.org)	No. of tool users (5 years) (usegalaxy.org.au)	No. of tool users (all time) (usegalaxy.org.au)	Tool usage (5 years) (usegalaxy.org.au)	Tool usage (all time) (usegalaxy.org.au)	No. of tool users (5 years) - all main servers	No. of tool users (all time) - all main servers	Tool usage (5 years) - all main servers	Tool usage (all time) - all main servers	Reviewed	Deprecated	To keep
categorize_elements_satisfying_criteria	categorize_elements_satisfying_criteria	Categorize Elements satisfying criteria.								To update		Statistics	categorize_elements_satisfying_criteria	2013-09-25	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/categorize_elements_satisfying_criteria	https://github.com/galaxyproject/tools-devteam/tree/main/tools/categorize_elements_satisfying_criteria	1.0.0					0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	37	41	4	5	0	0	0	0	168	186	12	14	205	227	16	19	False		
cell-types-analysis	ct_build_cell_ontology_dict, ct_check_labels, ct_combine_tool_outputs, ct_downsample_cells, ct_get_consensus_outputs, ct_get_empirical_dist, ct_get_tool_perf_table, ct_get_tool_pvals	Tools for analysis of predictions from scRNAseq cell type classification tools, see https://github.com/ebi-gene-expression-group/cell-types-analysis								To update		Transcriptomics, RNA, Statistics	suite_cell_types_analysis	2020-04-07	ebi-gxa	https://github.com/ebi-gene-expression-group/container-galaxy-sc-tertiary/	https://github.com/ebi-gene-expression-group/container-galaxy-sc-tertiary/tree/main/tools/tertiary-analysis/cell-types-analysis	1.1.1	cell-types-analysis	0.1.11			0	0	6	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	8	4	4	0	0	0	0	0	0	0	0	8	8	4	4	False		
cemitool	cemitool	Gene co-expression network analysis tool	cemitool	cemitool		CEMiTool	It unifies the discovery and the analysis of coexpression gene modules in a fully automatic manner, while providing a user-friendly html report with high quality graphs. Our tool evaluates if modules contain genes that are over-represented by specific pathways or that are altered in a specific sample group. Additionally, CEMiTool is able to integrate transcriptomic data with interactome information, identifying the potential hubs on each network.	Enrichment analysis, Pathway or network analysis	Gene expression, Transcriptomics, Microarray experiment	Up-to-date	https://www.bioconductor.org/packages/release/bioc/html/CEMiTool.html	Transcriptomics, RNA, Statistics	cemitool	2022-10-10	iuc	https://github.com/galaxyproject/tools-iuc/tree/master/tools/cemitool	https://github.com/galaxyproject/tools-iuc/tree/main/tools/cemitool	1.26.0	bioconductor-cemitool	1.26.0	Enrichment analysis, Pathway or network analysis	Transcriptomics, Microarray experiment	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	225	225	32	32	271	271	61	61	0	0	0	0	496	496	93	93	False		
cfm	cfmid	Competitive Fragmentation Modeling (CFM)								Up-to-date	https://sourceforge.net/p/cfm-id/	Metabolomics	cfmid	2019-03-07	computational-metabolomics	https://github.com/computational-metabolomics/cfm-galaxy/tree/master/tools/cfm	https://github.com/computational-metabolomics/cfm-galaxy/tree/master/tools/cfm	33	cfm	33			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False		
clustering_from_distmat	clustering_from_distmat	Distance matrix-based hierarchical clustering using SciPy								To update	https://github.com/galaxyproject/tools-iuc/tree/master/tools/clustering_from_distmat/	Statistics	clustering_from_distmat	2024-08-08	iuc	https://github.com/galaxyproject/tools-iuc/tree/master/tools/clustering_from_distmat/	https://github.com/galaxyproject/tools-iuc/tree/main/tools/clustering_from_distmat	1.1.1	python				0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	12	5	5	0	0	0	0	0	0	0	0	12	12	5	5	False		
compute_motif_frequencies_for_all_motifs	compute_motif_frequencies_for_all_motifs	Compute Motif Frequencies For All Motifs, motif by motif.								To update		Sequence Analysis, Statistics	compute_motif_frequencies_for_all_motifs	2013-09-25	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/compute_motif_frequencies_for_all_motifs	https://github.com/galaxyproject/tools-devteam/tree/main/tools/compute_motif_frequencies_for_all_motifs	1.0.0					0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	85	96	9	10	0	0	0	0	316	334	8	8	401	430	17	18	False		
compute_motifs_frequency	compute_motifs_frequency	Compute Motif Frequencies in indel flanking regions.								To update		Sequence Analysis, Statistics	compute_motifs_frequency	2013-09-25	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/compute_motifs_frequency	https://github.com/galaxyproject/tools-devteam/tree/main/tools/compute_motifs_frequency	1.0.0					0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	55	65	2	2	0	0	0	0	317	335	5	5	372	400	7	7	False		
compute_q_values	compute_q_values	Compute q-values based on multiple simultaneous tests p-values								To update		Statistics	compute_q_values	2014-04-01	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/compute_q_values	https://github.com/galaxyproject/tools-devteam/tree/main/tools/compute_q_values	1.0.1	R				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	3	0	0	0	0	0	0	0	0	0	35	0	3	False		
correlation	cor2	Correlation for numeric columns								To update		Statistics	correlation	2014-07-28	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/correlation	https://github.com/galaxyproject/tools-devteam/tree/main/tools/correlation	1.0.0	rpy				0	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	398	876	106	134	412	5568	105	755	192	239	21	27	1002	6683	232	916	False		
correlation_analysis	correlation_analysis	[Metabolomics][W4M] Metabolites Correlation Analysis								To update	http://workflow4metabolomics.org	Metabolomics	correlation_analysis	2020-12-08	workflow4metabolomics	https://github.com/workflow4metabolomics/tools-metabolomics/blob/master/tools/correlation_analysis/	https://github.com/workflow4metabolomics/tools-metabolomics/tree/master/tools/correlation_analysis	1.0.1+galaxy0	r-batch	1.1_4			0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False		
deseq2	deseq2	Differential gene expression analysis based on the negative binomial distribution	DESeq2	DESeq2		DESeq2	R/Bioconductor package for differential gene expression analysis based on the negative binomial distribution. Estimate variance-mean dependence in count data from high-throughput sequencing assays and test for differential expression based on a model using the negative binomial distribution.	Differential gene expression analysis, RNA-Seq analysis	RNA-Seq	To update	https://www.bioconductor.org/packages/release/bioc/html/DESeq2.html	Transcriptomics, RNA, Statistics	deseq2	2018-11-15	iuc	https://github.com/galaxyproject/tools-iuc/tree/master/tools/deseq2	https://github.com/galaxyproject/tools-iuc/tree/main/tools/deseq2	2.11.40.8	bioconductor-deseq2	1.42.0	Differential gene expression analysis, RNA-Seq analysis	RNA-Seq	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	1	0	97434	109474	11355	12514	183905	246475	24951	31957	18551	20166	2647	2905	299890	376115	38953	47376	False		
deseq2_normalization	deseq2_normalization	Normalizes gene hitlists								To update	http://artbio.fr	RNA, Transcriptomics, Sequence Analysis, Statistics	deseq2_normalization	2018-01-05	artbio	https://github.com/ARTbio/tools-artbio/tree/main/tools/deseq2_normalization	https://github.com/ARTbio/tools-artbio/tree/main/tools/deseq2_normalization	1.40.2+galaxy0	bioconductor-deseq2	1.42.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False		
dexseq	dexseq, dexseq_count, plotdexseq	Inference of differential exon usage in RNA-Seq	dexseq	dexseq		DEXSeq	The package is focused on finding differential exon usage using RNA-seq exon counts between samples with different experimental designs. It provides functions that allows the user to make the necessary statistical tests based on a model that uses the negative binomial distribution to estimate the variance between biological replicates and generalized linear models for testing. The package also provides functions for the visualization and exploration of the results.	Enrichment analysis, Exonic splicing enhancer prediction	RNA-Seq	Up-to-date	https://www.bioconductor.org/packages/release/bioc/html/DEXSeq.html	Transcriptomics, RNA, Statistics	dexseq	2018-05-02	iuc	https://github.com/galaxyproject/tools-iuc/tree/master/tools/dexseq	https://github.com/galaxyproject/tools-iuc/tree/main/tools/dexseq	1.48.0	bioconductor-dexseq	1.48.0	Enrichment analysis, Exonic splicing enhancer prediction	RNA-Seq	3	3	3	3	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	3	0	14874	16927	533	837	18475	28854	1403	2568	3854	4271	141	163	37203	50052	2077	3568	False		
dimet	dimet_@EXECUTABLE@, dimet_@EXECUTABLE@, dimet_@EXECUTABLE@, dimet_@EXECUTABLE@, dimet_@EXECUTABLE@, dimet_@EXECUTABLE@, dimet_@EXECUTABLE@, dimet_@EXECUTABLE@, dimet_@EXECUTABLE@, dimet_@EXECUTABLE@	DIMet is a bioinformatics pipeline for differential analysis of isotopic targeted labeling data.								Up-to-date	https://github.com/cbib/DIMet	Metabolomics		2023-10-09	iuc	https://github.com/galaxyproject/tools-iuc/tree/master/tools/DIMet	https://github.com/galaxyproject/tools-iuc/tree/main/tools/dimet	0.2.4	dimet	0.2.4			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False		
draw_stacked_barplots	draw_stacked_barplots	Draw Stacked Bar Plots for different categories and different criteria								To update		Graphics, Statistics	draw_stacked_barplots	2013-09-25	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/draw_stacked_barplots	https://github.com/galaxyproject/tools-devteam/tree/main/tools/draw_stacked_barplots	1.0.0	R				0	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	189	216	47	52	0	0	0	0	183	213	22	31	372	429	69	83	False		
dropletutils	dropletutils_empty_drops, dropletutils_read_10x	De-composed DropletUtils functionality tools, based on https://github.com/ebi-gene-expression-group/dropletutils-scripts and DropletUtils 1.0.3								To update		Transcriptomics, RNA, Statistics, Sequence Analysis	suite_dropletutils	2019-01-22	ebi-gxa	https://github.com/ebi-gene-expression-group/container-galaxy-sc-tertiary/	https://github.com/ebi-gene-expression-group/container-galaxy-sc-tertiary/tree/main/tools/tertiary-analysis/dropletutils	1.0.4	dropletutils-scripts	0.0.5			2	2	2	0	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1900	1901	412	413	609	609	131	131	0	0	0	0	2509	2510	543	544	False		
dwt_cor_ava_perclass	compute_p-values_correlation_coefficients_feature_occurrences_between_two_datasets_using_discrete_wavelet_transfom	Compute P-values and Correlation Coefficients for Feature Occurrences								To update		Statistics	dwt_cor_ava_perclass	2014-01-27	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/dwt_cor_ava_perclass	https://github.com/galaxyproject/tools-devteam/tree/main/tools/dwt_cor_ava_perclass	1.0.1	r-waveslim	1.7.5			0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	136	141	8	11	136	141	8	11	False		
dwt_cor_avb_all	compute_p-values_correlation_coefficients_featureA_featureB_occurrences_between_two_datasets_using_discrete_wavelet_transfom	Compute P-values and Correlation Coefficients for Occurrences of Two Set of Features								To update		Statistics	dwt_cor_avb_all	2014-01-27	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/dwt_cor_avb_all	https://github.com/galaxyproject/tools-devteam/tree/main/tools/dwt_cor_avb_all	1.0.1	r-waveslim	1.7.5			0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124	124	7	7	124	124	7	7	False		
dwt_ivc_all	compute_p-values_second_moments_feature_occurrences_between_two_datasets_using_discrete_wavelet_transfom	Compute P-values and Second Moments for Feature Occurrences								To update		Statistics	dwt_ivc_all	2014-01-27	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/dwt_ivc_all	https://github.com/galaxyproject/tools-devteam/tree/main/tools/dwt_ivc_all	1.0.1	r-waveslim	1.7.5			0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121	123	5	7	121	123	5	7	False		
dwt_var_perclass	compute_p-values_max_variances_feature_occurrences_in_one_dataset_using_discrete_wavelet_transfom	Compute P-values and Max Variances for Feature Occurrences								To update		Statistics	dwt_var_perclass	2014-01-27	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/dwt_var_perclass	https://github.com/galaxyproject/tools-devteam/tree/main/tools/dwt_var_perclass	1.0.1	r-waveslim	1.7.5			0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	132	7	8	131	132	7	8	False		
dwt_var_perfeature	dwt_var1	Wavelet variance using Discrete Wavelet Transfoms								To update		Statistics	dwt_var_perfeature	2014-01-27	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/dwt_var_perfeature	https://github.com/galaxyproject/tools-devteam/tree/main/tools/dwt_var_perfeature	1.0.2	r-bitops				1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	30	36	2	4	11	11	4	4	206	220	6	7	247	267	12	15	False		
edger	edger	Perform RNA-Seq differential expression analysis using edgeR pipeline	edger	edger		edgeR	Differential expression analysis of RNA-seq expression profiles with biological replication. Implements a range of statistical methodology based on the negative binomial distributions, including empirical Bayes estimation, exact tests, generalized linear models and quasi-likelihood tests. As well as RNA-seq, it be applied to differential signal analysis of other types of genomic data that produce counts, including ChIP-seq, SAGE and CAGE.	Differential gene expression analysis	Genetics, RNA-Seq, ChIP-seq	To update	http://bioconductor.org/packages/release/bioc/html/edgeR.html	Transcriptomics, RNA, Statistics	edger	2019-02-08	iuc	https://github.com/galaxyproject/tools-iuc/tree/master/tools/edger	https://github.com/galaxyproject/tools-iuc/tree/main/tools/edger	3.36.0	bioconductor-edger	4.0.16	Differential gene expression analysis	Genetics, RNA-Seq, ChIP-seq	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	1	0	19294	20905	2423	2618	48876	58723	6341	7527	8010	8705	846	892	76180	88333	9610	11037	False		
egsea	egsea	This tool implements the Ensemble of Gene Set Enrichment Analyses (EGSEA) method for gene set testing	egsea	egsea		EGSEA	This package implements the Ensemble of Gene Set Enrichment Analyses method for gene set testing.	Gene set testing	Systems biology	To update	https://bioconductor.org/packages/release/bioc/html/EGSEA.html	Transcriptomics, RNA, Statistics	egsea	2018-01-01	iuc	https://github.com/galaxyproject/tools-iuc/tree/master/tools/egsea	https://github.com/galaxyproject/tools-iuc/tree/main/tools/egsea	1.20.0	bioconductor-egsea	1.28.0	Gene set testing	Systems biology	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	2809	3060	371	402	5179	5179	759	759	1931	1931	226	226	9919	10170	1356	1387	False		
