Galaxy wrapper id	Total tool usage (usegalaxy.eu)	No. of tool users (2022-2023) (usegalaxy.eu)	Galaxy tool ids	Description	bio.tool id	bio.tool ids	biii	bio.tool name	bio.tool description	EDAM operation	EDAM topic	Status	Source	ToolShed categories	ToolShed id	Galaxy wrapper owner	Galaxy wrapper source	Galaxy wrapper parsed folder	Galaxy wrapper version	Conda id	Conda version	https://usegalaxy.org	https://usegalaxy.org.au	https://usegalaxy.eu	https://usegalaxy.fr
generate_pc_lda_matrix	119.0	12.0	generate_matrix_for_pca_and_lda1	Generate a Matrix for using PC and LDA								To update		Sequence Analysis	generate_pc_lda_matrix	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/generate_pc_lda_matrix	https://github.com/galaxyproject/tools-devteam/tree/main/tools/generate_pc_lda_matrix	1.0.0			(1/1)	(1/1)	(1/1)	(1/1)
getindelrates_3way			indelRates_3way	Estimate Indel Rates for 3-way alignments								To update		Sequence Analysis, Variant Analysis	getindelrates_3way	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/getindelrates_3way	https://github.com/galaxyproject/tools-devteam/tree/main/tools/getindelrates_3way	1.0.0	bx-python	0.11.0	(1/1)	(0/1)	(0/1)	(0/1)
getindels_2way			getIndels_2way	Fetch Indels from pairwise alignments								To update		Sequence Analysis, Variant Analysis	getindels_2way	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/getindels_2way	https://github.com/galaxyproject/tools-devteam/tree/main/tools/getindels_2way	1.0.0	numpy		(1/1)	(0/1)	(0/1)	(0/1)
gmaj	11.0	4.0	gmaj_1	GMAJ Multiple Alignment Viewer								To update		Visualization	gmaj	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/gmaj	https://github.com/galaxyproject/tools-devteam/tree/main/tools/gmaj	2.0.1			(1/1)	(1/1)	(1/1)	(1/1)
hisat	228.0		hisat	HISAT is a fast and sensitive spliced alignment program.								To update	http://ccb.jhu.edu/software/hisat/index.shtml	Assembly	hisat	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/hisat	https://github.com/galaxyproject/tools-devteam/tree/main/tools/hisat	1.0.3	hisat		(0/1)	(0/1)	(0/1)	(0/1)
histogram	2367.0	94.0	histogram_rpy	Histogram of a numeric column								To update		Graphics, Statistics	histogram	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/histogram	https://github.com/galaxyproject/tools-devteam/tree/main/tools/histogram	1.0.4	rpy2	2.7.8	(1/1)	(1/1)	(1/1)	(1/1)
indels_3way	22.0		indels_3way	Fetch Indels from 3-way alignments								To update		Sequence Analysis	indels_3way	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/indels_3way	https://github.com/galaxyproject/tools-devteam/tree/main/tools/indels_3way	1.0.3			(1/1)	(0/1)	(1/1)	(0/1)
kernel_canonical_correlation_analysis	69.0	2.0	kcca1	Kernel Canonical Correlation Analysis								To update		Statistics	kernel_canonical_correlation_analysis	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/kernel_canonical_correlation_analysis	https://github.com/galaxyproject/tools-devteam/tree/main/tools/kernel_canonical_correlation_analysis	1.0.0	rpy		(1/1)	(0/1)	(1/1)	(1/1)
kernel_principal_component_analysis	155.0	13.0	kpca1	Kernel Principal Component Analysis								To update		Statistics	kernel_principal_component_analysis	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/kernel_principal_component_analysis	https://github.com/galaxyproject/tools-devteam/tree/main/tools/kernel_principal_component_analysis	1.0.0	rpy		(1/1)	(0/1)	(1/1)	(1/1)
lastz_paired_reads	9.0	1.0	lastz_paired_reads_wrapper	Galaxy wrapper for the Lastz alignment tool on paired reads								To update		Next Gen Mappers	lastz_paired_reads	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/lastz_paired_reads	https://github.com/galaxyproject/tools-devteam/tree/main/tools/lastz_paired_reads	1.1.1	lastz	1.04.22	(0/1)	(1/1)	(1/1)	(0/1)
lda_analysis	148.0	18.0	lda_analy1	Perform Linear Discriminant Analysis								To update		Graphics, Statistics	lda_analysis	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/lda_analysis	https://github.com/galaxyproject/tools-devteam/tree/main/tools/lda_analysis	1.0.1	R		(1/1)	(0/1)	(1/1)	(1/1)
linear_regression			LinearRegression1	Perform Linear Regression								To update		Statistics	linear_regression	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/linear_regression	https://github.com/galaxyproject/tools-devteam/tree/main/tools/linear_regression	1.0.1	R		(1/1)	(0/1)	(0/1)	(0/1)
logistic_regression_vif			LogisticRegression	Perform Logistic Regression with vif								To update		Sequence Analysis, Variant Analysis, Statistics	logistic_regression_vif	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/logistic_regression_vif	https://github.com/galaxyproject/tools-devteam/tree/main/tools/logistic_regression_vif	1.0.1	numpy		(0/1)	(0/1)	(0/1)	(0/1)
maf_cpg_filter			cpgFilter	Mask CpG/non-CpG sites from MAF file								To update		Sequence Analysis, Variant Analysis	maf_cpg_filter	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/maf_cpg_filter	https://github.com/galaxyproject/tools-devteam/tree/main/tools/maf_cpg_filter	1.0.0	bx-python	0.11.0	(1/1)	(0/1)	(0/1)	(0/1)
mapping_to_ucsc			mapToUCSC	Format mapping data as UCSC custom track								To update		Visualization, Convert Formats, Next Gen Mappers	mapping_to_ucsc	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/mapping_to_ucsc	https://github.com/galaxyproject/tools-devteam/tree/main/tools/mapping_to_ucsc	1.0.0			(0/1)	(0/1)	(0/1)	(0/1)
megablast_xml_parser	338.0	36.0	megablast_xml_parser	Parse blast XML output								To update		Next Gen Mappers, Convert Formats	megablast_xml_parser	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/megablast_xml_parser	https://github.com/galaxyproject/tools-devteam/tree/main/tools/megablast_xml_parser	1.0.1	python		(1/1)	(0/1)	(1/1)	(0/1)
merge_cols	21906.0	536.0	mergeCols1	Merge columns together.								To update		Text Manipulation	merge_cols	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/merge_cols	https://github.com/galaxyproject/tools-devteam/tree/main/tools/merge_cols	1.0.3	python		(1/1)	(1/1)	(1/1)	(1/1)
microsatellite_birthdeath			microsatellite_birthdeath	Identify microsatellite births and deaths								To update		Sequence Analysis	microsatellite_birthdeath	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/microsatellite_birthdeath	https://github.com/galaxyproject/tools-devteam/tree/main/tools/microsatellite_birthdeath	1.0.0			(0/1)	(0/1)	(0/1)	(0/1)
microsats_alignment_level			microsats_align1	Extract Orthologous Microsatellites from pair-wise alignments								To update		Sequence Analysis, Variant Analysis	microsats_alignment_level	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/microsats_alignment_level	https://github.com/galaxyproject/tools-devteam/tree/main/tools/microsats_alignment_level	1.0.0	sputnik		(1/1)	(0/1)	(0/1)	(0/1)
microsats_mutability			microsats_mutability1	Estimate microsatellite mutability by specified attributes								To update		Sequence Analysis, Variant Analysis	microsats_mutability	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/microsats_mutability	https://github.com/galaxyproject/tools-devteam/tree/main/tools/microsats_mutability	1.1.0	bx-python	0.11.0	(1/1)	(0/1)	(0/1)	(0/1)
mine	11.0	2.0	maximal_information_based_nonparametric_exploration	Maximal Information-based Nonparametric Exploration								To update		Variant Analysis	mine	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/mine	https://github.com/galaxyproject/tools-devteam/tree/main/tools/mine	0.0.1	MINE		(1/1)	(0/1)	(1/1)	(1/1)
multispecies_orthologous_microsats			multispecies_orthologous_microsats	Extract orthologous microsatellites								To update		Sequence Analysis, Variant Analysis	multispecies_orthologous_microsats	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/multispecies_orthologous_microsats	https://github.com/galaxyproject/tools-devteam/tree/main/tools/multispecies_orthologous_microsats	1.0.0	bx-sputnik		(0/1)	(0/1)	(0/1)	(0/1)
mutate_snp_codon	47.0		mutate_snp_codon_1	Mutate Codons with SNPs								To update		Variant Analysis	mutate_snp_codon	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/mutate_snp_codon	https://github.com/galaxyproject/tools-devteam/tree/main/tools/mutate_snp_codon	1.0.0			(1/1)	(0/1)	(1/1)	(0/1)
partialr_square			partialRsq	Compute partial R square								To update		Statistics	partialr_square	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/partialr_square	https://github.com/galaxyproject/tools-devteam/tree/main/tools/partialr_square	1.0.0	R		(1/1)	(0/1)	(0/1)	(0/1)
pearson_correlation			Pearson_and_apos_Correlation1	Pearson and apos Correlation between any two numeric columns								To update		Statistics	pearson_correlation	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/pearson_correlation	https://github.com/galaxyproject/tools-devteam/tree/main/tools/pearson_correlation	1.0.0			(0/1)	(0/1)	(0/1)	(0/1)
pgsnp2gd_snp			pgSnp2gd_snp	Convert from pgSnp to gd_snp								To update		Variant Analysis	pgsnp2gd_snp	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/pgsnp2gd_snp	https://github.com/galaxyproject/tools-devteam/tree/main/tools/pgsnp2gd_snp	1.0.0			(0/1)	(0/1)	(0/1)	(0/1)
pileup_interval	632.0	15.0	pileup_interval	Pileup-to-Interval condenses pileup format into ranges of bases								To update		SAM	pileup_interval	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/pileup_interval	https://github.com/galaxyproject/tools-devteam/tree/main/tools/pileup_interval	1.0.3	bx-python	0.11.0	(1/1)	(1/1)	(1/1)	(1/1)
pileup_parser	3158.0	169.0	pileup_parser	Filter pileup on coverage and SNPs								To update	https://github.com/galaxyproject/tools-devteam/	SAM	pileup_parser	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/pileup_parser	https://github.com/galaxyproject/tools-devteam/tree/main/tools/pileup_parser	1.0.2	perl		(1/1)	(1/1)	(1/1)	(1/1)
plot_from_lda	73.0	9.0	plot_for_lda_output1	"Draw ROC plot on ""Perform LDA"" output"								To update		Graphics, Statistics	plot_from_lda	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/plot_from_lda	https://github.com/galaxyproject/tools-devteam/tree/main/tools/plot_from_lda	1.0.1	R		(1/1)	(0/1)	(1/1)	(1/1)
principal_component_analysis	9986.0	88.0	pca1	Principal Component Analysis								To update		Statistics	principal_component_analysis	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/principal_component_analysis	https://github.com/galaxyproject/tools-devteam/tree/main/tools/principal_component_analysis	1.0.2	rpy		(1/1)	(0/1)	(1/1)	(1/1)
quality_filter			qualityFilter	Filter nucleotides based on quality scores								To update		Sequence Analysis, Variant Analysis	quality_filter	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/quality_filter	https://github.com/galaxyproject/tools-devteam/tree/main/tools/quality_filter	1.0.1	bx-python	0.11.0	(0/1)	(0/1)	(0/1)	(0/1)
rcve			rcve1	Compute RCVE								To update		Sequence Analysis, Variant Analysis	rcve	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/rcve	https://github.com/galaxyproject/tools-devteam/tree/main/tools/rcve	1.0.0	R		(1/1)	(0/1)	(0/1)	(0/1)
remove_beginning			Remove beginning1	Remove lines from the beginning of a file.								To update		Text Manipulation	remove_beginning	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/remove_beginning	https://github.com/galaxyproject/tools-devteam/tree/main/tools/remove_beginning	1.0.0			(1/1)	(1/1)	(1/1)	(1/1)
rmap			rmap_wrapper	RMAP for Solexa Short Reads Alignment								To update		Next Gen Mappers	rmap	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/rmap	https://github.com/galaxyproject/tools-devteam/tree/main/tools/rmap	1.0.0	rmap	2.1	(0/1)	(0/1)	(0/1)	(0/1)
rmapq			rmapq_wrapper	RMAPQ for Solexa Short Reads Alignment with Quality Scores								To update		Next Gen Mappers	rmapq	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/rmapq	https://github.com/galaxyproject/tools-devteam/tree/main/tools/rmapq	1.0.0	rmap	2.1	(0/1)	(0/1)	(0/1)	(0/1)
