Galaxy wrapper id	https://usegalaxy.eu usage	Galaxy tool ids	Description	bio.tool id	bio.tool name	bio.tool description	EDAM operation	EDAM topic	Status	Source	ToolShed categories	ToolShed id	Galaxy wrapper owner	Galaxy wrapper source	Galaxy wrapper version	Conda id	Conda version	https://usegalaxy.org	https://usegalaxy.org.au	https://usegalaxy.eu
imagecoordinates_flipaxis	7	imagecoordinates_flipaxis	Flip coordinate axes	galaxy_image_analysis	Galaxy Image Analysis	Developed within the Biomedical Computer Vision (BMCV) Group Heidelberg.	Image analysis	Imaging, Bioinformatics	To update	https://github.com/bmcv	Imaging	imagecoordinates_flipaxis	imgteam	https://github.com/BMCV/galaxy-image-analysis/tree/master/tools/imagecoordinates_flipaxis/	0.1-2	pandas		(0/1)	(0/1)	(1/1)
isoplot	1	isoplot	Isoplot is a software for the visualisation of MS data from C13 labelling experiments						To update		Metabolomics, Visualization	isoplot	workflow4metabolomics	https://github.com/llegregam/Isoplot/tree/main	1.3.0+galaxy1	isoplot	1.3.1	(0/1)	(0/1)	(1/1)
jbrowse	2269	jbrowse_to_container	A tool allowing to export a JBrowse dataset into a JBrowse docker container						To update	https://jbrowse.org	Web Services	jbrowse_to_container	gga	https://github.com/galaxy-genome-annotation/galaxy-tools/tree/master/tools/jbrowse		python		(0/1)	(0/1)	(0/1)
lotus2	114	lotus2	LotuS2 OTU processing pipeline	lotus2	lotus2	LotuS2 is a lightweight and user-friendly pipeline that is fast, precise, and streamlined, using extensive pre- and post-ASV/OTU clustering steps to further increase data quality. High data usage rates and reliability enable high-throughput microbiome analysis in minutes.	Sequence feature detection	Metagenomics	To update	http://lotus2.earlham.ac.uk/	Metagenomics	lotus2	earlhaminst	https://github.com/TGAC/earlham-galaxytools/tree/master/tools/lotus2	2.30	lotus2	2.32	(0/1)	(0/1)	(1/1)
miranda	41	miranda	Finds potential target sites for miRNAs in genomic sequences						To update	http://www.microrna.org/	RNA	miranda	earlhaminst	https://github.com/TGAC/earlham-galaxytools/tree/master/tools/miranda	3.3a+galaxy1	miranda	3.3a	(0/1)	(0/1)	(1/1)
normalization	13	normalization	[Metabolomics][W4M][ALL] Normalization (operation applied on each individual spectrum) of preprocessed data						To update	http://workflow4metabolomics.org	Metabolomics	normalization	marie-tremblay-metatoul	https://github.com/workflow4metabolomics/normalization	1.0.7	r-batch	1.1_4	(0/1)	(1/1)	(1/1)
pangolin	259	pangolin	Phylogenetic Assignment of Named Global Outbreak LINeages						To update	https://github.com/hCoV-2019/pangolin	Sequence Analysis	pangolin	nml	https://github.com/hCoV-2019/pangolin	1.1.14	pangolin	4.3	(1/1)	(1/1)	(1/1)
replace_chromosome_names	20	replace_chromosome_names	Replace chromosome names						To update		Text Manipulation	replace_chromosome_names	earlhaminst	https://github.com/TGAC/earlham-galaxytools/tree/master/tools/replace_chromosome_names/	0.1	python		(0/1)	(0/1)	(1/1)
sistr_cmd	133	sistr_cmd	SISTR in silico serotyping tool						Up-to-date	https://github.com/phac-nml/sistr_cmd	Sequence Analysis	sistr_cmd	nml		1.1.1	sistr_cmd	1.1.1	(0/1)	(1/1)	(1/1)
smina	9	smina	smina is a fork of Autodock Vina (http://vina.scripps.edu/) that focuses on improving scoring and minimization						To update	https://sourceforge.net/projects/smina/	Computational chemistry	smina	earlhaminst	https://github.com/TGAC/earlham-galaxytools/tree/master/tools/smina/	1.0	smina	2017.11.9	(1/1)	(0/1)	(1/1)
srst2	22	srst2	Short Read Sequence Typing for Bacterial Pathogens						To update		Sequence Analysis	srst2	nml		0.3.7	srst2	0.2.0	(0/1)	(0/1)	(1/1)
t_coffee	70	t_coffee	T-Coffee						To update	http://www.tcoffee.org/	Sequence Analysis	t_coffee	earlhaminst	https://github.com/TGAC/earlham-galaxytools/tree/master/tools/t_coffee	13.45.0.4846264	t-coffee	13.46.0.919e8c6b	(0/1)	(0/1)	(1/1)
unzip	508	unzip	Unzip file						To update	https://github.com/bmcv	Convert Formats	unzip	imgteam	https://github.com/BMCV/galaxy-image-analysis/tree/master/tools/unzip/	6.0	unzip		(0/1)	(1/1)	(1/1)
w4mclassfilter	3	w4mclassfilter	Filter W4M data by values or metadata						To update	https://github.com/HegemanLab/w4mclassfilter_galaxy_wrapper	Metabolomics	w4mclassfilter	eschen42	https://github.com/HegemanLab/w4mclassfilter_galaxy_wrapper/tree/master	0.98.19	r-base		(0/1)	(1/1)	(1/1)
w4mcorcov	5	w4mcorcov	OPLS-DA Contrasts of Univariate Results						To update	https://github.com/HegemanLab/w4mcorcov_galaxy_wrapper	Metabolomics	w4mcorcov	eschen42	https://github.com/HegemanLab/w4mcorcov_galaxy_wrapper/tree/master	0.98.18	r-base		(0/1)	(1/1)	(1/1)
w4mjoinpn	2	w4mjoinpn	Join positive- and negative-mode W4M datasets						To update	https://github.com/HegemanLab/w4mjoinpn_galaxy_wrapper	Metabolomics	w4mjoinpn	eschen42	https://github.com/HegemanLab/w4mjoinpn_galaxy_wrapper/tree/master	0.98.2	coreutils	8.25	(0/1)	(1/1)	(1/1)
10x_bamtofastq	46	10x_bamtofastq	Converts 10x Genomics BAM to FASTQ						Up-to-date	https://github.com/10XGenomics/bamtofastq	Convert Formats	10x_bamtofastq	bgruening	https://github.com/bgruening/galaxytools/tree/master/tools/10x_bamtofastq	1.4.1	10x_bamtofastq	1.4.1	(0/1)	(0/1)	(1/1)
add_line_to_file	193	add_line_to_file	Adds a text line to the beginning or end of a file.						To update		Text Manipulation	add_line_to_file	bgruening	https://github.com/bgruening/galaxytools/tree/master/tools/text_processing/add_line_to_file	0.1.0	coreutils	8.25	(1/1)	(1/1)	(1/1)
agat	42	agat	GTF/GFF analysis toolkit	agat	AGAT	Another Gff Analysis Toolkit (AGAT)Suite of tools to handle gene annotations in any GTF/GFF format.	Data handling, Genome annotation	Genomics	Up-to-date	https://github.com/NBISweden/AGAT	Convert Formats, Statistics, Fasta Manipulation	agat	bgruening	https://github.com/bgruening/galaxytools/tree/master/tools/agat	1.2.0	agat	1.2.0	(0/1)	(0/1)	(1/1)
align_back_trans	11	align_back_trans	Thread nucleotides onto a protein alignment (back-translation)						To update	https://github.com/peterjc/pico_galaxy/tree/master/tools/align_back_trans	Fasta Manipulation, Sequence Analysis	align_back_trans	peterjc	https://github.com/peterjc/pico_galaxy/tree/master/tools/align_back_trans	0.0.10	biopython	1.70	(0/1)	(0/1)	(1/1)
antarna	2	antarna	antaRNA uses ant colony optimization to solve the inverse folding problem in RNA research .						To update		RNA	antarna	rnateam	https://github.com/bgruening/galaxytools/tree/master/tools/rna_tools/antarna/	1.1	antarna	2.0.1.2	(0/1)	(0/1)	(1/1)
antismash	279	antismash	Antismash allows the genome-wide identification, annotation and analysis of secondary metabolite biosynthesis gene clusters	antismash	antiSMASH	Rapid genome-wide identification, annotation and analysis of secondary metabolite biosynthesis gene clusters in bacterial and fungal genomes. It integrates and cross-links with a large number of in silico secondary metabolite analysis tools that have been published earlier.	Sequence clustering, Gene prediction, Differential gene expression analysis	Molecular interactions, pathways and networks, Gene and protein families	Up-to-date	https://antismash.secondarymetabolites.org	Sequence Analysis	antismash	bgruening	https://github.com/galaxyproject/tools-iuc/tree/master/tools/antismash	6.1.1	antismash	6.1.1	(1/1)	(1/1)	(1/1)
atactk_trim_adapters	26	atactk_trim_adapters	Trim adapters from paired-end HTS reads.						To update	https://github.com/ParkerLab/atactk/	Fastq Manipulation	atactk_trim_adapters	rnateam	https://github.com/bgruening/galaxytools/blob/master/tools/trim_adapters	0.1.6	atactk	0.1.9	(0/1)	(0/1)	(1/1)
augustus	516	augustus	AUGUSTUS is a program that predicts genes in eukaryotic genomic sequences.						To update	http://bioinf.uni-greifswald.de/augustus/	Sequence Analysis	augustus	bgruening	https://github.com/bgruening/galaxytools/tree/master/tools/augustus	3.1.0	augustus	3.5.0	(1/1)	(1/1)	(1/1)
bamhash	15	bamhash	Hash BAM and FASTQ files to verify data integrity						Up-to-date	https://github.com/DecodeGenetics/BamHash	Sequence Analysis	bamhash	bgruening	https://github.com/bgruening/galaxytools/tree/master/tools/bamhash	1.1	bamhash	1.1	(0/1)	(0/1)	(1/1)
bigwig_to_bedgraph	200	bigwig_to_bedgraph	Convert from bigWig to bedGraph format						To update		Convert Formats	bigwig_to_bedgraph	bgruening	https://github.com/bgruening/galaxytools/tree/master/tools/bigwig_to_bedgraph	0.1.0	ucsc_tools		(0/1)	(0/1)	(1/1)
blobtoolkit	21	blobtoolkit	Identification and isolation non-target data in draft and publicly available genome assemblies.						To update	https://blobtoolkit.genomehubs.org/	Sequence Analysis, Assembly	blobtoolkit	bgruening	https://github.com/bgruening/galaxytools/tree/master/tools/blobtoolkit	4.0.7			(0/1)	(1/1)	(1/1)
blockbuster	34	blockbuster	Blockbuster detects blocks of overlapping reads using a gaussian-distribution approach.						To update	http://hoffmann.bioinf.uni-leipzig.de/LIFE/blockbuster.html	RNA, Sequence Analysis	blockbuster	rnateam	https://github.com/bgruening/galaxytools/tree/master/tools/blockbuster	0.1.2	blockbuster	0.0.1.1	(1/1)	(1/1)	(1/1)
blockclust	15	blockclust	BlockClust detects transcripts with similar processing patterns.						Up-to-date	https://github.com/bgruening/galaxytools/tree/master/workflows/blockclust	RNA	blockclust	rnateam	https://github.com/bgruening/galaxytools/tree/master/tools/rna_tools/blockclust	1.1.1	blockclust	1.1.1	(1/1)	(1/1)	(1/1)
canu	533	canu	Canu is a hierarchical assembly pipeline designed for high-noise single-molecule sequencing (such as the PacBio RS II/Sequel or Oxford Nanopore MinION).	canu	CANU	De-novo assembly tool for long read chemistry like Nanopore data and PacBio data.	De-novo assembly	Genomics	Up-to-date	https://github.com/marbl/canu		canu	bgruening	https://github.com/bgruening/galaxytools/tree/master/tools/canu	2.2	canu	2.2	(0/1)	(1/1)	(1/1)
categorize_elements_satisfying_criteria	1	categorize_elements_satisfying_criteria	Categorize Elements satisfying criteria.						To update		Statistics	categorize_elements_satisfying_criteria	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/categorize_elements_satisfying_criteria	1.0.0			(0/1)	(1/1)	(1/1)
chipseeker	418	chipseeker	A tool for ChIP peak annotation and visualization						To update	https://bioconductor.org/packages/release/bioc/html/ChIPseeker.html	ChIP-seq, Genome annotation	chipseeker	rnateam	https://github.com/bgruening/galaxytools/tree/master/tools/chipseeker	1.32.0	bioconductor-chipseeker	1.38.0	(1/1)	(1/1)	(1/1)
circexplorer	8	circexplorer	A combined strategy to identify circular RNAs (circRNAs and ciRNAs)						To update	https://github.com/YangLab/CIRCexplorer	Sequence Analysis, RNA	circexplorer	bgruening	https://github.com/bgruening/galaxytools/tree/master/tools/circexplorer	1.1.9.0	circexplorer	1.1.10	(0/1)	(1/1)	(1/1)
cmsearch_deoverlap	1	cmsearch_deoverlap	removes lower scoring overlaps from cmsearch results.						To update	https://github.com/EBI-Metagenomics/pipeline-v5/blob/master/tools/RNA_prediction/cmsearch-deoverlap/cmsearch-deoverlap.pl	RNA	cmsearch_deoverlap	rnateam	https://github.com/bgruening/galaxytools/tree/master/tools/rna_tools/cmsearch_deoverlap	0.08+galaxy0	perl		(0/1)	(0/1)	(1/1)
cmv	1	cmcv, cmv, hmmcv, hmmv	cmv is a collection of tools for the visualisation of Hidden Markov Models and RNA-family models.						Up-to-date	https://github.com/eggzilla/cmv	RNA	cmv	rnateam	https://github.com/bgruening/galaxytools/tree/master/tools/rna_tools/cmv	1.0.8	cmv	1.0.8	(0/4)	(0/4)	(2/4)
cofold	8	cofold	Cofold predicts RNA secondary structures that takes co-transcriptional folding into account.						To update	http://www.e-rna.org/cofold/	RNA	cofold	rnateam	https://github.com/bgruening/galaxytools/tree/master/tools/rna_tools/cofold	2.0.4.0	cofold	2.0.4	(0/1)	(0/1)	(1/1)
combine_metaphlan_humann	9	combine_metaphlan_humann	Combine MetaPhlAn2 and HUMAnN2 outputs to relate genus/species abundances and gene families/pathways abundances	combine_metaphlan_and_humann	Combine Metaphlan and HUMAnN	"""This tool combine MetaPhlAn outputs and HUMANnN outputs."" - Galaxy tool wrapper"	Aggregation	Metagenomics, Molecular interactions, pathways and networks	To update		Metagenomics	combine_metaphlan2_humann2	bebatut	https://github.com/bgruening/galaxytools/tree/master/tools/combine_metaphlan2_humann2	0.3.0	python		(0/1)	(0/1)	(1/1)
compare_humann2_output	10	compare_humann2_output	Compare outputs of HUMAnN2 for several samples and extract similar and specific information	compare_humann2_outputs	Compare HUMAnN2 outputs	"""This tool compare HUMANnN2 outputs with gene families or pathways and their relative abundances between several samples."" - Galaxy tool wrapper"	Comparison	Metagenomics, Gene and protein families	To update		Metagenomics	compare_humann2_output	bebatut	https://github.com/bgruening/galaxytools/tree/master/tools/compare_humann2_output	0.2.0			(0/1)	(0/1)	(0/1)
compute_motif_frequencies_for_all_motifs	2	compute_motif_frequencies_for_all_motifs	Compute Motif Frequencies For All Motifs, motif by motif.						To update		Sequence Analysis, Statistics	compute_motif_frequencies_for_all_motifs	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/compute_motif_frequencies_for_all_motifs	1.0.0			(0/1)	(1/1)	(1/1)
count_gff_features	49	count_gff_features	Count GFF Features						To update		Sequence Analysis	count_gff_features	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/count_gff_features	0.2	galaxy-ops	1.1.0	(1/1)	(1/1)	(1/1)
cpat	21	cpat	Coding-potential assessment tool using an alignment-free logistic regression model.						Up-to-date	https://github.com/liguowang/cpat	Transcriptomics	cpat	bgruening	https://github.com/bgruening/galaxytools/tree/master/tools/cpat	3.0.4	cpat	3.0.4	(1/1)	(1/1)	(1/1)
delete_overlapping_indels	2	delete_overlapping_indels	Delete Overlapping Indels from a chromosome indels file						To update		Sequence Analysis	delete_overlapping_indels	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/delete_overlapping_indels	1.0.0			(0/1)	(0/1)	(1/1)
dewseq	11	dewseq	DEWSeq is a sliding window based peak caller for eCLIP/iCLIP data						To update	https://github.com/EMBL-Hentze-group/DEWSeq_analysis_helpers	Sequence Analysis, RNA, CLIP-seq	dewseq	rnateam	https://github.com/bgruening/galaxytools/tree/master/tools/rna_tools/dewseq	0.1.0+galaxy0	python		(0/1)	(0/1)	(1/1)
dgidb_annotator	23	dgidb_annotate	Annotates a tabular file with information from the Drug-Gene Interaction Database (http://dgidb.genome.wustl.edu/)						To update		Systems Biology, Variant Analysis	dgidb_annotator	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/dgidb_annotator	0.1			(0/1)	(0/1)	(1/1)
diff	30	diff	GNU diff tool that calculates the differences between two files.						To update	http://www.gnu.org/software/diffutils/	Text Manipulation	diff	bgruening	https://github.com/bgruening/galaxytools/tree/master/tools/diff	3.7	diffutils		(0/1)	(0/1)	(1/1)
diffbind	250		Diffbind provides functions for  processing  ChIP-Seq  data.						To update	http://bioconductor.org/packages/release/bioc/html/DiffBind.html	ChIP-seq	diffbind	bgruening	https://github.com/bgruening/galaxytools/tree/master/tools/diffbind				(0/1)	(0/1)	(0/1)
dotknot	1	dotknot	DotKnot is a heuristic method for pseudoknot prediction in a given RNA sequence						To update	http://dotknot.csse.uwa.edu.au/	RNA, Proteomics	dotknot	bgruening	https://github.com/bgruening/galaxytools/tree/master/tools/rna/dotknot	1.3.1	vienna_rna		(0/1)	(0/1)	(1/1)
draw_stacked_barplots	12	draw_stacked_barplots	Draw Stacked Bar Plots for different categories and different criteria						To update		Graphics, Statistics	draw_stacked_barplots	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/draw_stacked_barplots	1.0.0	R		(0/1)	(1/1)	(1/1)
edta	58	edta	The EDTA package was designed to filter out false discoveries in raw TE candidates and generate a high-quality non-redundant TE library for whole-genome TE annotations. 	edta	The Extensive de novo TE Annotator (EDTA)	The EDTA package was designed to filter out false discoveries in raw TE candidates and generate a high-quality non-redundant TE library for whole-genome TE annotations. Selection of initial search programs were based on benckmarkings on the annotation performance using a manually curated TE library in the rice genome.	De-novo assembly, Deisotoping, Genome annotation	Workflows, Mobile genetic elements, Plant biology, Transcription factors and regulatory sites, Model organisms	To update	https://github.com/oushujun/EDTA	Variant Analysis	edta	bgruening	https://github.com/galaxyproject/tools-iuc/tree/master/tools/edta		edta	2.2.0	(0/1)	(0/1)	(1/1)
express	12	express	Quantify the abundances of a set of target sequences from sampled subsequences						To update		RNA	express	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/express	1.1.1	eXpress	1.5.1	(0/1)	(1/1)	(1/1)
fasta_compute_length	380	fasta_compute_length	Compute sequence length						To update		Fasta Manipulation	fasta_compute_length	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/fasta_compute_length	1.0.3	python		(1/1)	(1/1)	(1/1)
fasta_filter_by_length	350	fasta_filter_by_length	Filter sequences by length						To update		Fasta Manipulation	fasta_filter_by_length	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/fasta_filter_by_length	1.2	python		(1/1)	(1/1)	(1/1)
fastq_info	679	fastq_info	FASTQ info allows to validate single or paired fastq files						To update	https://github.com/nunofonseca/fastq_utils	Fastq Manipulation	fastq_info	bgruening	https://github.com/bgruening/galaxytools/tree/master/tools/fastq_info	0.25.1	fastq_utils	0.25.2	(1/1)	(0/1)	(1/1)
find_diag_hits	5	find_diag_hits	Find diagnostic hits						To update	https://bitbucket.org/natefoo/taxonomy	Metagenomics	find_diag_hits	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tool_collections/taxonomy/find_diag_hits	1.0.0	taxonomy	0.9.0	(0/1)	(0/1)	(1/1)
flye	1499	flye	Assembly of long and error-prone reads.						To update	https://github.com/fenderglass/Flye/	Assembly	flye	bgruening	https://github.com/bgruening/galaxytools/tree/master/tools/flye	2.9.1	flye	2.9.3	(1/1)	(1/1)	(1/1)
format_cd_hit_output	20	format_cd_hit_output	Format CD-hit output to rename representative sequences with cluster name and/or extract distribution inside clusters given a mapping file						To update		Fasta Manipulation	format_cd_hit_output	bebatut	https://github.com/bgruening/galaxytools/tree/master/tools/format_cd_hit_output/	1.0.0+galaxy1			(0/1)	(0/1)	(1/1)
format_metaphlan2_output	166	format_metaphlan2_output	Format MetaPhlAn2 output to extract abundance at different taxonomic levels	format_metaphlan2_output	Format metaphlan2 output	"""This tool format output file of MetaPhlan2 containing community content (abundance) at all taxonomic levels (from kingdom to strains)."" - Galaxy tool wrapper"	Formatting	Taxonomy, Metagenomics	To update		Metagenomics	format_metaphlan2_output	bebatut	https://github.com/bgruening/galaxytools/tree/master/tools/format_metaphlan2_output/	0.2.0			(0/1)	(0/1)	(1/1)
get_orfs_or_cdss	15	get_orfs_or_cdss	Search nucleotide sequences for open reading frames (ORFs), or coding sequences (CDSs)						To update	https://github.com/peterjc/pico_galaxy/tree/master/tools/get_orfs_or_cdss	Sequence Analysis	get_orfs_or_cdss	peterjc	https://github.com/peterjc/pico_galaxy/tree/master/tools/get_orfs_or_cdss	0.2.3	biopython	1.70	(0/1)	(1/1)	(1/1)
gfastats	418	gfastats	Tool for generating sequence statistics and simultaneous genome assembly file manipulation.	gfastats	gfastats	gfastats is a single fast and exhaustive tool for summary statistics and simultaneous genome assembly file manipulation. gfastats also allows seamless fasta/fastq/gfa conversion.	Data handling	Computational biology	Up-to-date	https://github.com/vgl-hub/gfastats	Sequence Analysis	gfastats	bgruening	https://github.com/bgruening/galaxytools/tree/master/tools/gfastats	1.3.6	gfastats	1.3.6	(1/1)	(1/1)	(1/1)
hifiasm	297	hifiasm	A fast haplotype-resolved de novo assembler						Up-to-date	https://github.com/chhylp123/hifiasm	Assembly	hifiasm	bgruening	https://github.com/bgruening/galaxytools/tree/master/tools/hifiasm	0.19.8	hifiasm	0.19.8	(1/1)	(1/1)	(1/1)
instagraal	14	instagraal	Large genome reassembly based on Hi-C data	instagraal	instaGRAAL	Chromosome-level quality scaffolding of brown algal genomes using InstaGRAAL.Large genome reassembly based on Hi-C data, continuation of GRAAL.Large genome reassembly based on Hi-C data (continuation and partial rewrite of GRAAL) and post-scaffolding polishing libraries.This work is under continuous development/improvement - see GRAAL for information about the basic principles.sudo pip3 install -e git+https://github.com/koszullab/instagraal.git@master#egg=instagraal.Note to OS X users: There is currently no CUDA support on Mojave (10.14) and it is unclear when it is going to be added, if it is to be added at all. This means instaGRAAL (or indeed any CUDA-based application) will not work on Mojave. If you wish to run it on OS X, the only solution for now is to downgrade to High Sierra (10.13)	Genome assembly, Mapping assembly, Genetic mapping, Scaffolding	Sequence assembly, Mapping, Metagenomics, Statistics and probability, DNA binding sites	To update	https://github.com/koszullab/instaGRAAL	Assembly	instagraal	bgruening	https://github.com/bgruening/galaxytools/tree/master/tools/instagraal	0.1.6			(0/1)	(0/1)	(1/1)
intarna	23	intarna	Efficient RNA-RNA interaction prediction incorporating accessibility and seeding of interaction sites.						Up-to-date	https://github.com/BackofenLab/IntaRNA	RNA	intarna	rnateam	https://github.com/bgruening/galaxytools/tree/master/tools/rna_tools/intarna	3.3.2	intarna	3.3.2	(0/1)	(0/1)	(1/1)
itsx	38	itsx	ITSx is an open source software utility to extract the highly variable ITS1 and ITS2 subregions from ITS sequences.	ITSx	ITSx	TSx is an open source software utility to extract the highly variable ITS1 and ITS2 subregions from ITS sequences, which is commonly used as a molecular barcode for e.g. fungi. As the inclusion of parts of the neighbouring, very conserved, ribosomal genes (SSU, 5S and LSU rRNA sequences) in the sequence identification process can lead to severely misleading results, ITSx identifies and extracts only the ITS regions themselves.	Sequence feature detection	Functional, regulatory and non-coding RNA, Microbiology	Up-to-date	https://microbiology.se/software/itsx/	Metagenomics	itsx	bgruening	https://github.com/bgruening/galaxytools/tree/master/tools/itsx	1.1.3	itsx	1.1.3	(0/1)	(0/1)	(1/1)
join_files_on_column_fuzzy	117	join_files_on_column_fuzzy	Join two files on a common column, allowing a certain difference.						To update		Text Manipulation	join_files_on_column_fuzzy	bgruening	https://github.com/bgruening/galaxytools/tree/master/tools/text_processing/join_files_on_column_fuzzy	1.0.1	python		(0/1)	(1/1)	(1/1)
lighter	9	lighter	Lighter is a kmer-based error correction method for whole genome sequencing data						To update		Sequence Analysis, Fasta Manipulation	lighter	bgruening	https://github.com/mourisl/Lighter	1.0	lighter	1.1.2	(0/1)	(0/1)	(1/1)
mcl	10	mcl_clustering	Markov Cluster Algorithm						To update	http://micans.org/mcl/	Sequence Analysis, Metagenomics	mcl	bgruening	https://github.com/bgruening/galaxytools/tree/master/tools/mcl	14.137	mcl	22.282	(0/1)	(0/1)	(0/1)
mea	3	mea	Maximum expected accuracy prediction						To update	http://www.bioinf.uni-leipzig.de/Software/mea	RNA	mea	rnateam	https://github.com/bgruening/galaxytools/tree/master/tools/rna_tools/mea	0.6.4.1	mea	0.6.4	(0/1)	(0/1)	(1/1)
megablast_xml_parser	36	megablast_xml_parser	Parse blast XML output						To update		Next Gen Mappers, Convert Formats	megablast_xml_parser	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/megablast_xml_parser	1.0.1	python		(1/1)	(0/1)	(1/1)
metilene	103	metilene	Differential DNA methylation calling						To update		RNA, Statistics	metilene	rnateam	https://github.com/bgruening/galaxytools/tree/master/tools/metilene	0.2.6.1	metilene	0.2.8	(1/1)	(1/1)	(1/1)
minced	53	minced	MinCED - Mining CRISPRs in Environmental Datasets						To update	http://bioweb2.pasteur.fr/docs/modules/minced/0.1.5/_README	Sequence Analysis	minced	bgruening	https://github.com/bgruening/galaxytools/tree/master/tools/minced	0.2.0	minced	0.4.2	(0/1)	(0/1)	(1/1)
minipolish	21	minipolish	Polishing miniasm assemblies	minipolish	minipolish	A tool that bridges the output of miniasm (long-read assembly) and racon (assembly polishing) together to polish a draft assembly. It also provides read depth information in contigs.	Localised reassembly, Read depth analysis	Sequence assembly, Sequencing	Up-to-date	https://github.com/rrwick/Minipolish	Sequence Analysis	minipolish	bgruening	https://github.com/bgruening/galaxytools/tree/master/tools/minipolish	0.1.3	minipolish	0.1.3	(0/1)	(0/1)	(1/1)
mitohifi	56	mitohifi	Assembly mitogenomes from Pacbio HiFi read.						To update	https://github.com/marcelauliano/MitoHiFi/tree/mitohifi_v2	Assembly	mitohifi	bgruening	https://github.com/bgruening/galaxytools/tree/master/tools/mitohifi	3			(1/1)	(0/1)	(1/1)
mqc	5	mqc	Ribosome profiling mapping quality control tool						To update	https://github.com/Biobix/mQC	Sequence Analysis	mqc	rnateam	https://github.com/bgruening/galaxytools/tree/master/tools/rna_tools/mqc/	1.9	mqc	1.10	(0/1)	(0/1)	(1/1)
