Suite ID	Suite owner	Description	To keep	Deprecated
qualimap	iuc	Qualimap 2 is a platform-independent application written in Java andR that facilitates the quality control of alignment sequencing data and itsderivatives like feature counts.	False	False
r-raceid	iuc	RaceID3, StemID2, FateID - scRNA analysis		
repenrich	artbio	Repeat element profiling	False	False
repenrich2	artbio	Repeat element profiling using bowtie2 aligner	False	False
rgrnastar	iuc	RNA STAR is an ultra fast universal RNA and scRNA-seq aligner and mapper	True	False
ribowaltz	iuc	Calculation of optimal P-site offsets, diagnostic analysis and visual inspection of ribosome profiling data		
rsem	artbio	transcript quantification from RNA-Seq data	False	False
rseqc	nilesh	an RNA-seq quality control package	False	False
ruvseq	iuc	Remove Unwanted Variation from RNA-Seq Data	False	False
salmon	bgruening	Salmon is a wicked-fast program to produce a highly-accurate, transcript-level quantification estimates from RNA-seq and single-cell data.		
sashimi_plot	artbio	Generates a sashimi plot from bam files.	False	False
scanpy	iuc	Scanpy – Single-Cell Analysis in Python	True	False
scanpy_scripts	ebi-gxa	scanpy-scripts, command-line wrapper scripts around Scanpy.	False	False
sceasy	ebi-gxa	Convert scRNA data object between popular formats	True	False
sceasy_convert	iuc	Converter between difference single-cell formats	False	False
schicexplorer	iuc	scHiCExplorer: Set of programs to process, analyze and visualize scHi-C data.	True	False
scpipe	iuc	A flexible preprocessing pipeline for single-cell RNA-sequencing data	True	False
seurat	iuc	Seurat - R toolkit for single cell genomics	True	False
sinto	iuc	Sinto single-cell analysis tools		
slamdunk	iuc	Slamdunk maps and quantifies SLAMseq reads	False	False
sleuth	iuc	Sleuth is a program for differential analysis of RNA-Seq data.	False	False
snapatac2	iuc	SnapATAC2 – A Python/Rust package for single-cell epigenomics analysis	True	False
spacexr	iuc	Cell type identification and cell type-specific differential expression in spatial transcriptomics	False	False
spapros	iuc	Select and evaluate probe sets for targeted spatial transcriptomics.	True	False
star_fusion	iuc	STAR Fusion detects fusion genes in RNA-Seq data after running RNA-STAR	False	False
stringtie	iuc	StringTie is a fast and highly efficient assembler of RNA-Seq alignments into potential transcripts.	False	False
suite_cell_types_analysis	ebi-gxa	Tools for analysis of predictions from scRNAseq cell type classification tools, see https://github.com/ebi-gene-expression-group/cell-types-analysis	False	False
suite_decoupler	ebi-gxa	decoupler - Ensemble of methods to infer biological activities	False	False
suite_dropletutils	ebi-gxa	De-composed DropletUtils functionality tools, based on https://github.com/ebi-gene-expression-group/dropletutils-scripts and DropletUtils 1.0.3	False	False
suite_ebi_expression_atlas	ebi-gxa	Tools for interacting with the EMBL-EBI Expression Atlas resource https://www.ebi.ac.uk/gxa/home https://www.ebi.ac.uk/gxa/sc/home	False	False
suite_garnett	ebi-gxa	De-composed Garnett functionality tools, see https://github.com/ebi-gene-expression-group/garnett-cli and r-garnett 0.2.8	False	False
suite_human_cell_atlas_tools	ebi-gxa	Tools for interacting with the Human Cell Atlas resource https://prod.data.humancellatlas.org/explore/projects	False	False
suite_monocle3	ebi-gxa	De-composed monocle3 functionality tools, based on https://github.com/ebi-gene-expression-group/monocle-scripts and monocle3 0.1.2.	False	False
suite_pyscenic	ebi-gxa	PySCENIC scripts based on usage at https://pyscenic.readthedocs.io/	False	False
suite_sc3	ebi-gxa	De-composed SC3 functionality tools, based on https://github.com/ebi-gene-expression-group/bioconductor-sc3-scripts and SC3 1.8.0.	False	False
suite_scater	ebi-gxa	De-composed Scater functionality tools, based on https://github.com/ebi-gene-expression-group/bioconductor-scater-scripts and Scater 1.8.4.	False	False
suite_scmap	ebi-gxa	De-composed scmap functionality tools, based on https://github.com/ebi-gene-expression-group/scmap-cli and scmap 1.6.0.	False	False
suite_scpred	ebi-gxa	De-composed scPred functionality tools, see https://github.com/ebi-gene-expression-group/scpred-cli and r-scPred 1.0	False	False
suite_seurat	ebi-gxa	De-composed Seurat functionality tools, based on https://github.com/ebi-gene-expression-group/r-seurat-scripts and Seurat 2.3.1	False	False
tophat_fusion_post	devteam	Wrapper for Tophat-Fusion post step	False	False
transdecoder	iuc	TransDecoder finds coding regions within transcripts	False	False
trinity	iuc	Trinity represents a method for the efficient and robust de novo reconstruction of transcriptomes from RNA-seq datahttps://github.com/trinityrnaseq/trinityrnaseq		
trinotate	iuc	Trinotate is a comprehensive annotation suite designed for automatic functional annotation of de novo transcriptomes.	False	False
tximport	iuc	Wrapper for the Bioconductor package tximport	False	False
ucsc_cell_browser	ebi-gxa	Python pipeline and Javascript scatter plot library for single-cell datasets	False	False
umi_tools	iuc	UMI-tools extract - Extract UMIs from fastq		
velocyto	iuc	Velocyto is a library for the analysis of RNA velocity.	True	False
volcanoplot	iuc	Tool to create a Volcano Plot	True	False
