Name	Source	ID	Link	Creators	Tags	Creation time	Update time	Latest version	Versions	Number of steps	Tools	EDAM operations	EDAM topics	License	DOI	Projects	To keep	Deprecated
Galaxy EISTA spatialdata + updated squidpy	WorkflowHub	2174	https://workflowhub.eu/workflows/2174?version=4	Amirhossein Naghsh Nilchi, Pavankumar Videm	bioinformatics, galaxy, single cell clustering, transcriptomics, single-cell, spatial transcriptomics	2026-06-29	2026-06-29	4	4	77.0	"liana_methods, scanpy_normalize, tp_replace_in_line, map_param_value, datamash_transpose, param_value_from_file, tp_awk_tool, scanpy_plot, tp_find_and_replace, set the value to a text input
param_value_from_file, Add_a_column1, tp_cut_tool, squidpy_graph, spatialdata_operation, scanpy_inspect, scanpy_cluster_reduce_dimension, addValue, scanpy_remove_confounders, pick_value, celltypist, select the resolution
Cut1, tp_sort_header_tool, collection_column_join, table_compute, split_file_to_collection, compose_text_param, anndata_manipulate, scanpy_filter, anndata_inspect"	Expression profile clustering, Differential gene expression profiling, Differential gene expression analysis, Principal component visualisation	Single-cell sequencing	MIT	10.48546/workflowhub.workflow.2174.4	usegalaxy-eu	True	False
Multisample Batch Correction with SnapATAC2 and Harmony	WorkflowHub	1078	https://workflowhub.eu/workflows/1078?version=1		scatac-seq, single-cell	2024-07-17	2026-05-13	1	1	29.0	collection_element_identifiers, __EXTRACT_DATASET__, __FILTER_FROM_FILE__, snapatac2_clustering, anndata_manipulate, snapatac2_preprocessing, snapatac2_plotting, Show beginning1	Gene expression profiling, Essential dynamics, Dimensionality reduction		CC-BY-4.0		usegalaxy-eu	True	False
Workflow - Standard processing of 10X single cell ATAC-seq data with SnapATAC2	WorkflowHub	1077	https://workflowhub.eu/workflows/1077?version=1	Timon Schlegel	epigenetics, scatac-seq	2024-07-17	2026-05-13	1	1	29.0	scanpy_plot, scanpy_normalize, snapatac2_clustering, scanpy_inspect, anndata_manipulate, snapatac2_preprocessing, scanpy_filter, snapatac2_plotting, anndata_inspect, replace_column_with_key_value_file, Cut1, anndata_ops	Gene expression profiling, Expression profile clustering, Differential gene expression analysis, Essential dynamics, Dimensionality reduction, Principal component visualisation		CC-BY-4.0		usegalaxy-eu	True	False
Differential gene expression for single-cell data using pseudo-bulk counts with edgeR (release v0.1)	https://usegalaxy.eu	04df470a38b10e94	https://usegalaxy.eu/published/workflow?id=04df470a38b10e94	Diana Chiang Jurado, Pavankumar Videm, Pablo Moreno		2024-11-21	2025-04-25	1	1		tp_awk_tool, collection_element_identifiers, column_remove_by_header, split_file_to_collection, tp_replace_in_line, volcanoplot, tp_replace_in_column, edger, param_value_from_file, decoupler_pseudobulk	Differential gene expression analysis		CC-BY-4.0			True	False
Differential gene expression for single-cell data using pseudo-bulk counts with edgeR (release v0.1.1)	https://usegalaxy.eu	c7b9fb6872444809	https://usegalaxy.eu/published/workflow?id=c7b9fb6872444809	Diana Chiang Jurado, Pavankumar Videm, Pablo Moreno		2024-11-28	2025-04-25	1	1		tp_awk_tool, collection_element_identifiers, column_remove_by_header, split_file_to_collection, tp_replace_in_line, volcanoplot, tp_replace_in_column, edger, param_value_from_file, decoupler_pseudobulk	Differential gene expression analysis		CC-BY-4.0			True	False
Preprocessing and Clustering of single-cell RNA-seq data with Scanpy (release v0.1)	https://usegalaxy.eu	e472096116cbe392	https://usegalaxy.eu/published/workflow?id=e472096116cbe392	Pavankumar Videm, Hans-Rudolf Hotz, Mehmet Tekman, Bérénice Batut	name:scrna-seq, name:single-cell	2025-01-30	2025-04-25	1	1		tp_awk_tool, scanpy_plot, scanpy_normalize, scanpy_inspect, scanpy_cluster_reduce_dimension, anndata_import, scanpy_remove_confounders, anndata_manipulate, pick_value, map_param_value, scanpy_filter, anndata_inspect, datamash_ops, param_value_from_file	Expression profile clustering, Differential gene expression analysis, Principal component visualisation		CC-BY-4.0			True	False
Filter plot and explore single-cell RNA-seq data with Scanpy	https://usegalaxy.eu	4756053b2596b6cf	https://usegalaxy.eu/published/workflow?id=4756053b2596b6cf	Wendi Bacon	name:training, name:single-cell	2025-03-23	2025-03-26	12	12		scanpy_plot, scanpy_normalize, scanpy_inspect, scanpy_cluster_reduce_dimension, anndata_manipulate, scanpy_filter, anndata_inspect	Expression profile clustering, Differential gene expression analysis, Principal component visualisation		MIT			True	False
Combining single cell datasets after pre-processing	https://usegalaxy.eu	d1a1e6070c0a36ca	https://usegalaxy.eu/published/workflow?id=d1a1e6070c0a36ca	Wendi Bacon	name:training, name:single-cell	2025-03-23	2025-03-26	4	4		Paste1, anndata_manipulate, tp_replace_in_column, anndata_inspect, Cut1			MIT			True	False
Generating a single cell matrix using Alevin	https://usegalaxy.eu	9a9bbd8046da7b19	https://usegalaxy.eu/published/workflow?id=9a9bbd8046da7b19	Julia Jakiela, Wendi Bacon	name:training, name:single-cell	2025-03-20	2025-03-26	18	18		alevin, join1, _salmon_kallisto_mtx_to_10x, dropletutils_read_10x, anndata_manipulate, anndata_inspect, sceasy_convert, Cut1, _dropletBarcodePlot, _ensembl_gtf2gene_list, dropletutils_empty_drops	Sequence composition calculation, RNA-Seq quantification, Gene expression analysis		CC-BY-4.0			True	False
Standard processing of single cell ATAC-seq data with SnapATAC2	https://usegalaxy.eu	e4e969e9943cdaa5	https://usegalaxy.eu/published/workflow?id=e4e969e9943cdaa5	Timon Schlegel	scatac-seq, epigenetics, name:single-cell	2024-08-02	2024-08-08	10	10		scanpy_plot, scanpy_normalize, snapatac2_clustering, scanpy_inspect, anndata_manipulate, snapatac2_preprocessing, scanpy_filter, snapatac2_plotting, anndata_inspect, replace_column_with_key_value_file, Cut1, anndata_ops	Gene expression profiling, Expression profile clustering, Differential gene expression analysis, Essential dynamics, Dimensionality reduction, Principal component visualisation		CC-BY-4.0			True	False
Generating a single cell matrix using Alevin	https://usegalaxy.eu	e06934a35fc18f2c	https://usegalaxy.eu/published/workflow?id=e06934a35fc18f2c	Julia Jakiela, Wendi Bacon		2024-03-03	2024-03-03	9	9		alevin, join1, _salmon_kallisto_mtx_to_10x, dropletutils_read_10x, sceasy_convert, Cut1, _dropletBarcodePlot, _ensembl_gtf2gene_list, dropletutils_empty_drops	Sequence composition calculation, RNA-Seq quantification, Gene expression analysis		CC-BY-4.0			True	False
Generating a single cell matrix using Alevin 1.9	https://usegalaxy.eu	c6adc3b665828a6f	https://usegalaxy.eu/published/workflow?id=c6adc3b665828a6f	Wendi Bacon, Julia Jakiela	name:transcriptomics, name:singlecell, name:training	2023-04-21	2024-03-03	29	29		alevin, join1, _salmon_kallisto_mtx_to_10x, dropletutils_read_10x, sceasy_convert, Cut1, _dropletBarcodePlot, _ensembl_gtf2gene_list, dropletutils_empty_drops	Sequence composition calculation, RNA-Seq quantification, Gene expression analysis		CC-BY-4.0			True	False
Cell Cycle Regression Workflow	https://usegalaxy.eu	171d6fca2c3339e2	https://usegalaxy.eu/published/workflow?id=171d6fca2c3339e2		single-cell, 10x, transcriptomics, name:single-cell	2022-11-07	2022-11-10	6	6		table_compute, scanpy_plot, scanpy_inspect, tp_easyjoin_tool, scanpy_cluster_reduce_dimension, addValue, cat1, anndata_manipulate, anndata_inspect, sort1, scanpy_regress_variable	Expression profile clustering, Differential gene expression analysis, Principal component visualisation					True	False
scRNA Plant Analysis	https://usegalaxy.eu	d70dc4cfeedb690b	https://usegalaxy.eu/published/workflow?id=d70dc4cfeedb690b		transcriptomics, single-cell	2021-03-23	2021-04-24	33	33		scanpy_plot, scanpy_normalize, scanpy_inspect, scanpy_cluster_reduce_dimension, anndata_import, scanpy_remove_confounders, anndata_manipulate, scanpy_filter	Expression profile clustering, Differential gene expression analysis, Principal component visualisation					True	False
10X StarSolo Workflow	https://usegalaxy.eu	d79309343e2a5d62	https://usegalaxy.eu/published/workflow?id=d79309343e2a5d62		transcriptomics, single-cell	2020-05-24	2020-08-22	3	3		dropletutils, rna_starsolo, cat1	Loading, Sequence alignment, Community profiling					True	False
STARsolo and Scanpy Workflow constructed from history 'single-cell share'''	https://usegalaxy.eu	b5627201bb4f6943	https://usegalaxy.eu/published/workflow?id=b5627201bb4f6943		ralf	2020-06-29	2020-06-29	1	1		anndata_import, dropletutils, rna_starsolo, scanpy_filter	Expression profile clustering, Differential gene expression analysis, Loading, Sequence alignment, Community profiling, Principal component visualisation					True	False
Single-Cell Quality Control with Scater	https://usegalaxy.eu	f055b8fa294d4be8	https://usegalaxy.eu/published/workflow?id=f055b8fa294d4be8		transcriptomics, single-cell	2020-05-24	2020-05-24	1	1		scater_filter, scater_plot_dist_scatter, scater_plot_pca, scater_create_qcmetric_ready_sce	Sequencing quality control, Sequence visualisation, Read pre-processing					True	False
RaceID Training Material	https://usegalaxy.eu	2f8d9fb85242eca7	https://usegalaxy.eu/published/workflow?id=2f8d9fb85242eca7		training, raceid, single-cell	2019-03-16	2019-04-17	1	1		raceid_filtnormconf, raceid_trajectory, raceid_inspecttrajectory, raceid_inspectclusters, raceid_clustering	Expression profile clustering, Expression analysis, Molecular dynamics					True	False
Differential gene expression for single-cell data using pseudo-bulk counts with edgeR (release v0.1.1)	https://usegalaxy.org	13a3954b8894e1b1	https://usegalaxy.org/published/workflow?id=13a3954b8894e1b1	Diana Chiang Jurado, Pavankumar Videm, Pablo Moreno		2024-11-28	2025-04-25	1	1		tp_awk_tool, collection_element_identifiers, column_remove_by_header, split_file_to_collection, tp_replace_in_line, volcanoplot, tp_replace_in_column, edger, param_value_from_file, decoupler_pseudobulk	Differential gene expression analysis		CC-BY-4.0			True	False
Preprocessing and Clustering of single-cell RNA-seq data with Scanpy (release v0.1)	https://usegalaxy.org	f35ccb693cd874c1	https://usegalaxy.org/published/workflow?id=f35ccb693cd874c1	Pavankumar Videm, Hans-Rudolf Hotz, Mehmet Tekman, Bérénice Batut	name:scrna-seq, name:single-cell	2025-01-30	2025-04-25	1	1		tp_awk_tool, scanpy_plot, scanpy_normalize, scanpy_inspect, scanpy_cluster_reduce_dimension, anndata_import, scanpy_remove_confounders, anndata_manipulate, pick_value, map_param_value, scanpy_filter, anndata_inspect, datamash_ops, param_value_from_file	Expression profile clustering, Differential gene expression analysis, Principal component visualisation		CC-BY-4.0			True	False
Preprocessing of 10X scRNA-seq data	https://usegalaxy.org	cdb6c9c7037a95b2	https://usegalaxy.org/published/workflow?id=cdb6c9c7037a95b2	Wendi Bacon, Pavankumar Videm, Mehmet Tekman, Hans-Rudolf Hotz, Daniel Blankenberg	single-cell, transcriptomics	2024-10-02	2024-10-04	1	1		dropletutils, rna_starsolo	Loading, Sequence alignment, Community profiling		CC-BY-4.0			True	False
Copy of Generating a single cell matrix using Alevin 1.9 shared by user ksuderman	https://usegalaxy.org	a2a924b871b1c96d	https://usegalaxy.org/published/workflow?id=a2a924b871b1c96d	Wendi Bacon, Julia Jakiela	name:transcriptomics, name:singlecell, name:training	2023-07-19	2023-08-24	1	1		alevin, join1, _salmon_kallisto_mtx_to_10x, dropletutils_read_10x, sceasy_convert, Cut1, _dropletBarcodePlot, _ensembl_gtf2gene_list, dropletutils_empty_drops	Sequence composition calculation, RNA-Seq quantification, Gene expression analysis		CC-BY-4.0			True	False
Generating a single cell matrix using Alevin 1.9	https://usegalaxy.org	1fe6b25825d9b736	https://usegalaxy.org/published/workflow?id=1fe6b25825d9b736	Wendi Bacon, Julia Jakiela	name:transcriptomics, name:singlecell, name:training	2023-07-18	2023-07-18	0	0		alevin, join1, _salmon_kallisto_mtx_to_10x, dropletutils_read_10x, sceasy_convert, Cut1, _dropletBarcodePlot, _ensembl_gtf2gene_list, dropletutils_empty_drops	Sequence composition calculation, RNA-Seq quantification, Gene expression analysis		CC-BY-4.0			True	False
Differential gene expression for single-cell data using pseudo-bulk counts with edgeR (release v0.1.1)	https://usegalaxy.org.au	5fe66b29dcfb22ab	https://usegalaxy.org.au/published/workflow?id=5fe66b29dcfb22ab	Diana Chiang Jurado, Pavankumar Videm, Pablo Moreno		2025-05-01	2025-05-06	1	1		tp_awk_tool, collection_element_identifiers, column_remove_by_header, split_file_to_collection, tp_replace_in_line, volcanoplot, tp_replace_in_column, edger, param_value_from_file, decoupler_pseudobulk	Differential gene expression analysis		CC-BY-4.0			True	False
Preprocessing and Clustering of single-cell RNA-seq data with Scanpy (release v0.1)	https://usegalaxy.org.au	102eb726f63f3190	https://usegalaxy.org.au/published/workflow?id=102eb726f63f3190	Pavankumar Videm, Hans-Rudolf Hotz, Mehmet Tekman, Bérénice Batut	name:scrna-seq, name:single-cell	2025-01-30	2025-04-25	1	1		tp_awk_tool, scanpy_plot, scanpy_normalize, scanpy_inspect, scanpy_cluster_reduce_dimension, anndata_import, scanpy_remove_confounders, anndata_manipulate, pick_value, map_param_value, scanpy_filter, anndata_inspect, datamash_ops, param_value_from_file	Expression profile clustering, Differential gene expression analysis, Principal component visualisation		CC-BY-4.0			True	False
scRNAseq with AnnData	https://usegalaxy.org.au	c6bc6ee668ab51ab	https://usegalaxy.org.au/published/workflow?id=c6bc6ee668ab51ab		scrnaseq, single-cell, transcriptomics	2021-09-21	2022-03-23	22	22		tp_cat						True	False
scRNAseq with AnnData - Step 2: Filtering of low-quality cells and genes, normalisation, filtering of highly variable genes, scaling.	https://usegalaxy.org.au	57321b64220d5835	https://usegalaxy.org.au/published/workflow?id=57321b64220d5835		scrnaseq, single-cell, transcriptomics	2021-09-14	2021-10-06	20	20		scanpy_plot, scanpy_normalize, scanpy_inspect, scanpy_remove_confounders, anndata_manipulate, scanpy_filter, anndata_inspect	Expression profile clustering, Differential gene expression analysis, Principal component visualisation					True	False
scRNAseq with AnnData - Step 1: Mitochondria annotation, QC metrics plotting.	https://usegalaxy.org.au	8055596d732590d6	https://usegalaxy.org.au/published/workflow?id=8055596d732590d6		scrnaseq, single-cell, transcriptomics	2021-09-14	2021-10-06	29	29		tp_awk_tool, scanpy_plot, scanpy_inspect, cat1, tp_tail_tool, anndata_manipulate, tp_replace_in_column, anndata_inspect, Filter1, Cut1	Expression profile clustering, Differential gene expression analysis, Principal component visualisation					True	False
scRNAseq with AnnData - Step 4: PCA, cell clustering with UMAP, detect marker genes	https://usegalaxy.org.au	8bc01c1fdd62ad12	https://usegalaxy.org.au/published/workflow?id=8bc01c1fdd62ad12		scrnaseq, single-cell, transcriptomics	2021-09-14	2021-10-05	24	24		scanpy_plot, scanpy_inspect, scanpy_cluster_reduce_dimension	Expression profile clustering, Differential gene expression analysis, Principal component visualisation					True	False
 scRNAseq with AnnData - Step 3: PCA inspection via Elbow plot	https://usegalaxy.org.au	106080375ad4eaaa	https://usegalaxy.org.au/published/workflow?id=106080375ad4eaaa		scrnaseq, single-cell, transcriptomics	2021-09-14	2021-09-21	9	9		scanpy_plot, scanpy_cluster_reduce_dimension	Expression profile clustering, Differential gene expression analysis, Principal component visualisation					True	False
scRNAseq preparation with multiple 10X counts datasets - Step 3: Concatenate datasets	https://usegalaxy.org.au	94241afd07e8a8b7	https://usegalaxy.org.au/published/workflow?id=94241afd07e8a8b7		scrnaseq, single-cell, transcriptomics	2021-09-08	2021-09-21	13	13		anndata_manipulate, __FILTER_FROM_FILE__, __EXTRACT_DATASET__						True	False
scRNAseq preparation with multiple 10X counts datasets - Step 2: Empty droplets filtering, import as AnnData.	https://usegalaxy.org.au	471615c412b305f2	https://usegalaxy.org.au/published/workflow?id=471615c412b305f2		scrnaseq, 10x, single-cell, transcriptomics	2021-09-08	2021-09-21	5	5		dropletutils, anndata_import	Loading, Community profiling					True	False
scRNAseq preparation with multiple 10X counts datasets - Step 1: Empty droplets QC Plot	https://usegalaxy.org.au	10296e860e9ef4bb	https://usegalaxy.org.au/published/workflow?id=10296e860e9ef4bb		scrnaseq, 10x, single-cell, transcriptomics	2021-09-08	2021-09-21	5	5		dropletutils	Loading, Community profiling					True	False
Pre-processing of 10X Single-Cell RNA Datasets	https://usegalaxy.org.au	f627023a3401bf9b	https://usegalaxy.org.au/published/workflow?id=f627023a3401bf9b		transcriptomics, single-cell, galaxy-training-network	2021-03-19	2021-03-19	0	0		dropletutils, rna_starsolo, multiqc	Sequencing quality control, Validation, Loading, Sequence alignment, Community profiling					True	False
