Galaxy wrapper id	Description	To keep	Deprecated
flair	FLAIR (Full-Length Alternative Isoform analysis of RNA) for the correction, isoform definition, and alternative splicing analysis of noisy reads.		
flash	Fast Length Adjustment of SHort reads		
flye	Assembly of long and error-prone reads.		
format_cd_hit_output	Format CD-hit output to rename representative sequences with cluster name and/or extract distribution inside clusters given a mapping file		
get_pairs	Separate paired and unpaired reads from two fastq files		
get_reference_fasta	Obtain reference genome sequence.		
getorganelle	GetOrganelle - This toolkit assembles organelle genomes from genomic skimming data.		
graphmap	Mapper for long, error-prone reads.		
guppy	A wrapper for the guppy basecaller tool from Oxford Nanopore Technologies		
hapcut2	Robust and accurate haplotype assembly for diverse sequencing technologies		
hapog	Hapo-G - Haplotype-Aware Polishing of Genomes		
hifiasm	A fast haplotype-resolved de novo assembler		
hisat	HISAT is a fast and sensitive spliced alignment program.		
hisat2	HISAT2 is a fast and sensitive spliced alignment program.		
hypo	Super Fast & Accurate Polisher for Long Read Genome Assemblies		
idba_ud	Wrappers for the idba assembler variants.		
instagraal	Large genome reassembly based on Hi-C data		
jellyfish	Jellyfish is a tool for fast, memory-efficient counting of k-mers in DNA		
khmer	In-memory nucleotide sequence k-mer counting, filtering, graph traversal and more		
length_and_gc_content	Gets gene length and gc content from a fasta and a GTF file		
lighter	Lighter is a kmer-based error correction method for whole genome sequencing data		
links	Scaffold genome assemblies with long reads.		
make_nr	Make a FASTA file non-redundant		
megahit	An ultra-fast single-node solution for large and complex metagenomics assembly via succinct de Bruijn graph.		
megahit_contig2fastg	A subprogram within the Megahit toolkit for converting contigs to assembly graphs (fastg)		
merqury	Merqury is a tool for evaluating genomes assemblies based of k-mer operations.		
meryl	Meryl a k-mer counter.		
mgnify_seqprep	A modifiied vesion of SeqPrep. Made for use with the MGnify pipelines.		
minia	Short-read assembler based on a de Bruijn graph		
miniasm	Miniasm - Ultrafast de novo assembly for long noisy reads (though having no consensus step)		
mitobim	assemble mitochondrial genomes		
mitohifi	Assembly mitogenomes from Pacbio HiFi read.		
msaboot	A multiple sequences alignment bootstrapping tool.		
multiqc	MultiQC aggregates results from bioinformatics analyses across many samples into a single report		
necat	Error correction and de-novo assembly for ONT Nanopore reads		
nextdenovo	String graph-based de novo assembler for long reads		
nlstradamus	Find nuclear localization signals (NLSs) in protein sequences		
novoplasty	NOVOPlasty is a de novo assembler and heteroplasmy/variance caller for short circular genomes.		
oases	Short read assembler		
ont_fast5_api	ont_fast5_api is a simple interface to HDF5 files of the Oxford Nanopore FAST5 file format.		
pbtk	Convert PacBio Bam File to fasta or fastq file		
pear	PEAR evaluates all possible paired-end read overlaps		
plasmidspades	Genome assembler for assemblying plasmid		
porechop	Porechop - Finding and removing adapters from Oxford Nanopore reads		
poretools	A flexible toolkit for exploring datasets generated by nanopore sequencing devices from MinION for the purposes of quality control and downstream analysis.		
prinseq	PRINSEQ is a tool for easy and rapid quality control and data processing of metagenomic and metatranscriptomic datasets		
promer	Aligns two sets of contigs and reports amino acid substitutions between them		
purge_dups	Purge haplotigs and overlaps in an assembly based on read depth		
pycoqc	QC metrics for ONT Basecalling		
qfilt	Filter sequencing data		
quast	Quast (Quality ASsessment Tool) evaluates genome assemblies.		
quickmerge	Merge long-read and hybrid assemblies to increase contiguity		
ragtag	Reference-guided scaffolding of draft genomes tool.		
raven	Raven is a de novo genome assembler for long uncorrected reads.		
rcorrector	Rcorrector (RNA-seq error CORRECTOR) is a kmer-based error correction method for RNA-seq data.		
rnaquast	rnaQuast (RNA Quality Assessment Tool) evaluates genome assemblies.		
salsa2	A tool to scaffold long read assemblies with Hi-C		
samblaster	samblaster marks duplicates and can output split and discordant alignments from SAM/BAM files		
sample_seqs	Sub-sample sequences files (e.g. to reduce coverage)		
samtools_depad	Re-align a SAM/BAM file with a padded reference (using samtools depad)		
samtools_depth	Coverage depth via samtools		
samtools_idxstats	BAM mapping statistics (using samtools idxstats)		
seq_filter_by_id	Filter sequences by ID		
seq_filter_by_mapping	Filter sequencing reads using SAM/BAM mapping files		
seq_length	Compute sequence length (from FASTA, QUAL, FASTQ, SFF, etc)		
seq_primer_clip	Trim off 5' or 3' primers		
seq_rename	Rename sequences with ID mapping from a tabular file		
seq_select_by_id	Select sequences by ID		
seqprep	Tool for merging paired-end Illumina reads and trimming adapters.		
sequence_format_converter	various fasta to tabular conversions		
shasta	Fast de novo assembly of long read sequencing data		
short_reads_trim_seq	Select high quality segments		
shovill	Faster de novo assembly pipeline based around Spades		
sickle	A windowed adaptive trimming tool for FASTQ files using quality		
smudgeplot	Inference of ploidy and heterozygosity structure using whole genome sequencing		
spades	SPAdes is an assembly toolkit containing various assembly pipelines. It implements the following 4 stages: assembly graph construction, k-bimer adjustment, construction of paired assembly graph and contig construction.		
spades_header_fixer	Fixes Spades Fasta ids		
split_paired_reads	Split paired end reads		
sra-tools	NCBI Sequence Read Archive toolkit utilities		
tabular_to_fastq	Tabular to FASTQ converter		
tarfast5	produces a tar.gz archive of fast5 sequence files		
taxonomy_krona_chart	Krona pie chart from taxonomic profile		
tgsgapcloser	TGS-GapCloser uses error-prone long reads or preassembled contigs to fill N-gap in the genome assembly.		
trim_galore	Trim Galore adaptive quality and adapter trimmer		
trimmomatic	A flexible read trimming tool for Illumina NGS data		
trycycler	Trycycler toolkit wrappers		
unicycler	Unicycler is a hybrid assembly pipeline for bacterial genomes.		
validate_fasta_database	runs Compomics database identification tool on any FASTA database, and separates valid and invalid entries based on a series of checks.		
velvet	de novo genomic assembler specially designed for short read sequencing technologies		
velvet_optimiser	Automatically optimize Velvet assemblies		
verkko	Telomere-to-telomere assembly pipeline		
wtdbg	WTDBG is a fuzzy Bruijn graph (FBG) approach to long noisy reads assembly.		
xpore	Identification and quantification of differential RNA modifications from direct RNA sequencing		
yac_clipper	Clips 3' adapters for small RNA sequencing reads.		
yahs	Yet Another Hi-C scaffolding tool		
